player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,0,0,0,12,5,6,0,670,25,15,14,1.8,1.8,0.7,22,3,440,546,80.6,51,379,22,30,20,440,546,80.6,7683,2579,201,221,91.0,194,228,85.1,39,64,60.9,0,0.7,0.8,9,42,12,6,51,546,478,66,20,3,1,32,23,6,2,3,0,440,2,10,25,13,10,15,0,8,21,38.1,13,14,5,9,15,40,16,1,670,65,210,305,161,27,670,30,20,66.7,10,33.3,379,2444,1241,22,12,4,20,8,436,51,6,0,0,13,19,2,32,15,13,0,1,0,52,15,9,62.5
Alexandre Lacazette,2,0,0,0,2,2,1,0,40,1,1,3,0.8,0.8,0.1,3,0,17,26,65.4,4,20,5,7,4,17,26,65.4,270,96,9,14,64.3,6,8,75.0,2,3,66.7,0,0.1,0.1,1,3,3,2,4,26,23,3,0,0,0,4,0,0,0,0,0,17,0,0,1,0,0,1,0,0,1,0.0,1,3,0,3,1,2,1,0,40,1,1,21,18,6,40,7,4,57.1,3,42.9,20,149,72,5,0,0,4,1,26,10,1,0,0,3,2,1,4,1,0,0,0,0,4,1,3,25.0
Bernd Leno,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,12,0,0,0,25,31,80.6,487,274,9,9,100.0,15,15,100.0,1,7,14.3,0,0.0,0.0,0,0,0,0,0,31,17,14,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,34,34,0,0,0,34,0,0,,0,,12,83,39,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Calum Chambers,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,42,47,89.4,4,30,1,0,0,42,47,89.4,804,275,19,20,95.0,16,19,84.2,7,8,87.5,0,0.0,0.0,0,6,0,0,4,47,47,0,0,0,1,0,0,0,0,0,0,42,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,49,5,22,26,1,0,49,0,0,,0,,30,144,116,1,0,0,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,100.0
David Luiz,0,0,0,0,1,0,0,0,69,4,2,1,0.1,0.1,0.0,1,1,51,57,89.5,6,44,0,1,1,51,57,89.5,1014,304,12,13,92.3,27,28,96.4,10,13,76.9,0,0.0,0.0,0,3,0,0,6,57,54,3,2,0,0,0,1,0,0,0,0,51,0,0,4,3,1,3,0,2,3,66.7,1,1,1,0,2,6,4,0,69,7,32,36,1,1,69,1,1,100.0,0,0.0,44,270,168,0,0,0,1,0,44,0,0,0,0,1,1,0,0,2,3,0,0,0,7,3,0,100.0
Gabriel Martinelli,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,2,1,1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,1,1,100.0,0,0.0,3,33,22,2,1,1,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Héctor Bellerín,0,0,0,0,0,0,0,0,63,3,1,1,0.0,0.0,0.0,0,0,41,54,75.9,2,30,1,3,2,41,54,75.9,636,195,22,24,91.7,17,20,85.0,1,4,25.0,0,0.0,0.1,0,2,1,1,2,54,41,13,3,0,0,4,10,0,0,0,0,41,0,3,3,2,2,1,0,1,4,25.0,3,1,0,1,1,4,0,0,63,0,20,29,14,2,63,3,2,66.7,1,33.3,30,123,69,1,0,1,1,3,35,4,0,0,0,0,1,0,4,1,2,0,0,0,4,2,0,100.0
Joe Willock,0,0,0,0,1,1,0,0,9,1,0,1,0.1,0.1,0.0,1,0,4,5,80.0,1,5,0,0,0,4,5,80.0,122,62,0,0,,2,2,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,3,0.0,3,1,1,0,0,1,0,0,9,2,2,6,1,1,9,0,0,,0,,5,36,26,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,100.0
Kieran Tierney,0,0,0,0,1,0,1,0,69,1,1,3,0.1,0.1,0.2,2,0,41,56,73.2,3,35,4,1,1,41,56,73.2,684,208,19,21,90.5,18,26,69.2,3,5,60.0,0,0.2,0.1,2,2,3,3,3,56,47,9,1,0,0,10,8,0,0,0,0,41,0,1,1,1,0,1,0,0,0,,0,3,1,2,1,2,4,1,69,2,15,30,26,3,69,1,1,100.0,0,0.0,35,215,96,4,1,0,3,1,38,10,1,0,0,2,2,0,10,1,1,0,1,0,10,0,1,0.0
Lucas Torreira,0,0,0,0,1,0,1,0,62,2,4,0,0.1,0.1,0.1,1,0,40,49,81.6,2,34,1,1,1,40,49,81.6,601,173,22,25,88.0,18,22,81.8,0,0,,0,0.1,0.0,1,3,0,0,2,49,47,2,1,0,0,1,0,1,0,0,0,40,0,1,2,1,1,1,0,1,1,100.0,0,0,0,0,4,6,1,0,62,2,19,34,10,1,62,1,1,100.0,0,0.0,34,187,64,1,2,0,4,0,38,1,1,0,0,2,2,0,1,4,1,0,0,0,8,0,2,0.0
