player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,3,2,1,1,12,4,3,0,593,14,7,16,2.3,1.5,1.4,25,6,387,470,82.3,38,381,24,22,16,387,470,82.3,6555,2509,184,196,93.9,156,184,84.8,34,63,54.0,2,1.4,0.7,11,24,7,2,38,470,432,37,14,0,2,10,9,4,4,0,0,387,1,5,14,8,8,6,0,5,14,35.7,9,16,5,11,7,21,29,0,593,97,265,236,99,23,592,22,16,72.7,6,27.3,381,2187,1238,24,14,4,13,1,384,38,3,0,0,9,12,1,10,7,8,1,1,0,47,14,23,37.8
Ainsley Maitland-Niles,0,0,0,0,1,1,0,0,75,2,1,0,0.1,0.1,0.1,1,0,57,69,82.6,7,50,3,1,1,57,69,82.6,866,227,31,34,91.2,23,25,92.0,2,6,33.3,0,0.1,0.0,2,2,0,0,7,69,61,8,3,0,0,0,5,0,0,0,0,57,0,2,2,1,1,1,0,0,1,0.0,1,0,0,0,1,3,1,0,75,3,30,33,12,2,75,1,1,100.0,0,0.0,50,285,200,3,2,0,2,0,56,4,0,0,0,1,0,0,0,1,1,0,0,0,5,0,3,0.0
Alexandre Lacazette,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,1,5,11,45.5,0,9,1,2,1,5,11,45.5,76,18,1,3,33.3,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,18,3,5,9,4,2,18,2,1,50.0,1,50.0,9,33,8,1,0,0,2,0,7,1,0,0,0,2,1,1,0,0,0,1,0,0,2,0,4,0.0
Dani Ceballos,0,0,0,0,0,0,0,0,63,1,2,2,0.0,0.0,0.1,2,0,49,56,87.5,5,46,0,2,2,49,56,87.5,801,295,26,27,96.3,16,19,84.2,6,8,75.0,0,0.1,0.1,2,6,1,0,5,56,53,3,2,0,0,1,0,1,1,0,0,49,0,0,1,0,1,0,0,0,1,0.0,1,2,1,1,2,3,1,0,63,12,26,33,4,0,63,2,2,100.0,0,0.0,46,219,94,0,0,0,1,0,45,1,0,0,0,2,1,0,1,2,0,0,0,0,8,0,0,
David Luiz,0,0,0,0,1,0,0,0,48,1,0,2,0.1,0.1,0.0,1,1,32,39,82.1,3,25,2,0,0,32,39,82.1,666,350,11,11,100.0,17,18,94.4,4,10,40.0,0,0.0,0.1,0,4,0,0,3,39,31,8,8,0,0,0,0,0,0,0,0,32,0,0,1,0,1,0,0,0,0,,0,2,2,0,0,1,3,0,48,10,32,14,2,2,48,0,0,,0,,25,171,104,2,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,50.0
Eddie Nketiah,0,0,0,0,0,0,0,0,23,2,0,3,0.0,0.0,0.4,4,0,12,13,92.3,4,13,2,4,3,12,13,92.3,155,52,9,9,100.0,3,4,75.0,0,0,,0,0.4,0.1,1,1,2,0,4,13,12,1,0,0,0,0,0,0,0,0,0,12,0,0,2,1,1,1,0,1,1,100.0,0,3,0,3,0,2,1,0,23,1,2,17,5,1,23,4,3,75.0,1,25.0,13,77,50,2,1,0,3,0,12,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
Emiliano Martínez,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,26,33,78.8,0,23,0,0,0,26,33,78.8,682,452,6,6,100.0,15,15,100.0,5,12,41.7,0,0.0,0.0,0,1,0,0,0,33,26,7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38,36,38,0,0,0,38,0,0,,0,,23,89,42,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Granit Xhaka,0,0,0,0,0,0,1,0,70,0,1,1,0.0,0.0,0.0,0,0,56,61,91.8,6,47,1,3,2,56,61,91.8,846,246,30,32,93.8,21,23,91.3,3,3,100.0,0,0.0,0.0,0,5,0,0,6,61,61,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,4,0,70,4,22,41,8,0,70,3,2,66.7,1,33.3,47,291,173,1,1,0,1,0,50,1,1,0,0,1,1,0,0,1,0,0,0,0,4,5,2,71.4
Joe Willock,0,0,0,0,1,0,0,0,20,1,0,0,0.1,0.1,0.0,0,0,11,16,68.8,2,16,3,0,0,11,16,68.8,145,37,7,8,87.5,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,2,16,15,0,0,0,0,0,0,0,0,0,0,11,1,2,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,20,1,3,11,6,2,20,0,0,,0,,16,131,83,3,3,0,1,0,15,5,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,
Kieran Tierney,1,1,0,0,2,1,0,0,48,3,1,0,0.1,0.1,0.4,2,2,25,34,73.5,1,31,1,2,1,25,34,73.5,393,168,12,13,92.3,10,17,58.8,2,3,66.7,1,0.4,0.1,1,0,0,0,1,34,30,4,0,0,0,2,4,0,0,0,0,25,0,0,3,2,2,1,0,3,4,75.0,1,0,0,0,1,4,3,0,48,2,20,14,15,2,48,2,1,50.0,1,50.0,31,144,67,1,1,1,0,0,26,7,0,0,0,0,2,0,2,1,2,0,0,0,7,0,2,0.0
Lucas Torreira,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,7,0,0,0,8,8,100.0,129,18,4,4,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,9,0,2,6,1,0,9,0,0,,0,,7,56,12,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Nicolas Pépé,0,0,0,0,1,0,0,0,35,1,0,1,0.0,0.0,0.2,7,1,25,28,89.3,2,27,3,3,2,25,28,89.3,421,125,12,13,92.3,9,9,100.0,3,4,75.0,0,0.2,0.2,2,0,2,1,2,28,26,2,0,0,1,3,0,2,2,0,0,25,0,0,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,0,0,35,1,7,16,13,1,35,3,2,66.7,1,33.3,27,218,117,3,2,1,1,0,28,8,0,0,0,0,2,0,3,0,1,0,0,0,2,1,2,33.3
Pierre-Emerick Aubameyang,2,1,1,1,3,2,0,0,42,1,2,2,1.6,0.8,0.1,2,1,20,28,71.4,3,27,3,1,1,20,28,71.4,295,54,9,10,90.0,7,10,70.0,1,4,25.0,1,0.1,0.0,1,1,0,0,3,28,28,0,0,0,0,1,0,0,0,0,0,20,0,0,1,1,0,1,0,0,1,0.0,1,2,0,2,2,3,2,0,42,2,9,16,18,4,41,1,1,100.0,0,0.0,27,150,103,3,4,0,0,1,26,5,0,0,0,0,1,0,1,2,1,0,0,0,5,1,1,50.0
Reiss Nelson,0,0,0,0,1,0,0,0,10,1,0,0,0.1,0.1,0.1,3,0,5,7,71.4,0,10,4,4,3,5,7,71.4,115,11,1,1,100.0,2,3,66.7,2,3,66.7,0,0.1,0.1,1,0,1,1,0,7,6,1,0,0,0,3,0,1,1,0,0,5,0,0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,10,0,1,2,7,3,10,4,3,75.0,1,25.0,10,97,50,4,0,2,0,0,10,5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,
Rob Holding,0,0,0,0,2,0,1,0,74,0,0,3,0.2,0.2,0.0,1,0,42,50,84.0,4,39,1,0,0,42,50,84.0,762,367,18,18,100.0,21,24,87.5,3,7,42.9,0,0.0,0.0,0,3,1,0,4,50,49,1,1,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,0,3,1,2,0,0,12,0,74,21,53,19,3,3,74,0,0,,0,,39,183,108,1,0,0,1,0,44,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,6,40.0
