,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,11,Richarlison,Everton,0.03,,Blocked,29.0,Right Foot,,Gylfi Sigurðsson,Pass (Live),Morgan Schneiderlin,Pass (Live)
1,12,Lucas Digne,Everton,0.02,,Blocked,24.0,Left Foot,Volley,Gylfi Sigurðsson,Pass (Dead),Richarlison,Shot
2,22,Wesley Moraes,Aston Villa,0.36,0.85,Goal,10.0,Right Foot,,Jota,Pass (Live),Frederic Guilbert,Pass (Live)
3,24,Wesley Moraes,Aston Villa,0.08,,Blocked,16.0,Right Foot,,Jota,Pass (Live),,
4,32,Dominic Calvert-Lewin,Everton,0.42,,Blocked,9.0,Right Foot,,Séamus Coleman,Pass (Live),Morgan Schneiderlin,Pass (Live)
5,36,Jack Grealish,Aston Villa,0.05,,Blocked,27.0,Right Foot,,Wesley Moraes,Pass (Live),John McGinn,Pass (Live)
6,37,Frederic Guilbert,Aston Villa,0.03,,Off Target,24.0,Right Foot,,Jack Grealish,Pass (Live),Wesley Moraes,Pass (Live)
7,40,André Gomes,Everton,0.02,,Off Target,35.0,Right Foot,,Séamus Coleman,Pass (Live),Richarlison,Pass (Live)
8,45,Jack Grealish,Aston Villa,0.03,,Off Target,24.0,Right Foot,,Trézéguet,Pass (Live),John McGinn,Pass (Dead)
9,45+3,Gylfi Sigurðsson,Everton,0.01,,Off Target,61.0,Right Foot,,Lucas Digne,Pass (Live),,
10,,,,,,,,,,,,,
11,55,Yerry Mina,Everton,0.07,,Off Target,9.0,Head,,Lucas Digne,Pass (Dead),Lucas Digne,Pass (Live)
12,66,Yerry Mina,Everton,0.07,,Blocked,10.0,Head,,Lucas Digne,Pass (Dead),Alex Iwobi,Pass (Live)
13,71,Alex Iwobi,Everton,0.07,0.22,Saved,13.0,Left Foot,Deflected,Lucas Digne,Pass (Live),André Gomes,Pass (Live)
14,77,Morgan Schneiderlin,Everton,0.03,,Off Target,22.0,Right Foot,,Alex Iwobi,Pass (Live),Lucas Digne,Pass (Live)
15,82,Alex Iwobi,Everton,0.06,,Woodwork,16.0,Left Foot,,Michael Keane,Pass (Live),André Gomes,Pass (Live)
16,84,Anwar El Ghazi,Aston Villa,0.02,0.06,Saved,30.0,Right Foot,,Wesley Moraes,Pass (Live),John McGinn,Pass (Live)
17,89,Theo Walcott,Everton,0.4,,Off Target,9.0,Right Foot,Volley,Moise Kean,Pass (Live),Alex Iwobi,Pass (Live)
18,90+4,Lucas Digne,Everton,0.06,,Off Target,15.0,Right Foot,,Michael Keane,Pass (Live),André Gomes,Pass (Live)
19,90+5,Anwar El Ghazi,Aston Villa,0.47,0.78,Goal,7.0,Right Foot,,Anwar El Ghazi,Take-On,John McGinn,Pass (Live)
