,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,8.0,Kortney Hause,Aston Villa,0.03,,Off Target,17.0,Head,,Conor Hourihane,Pass (Dead),Jack Grealish,Fouled
1,14.0,Kortney Hause,Aston Villa,0.03,,Off Target,13.0,Head,,Conor Hourihane,Pass (Dead),Marvelous Nakamba,Pass (Live)
2,19.0,Raúl Jiménez,Wolves,0.05,0.18,Saved,10.0,Head,,João Moutinho,Pass (Dead),Diogo Jota,Fouled
3,22.0,Keinan Davis,Aston Villa,0.05,,Off Target,13.0,Head,,Ezri Konsa,Pass (Live),Mbwana Samatta,Pass (Live)
4,24.0,Matt Doherty,Wolves,0.05,,Off Target,13.0,Right Foot,,Rúben Neves,Pass (Live),João Moutinho,Pass (Live)
5,37.0,Jack Grealish,Aston Villa,0.03,0.02,Saved,24.0,Right Foot,,Neil Taylor,Pass (Live),Conor Hourihane,Pass (Live)
6,37.0,Raúl Jiménez,Wolves,0.03,,Off Target,20.0,Right Foot,Volley,Rúben Neves,Pass (Dead),Rúben Neves,Fouled
7,40.0,Raúl Jiménez,Wolves,0.04,,Off Target,17.0,Right Foot,,Leander Dendoncker,Pass (Live),,
8,41.0,Leander Dendoncker,Wolves,0.05,,Off Target,15.0,Head,,Matt Doherty,Pass (Live),Diogo Jota,Pass (Live)
9,42.0,Diogo Jota,Wolves,0.17,,Off Target,24.0,Right Foot,,,,,
10,44.0,Conor Hourihane,Aston Villa,0.05,,Blocked,15.0,Left Foot,,Jack Grealish,Pass (Live),Keinan Davis,Pass (Live)
11,44.0,Keinan Davis,Aston Villa,0.14,,Off Target,7.0,Head,,Conor Hourihane,Shot,,
12,,,,,,,,,,,,,
13,60.0,Douglas Luiz,Aston Villa,0.03,,Off Target,32.0,Right Foot,,Jack Grealish,Pass (Live),Neil Taylor,Pass (Live)
14,62.0,Leander Dendoncker,Wolves,0.07,0.47,Goal,19.0,Left Foot,,Jonny Castro,Pass (Live),Raúl Jiménez,Pass (Live)
15,67.0,Leander Dendoncker,Wolves,0.21,,Off Target,7.0,Other,,João Moutinho,Pass (Dead),Willy Boly,Pass (Live)
16,73.0,Jack Grealish,Aston Villa,0.06,,Blocked,17.0,Right Foot,Volley,Neil Taylor,Pass (Live),Douglas Luiz,Pass (Live)
17,74.0,Kortney Hause,Aston Villa,0.12,,Off Target,6.0,Head,,Jack Grealish,Pass (Dead),Jack Grealish,Fouled
18,77.0,Mbwana Samatta,Aston Villa,0.05,,Off Target,15.0,Head,,John McGinn,Pass (Live),Ahmed Elmohamady,Pass (Live)
19,79.0,Leander Dendoncker,Wolves,0.06,,Blocked,15.0,Right Foot,,Adama Traoré,Pass (Live),Rúben Neves,Pass (Live)
20,82.0,Trézéguet,Aston Villa,0.07,,Off Target,10.0,Right Foot,Volley,Keinan Davis,Fouled,Tyrone Mings,Pass (Live)
