player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,0,1,1,7,3,2,0,677,18,17,11,1.2,0.4,0.2,15,4,466,578,80.6,48,352,17,15,10,466,578,80.6,8470,3084,186,222,83.8,238,261,91.2,37,69,53.6,0,0.2,0.3,5,29,10,2,48,578,532,43,11,1,3,8,22,0,0,0,0,466,3,5,18,10,5,12,1,11,17,64.7,6,11,2,9,17,35,9,0,677,77,258,304,121,16,676,15,10,66.7,5,33.3,352,2030,1093,17,11,6,17,12,465,48,2,0,0,12,12,3,8,17,10,1,0,1,57,8,11,42.1
Aaron Connolly,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,3,2,6,8,75.0,0,12,0,0,0,6,8,75.0,101,16,4,4,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,8,6,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,6,5,0,11,0,0,,0,,12,82,7,0,0,0,3,1,12,3,0,0,0,0,5,1,1,0,0,1,0,0,0,0,3,0.0
Adam Webster,0,0,0,0,0,0,0,0,85,1,2,0,0.0,0.0,0.0,1,0,69,76,90.8,8,51,4,2,2,69,76,90.8,1394,505,18,20,90.0,43,45,95.6,7,9,77.8,0,0.0,0.0,0,3,0,0,8,76,71,4,3,0,1,0,1,0,0,0,0,69,1,0,1,1,0,1,0,0,0,,0,0,0,0,2,3,3,0,85,11,49,34,4,0,85,2,2,100.0,0,0.0,51,358,265,4,2,0,0,0,63,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,3,0.0
Dale Stephens,0,0,0,0,0,0,1,0,81,4,5,3,0.0,0.0,0.0,1,1,55,66,83.3,3,36,0,0,0,55,66,83.3,1137,318,20,24,83.3,29,33,87.9,6,8,75.0,0,0.0,0.0,0,4,1,0,3,66,65,1,1,0,0,0,0,0,0,0,0,55,0,0,4,3,1,3,0,2,4,50.0,2,3,0,3,5,9,1,0,81,5,22,49,10,0,81,0,0,,0,,36,140,41,0,1,0,0,0,54,1,1,0,0,3,2,0,0,5,3,0,0,0,10,0,0,
Dan Burn,0,0,0,0,0,0,0,0,72,6,4,2,0.0,0.0,0.0,0,0,50,57,87.7,6,29,3,1,1,50,57,87.7,873,273,24,28,85.7,22,22,100.0,4,6,66.7,0,0.0,0.0,0,4,1,0,6,57,49,8,0,0,0,0,8,0,0,0,0,50,0,1,6,3,3,3,0,5,5,100.0,0,2,1,1,4,10,2,0,72,6,27,40,5,0,72,1,1,100.0,0,0.0,29,210,131,3,3,0,1,0,34,2,0,0,0,0,0,0,0,4,3,0,0,0,7,2,1,66.7
Davy Pröpper,0,0,0,0,0,0,1,0,70,4,2,0,0.0,0.0,0.0,2,0,44,61,72.1,13,35,2,1,1,44,61,72.1,782,342,21,27,77.8,21,24,87.5,2,4,50.0,0,0.0,0.0,1,7,1,0,13,61,60,0,0,1,1,0,0,0,0,0,0,44,1,2,4,3,0,3,1,1,1,100.0,0,0,0,0,2,6,0,0,70,1,10,43,19,1,70,1,1,100.0,0,0.0,35,228,97,2,1,1,2,1,49,3,1,0,0,3,1,0,0,2,3,0,0,0,7,0,0,
Ezequiel Schelotto,0,0,0,0,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0,0,7,9,77.8,1,4,0,0,0,7,9,77.8,95,44,5,5,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,1,9,6,3,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,11,0,2,8,1,0,11,0,0,,0,,4,34,0,0,0,0,0,2,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Glenn Murray,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0,5,6,83.3,91,17,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,1,1,3,3,0,7,0,0,,0,,3,25,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,100.0
Leandro Trossard,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,11,54.5,0,9,4,1,1,6,11,54.5,103,20,3,6,50.0,2,4,50.0,1,1,100.0,0,0.0,0.0,1,0,1,1,0,11,11,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,0,6,8,4,14,1,1,100.0,0,0.0,9,73,50,4,0,2,1,0,10,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Lewis Dunk,0,0,0,0,1,1,0,0,88,0,2,2,0.1,0.1,0.0,1,0,69,81,85.2,1,55,0,0,0,69,81,85.2,1435,545,17,18,94.4,45,47,95.7,7,15,46.7,0,0.0,0.0,1,1,1,0,1,81,75,6,5,0,1,0,1,0,0,0,0,69,0,0,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,1,0,88,12,61,26,1,0,88,0,0,,0,,55,309,186,0,0,0,0,0,66,0,0,0,0,0,1,0,0,2,0,0,0,0,7,1,1,50.0
Martín Montoya,0,0,0,0,0,0,0,0,54,1,1,0,0.0,0.0,0.0,0,0,34,46,73.9,3,25,1,1,0,34,46,73.9,450,213,22,28,78.6,11,13,84.6,1,5,20.0,0,0.0,0.0,0,3,0,0,3,46,38,8,0,0,0,1,8,0,0,0,0,34,0,0,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,1,0,54,1,19,18,17,1,54,1,0,0.0,1,100.0,25,108,64,1,2,0,3,1,38,4,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,50.0
Mathew Ryan,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,48,52,92.3,0,29,0,0,0,48,52,92.3,961,510,9,9,100.0,33,33,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,0,52,45,7,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,52,39,52,0,0,0,52,0,0,,0,,29,140,92,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Neal Maupay,1,0,1,1,2,0,0,0,36,1,0,0,0.9,0.1,0.1,3,0,18,27,66.7,4,17,0,2,1,18,27,66.7,249,73,8,10,80.0,8,10,80.0,0,1,0.0,0,0.1,0.1,2,3,2,1,4,27,26,1,0,0,0,1,0,0,0,0,0,18,0,1,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,36,0,3,16,18,4,35,2,1,50.0,1,50.0,17,98,28,0,0,1,2,2,25,12,0,0,0,2,3,1,1,0,0,0,0,0,6,1,0,100.0
Pascal Groß,1,0,0,0,1,1,0,0,39,0,0,1,0.1,0.1,0.0,2,1,19,32,59.4,4,18,0,2,0,19,32,59.4,255,86,12,15,80.0,6,7,85.7,0,6,0.0,0,0.0,0.0,0,2,1,0,4,32,30,1,1,0,0,2,0,0,0,0,0,19,1,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,39,0,4,27,8,1,39,2,0,0.0,2,100.0,18,66,31,0,0,0,3,2,30,9,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0.0
