player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
16 Players,0,0,0,0,3,0,1,0,454,12,17,12,0.2,0.2,0.2,5,0,275,366,75.1,20,239,8,11,4,275,366,75.1,4561,1996,116,136,85.3,102,118,86.4,30,59,50.8,0,0.2,0.3,3,15,6,1,20,366,327,33,4,1,2,7,10,2,0,2,0,275,6,8,12,7,7,5,0,6,25,24.0,19,12,6,6,17,29,18,1,454,77,213,175,69,8,454,11,4,36.4,7,63.6,239,1147,533,8,9,1,11,9,273,20,1,0,0,7,1,6,7,17,7,0,0,0,50,10,10,50.0
Aaron Connolly,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,4,0,0,0,6,6,100.0,120,5,1,1,100.0,5,5,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,7,1,0,8,0,0,,0,,4,22,16,0,0,0,2,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0.0
Aaron Mooy,0,0,0,0,0,0,0,0,39,0,1,1,0.0,0.0,0.0,0,0,27,33,81.8,4,21,1,1,1,27,33,81.8,267,79,16,17,94.1,3,3,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,4,33,32,0,0,0,0,0,0,0,0,0,0,27,1,2,0,0,0,0,0,0,4,0.0,4,1,0,1,1,1,2,0,39,2,9,20,10,0,39,1,1,100.0,0,0.0,21,117,57,1,0,0,0,2,25,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,
Adam Webster,0,0,0,0,0,0,0,0,51,2,1,1,0.0,0.0,0.0,0,0,36,44,81.8,0,32,0,0,0,36,44,81.8,666,432,17,18,94.4,12,14,85.7,5,9,55.6,0,0.0,0.0,0,3,0,0,0,44,44,0,0,0,1,0,0,0,0,0,0,36,0,0,2,0,2,0,0,0,2,0.0,2,1,1,0,1,3,0,0,51,10,39,9,3,1,51,0,0,,0,,32,182,102,0,1,0,2,0,35,0,0,0,0,1,0,0,0,1,0,0,0,0,5,3,2,60.0
Alireza Jahanbakhsh,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,2,4,0,1,0,6,10,60.0,80,25,2,2,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,2,10,10,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,0,4,7,0,11,1,0,0.0,1,100.0,4,19,6,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Bernardo,0,0,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.1,2,0,26,41,63.4,5,24,4,1,0,26,41,63.4,340,123,12,17,70.6,9,16,56.3,1,4,25.0,0,0.1,0.0,1,2,1,0,5,41,38,3,0,0,0,2,3,0,0,0,0,26,0,0,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,5,0,50,7,20,21,9,0,50,1,0,0.0,1,100.0,24,108,79,4,0,0,0,0,30,5,0,0,0,0,0,3,2,1,1,0,0,0,5,3,1,75.0
Dale Stephens,0,0,0,0,0,0,0,0,17,1,5,2,0.0,0.0,0.0,0,0,8,12,66.7,0,8,0,0,0,8,12,66.7,154,17,3,3,100.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1,0,0,1,4,25.0,3,2,0,2,5,6,0,0,17,0,5,11,2,0,17,0,0,,0,,8,32,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,
Dan Burn,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,4,0,0,0,2,4,50.0,47,25,0,0,,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,0,4,1,2,0,7,0,0,,0,,4,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Davy Pröpper,0,0,0,0,0,0,0,0,39,1,3,1,0.0,0.0,0.0,0,0,23,33,69.7,1,24,0,1,1,23,33,69.7,385,115,9,13,69.2,11,12,91.7,2,4,50.0,0,0.0,0.0,0,0,0,0,1,33,32,0,0,0,0,0,0,0,0,0,0,23,1,1,1,0,1,0,0,1,4,25.0,3,1,1,0,3,4,0,0,39,1,18,19,3,0,39,1,1,100.0,0,0.0,24,92,31,0,3,0,0,1,28,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,
Leandro Trossard,0,0,0,0,2,0,0,0,19,0,0,0,0.1,0.1,0.0,1,0,10,14,71.4,1,12,0,2,1,10,14,71.4,138,19,4,5,80.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,14,13,0,0,1,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,19,0,4,5,10,3,19,2,1,50.0,1,50.0,12,38,8,0,1,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
