,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,11,Wesley Moraes,Aston Villa,0.03,,Blocked,20.0,Right Foot,,Ezri Konsa,Pass (Live),Tom Heaton,Pass (Live)
1,11,Ezri Konsa,Aston Villa,0.03,,Off Target,15.0,Head,,Trézéguet,Pass (Dead),Wesley Moraes,Shot
2,20,Dwight McNeil,Burnley,0.04,,Off Target,30.0,Left Foot,,Dwight McNeil,Take-On,Ashley Westwood,Pass (Live)
3,20,Wesley Moraes,Aston Villa,0.07,0.03,Saved,12.0,Right Foot,,Jack Grealish,Pass (Live),,
4,20,Douglas Luiz,Aston Villa,0.03,0.17,Saved,27.0,Right Foot,,Trézéguet,Pass (Live),Marvelous Nakamba,Pass (Live)
5,23,Chris Wood,Burnley,0.23,,Off Target,8.0,Head,,Dwight McNeil,Pass (Live),James Tarkowski,Pass (Live)
6,27,Wesley Moraes,Aston Villa,0.39,0.34,Goal,11.0,Right Foot,Volley,Wesley Moraes,Pass (Live),Jack Grealish,Pass (Live)
7,30,Ashley Barnes,Burnley,0.02,,Off Target,29.0,Right Foot,,Ashley Westwood,Pass (Live),Phil Bardsley,Pass (Live)
8,41,Jack Grealish,Aston Villa,0.05,0.18,Goal,15.0,Right Foot,,Douglas Luiz,Pass (Live),Marvelous Nakamba,Pass (Live)
9,45,Phil Bardsley,Burnley,0.04,,Blocked,19.0,Right Foot,Volley,Charlie Taylor,Pass (Live),Ben Mee,Pass (Live)
10,45,Jack Cork,Burnley,0.04,,Blocked,22.0,Right Foot,,Phil Bardsley,Shot,,
11,,,,,,,,,,,,,
12,47,Douglas Luiz,Aston Villa,0.08,0.04,Saved,14.0,Left Foot,,Jack Grealish,Pass (Live),Douglas Luiz,Pass (Live)
13,48,Jay Rodriguez,Burnley,0.03,,Blocked,20.0,Right Foot,,Jack Cork,Pass (Live),Phil Bardsley,Pass (Live)
14,49,James Tarkowski,Burnley,0.05,,Off Target,10.0,Right Foot,Volley,Jóhann Berg Guðmundsson,Pass (Live),Dwight McNeil,Pass (Live)
15,49,Jay Rodriguez,Burnley,0.61,,Off Target,3.0,Left Foot,,James Tarkowski,Shot,,
16,51,Jack Cork,Burnley,0.14,,Blocked,5.0,Head,,Jóhann Berg Guðmundsson,Pass (Live),James Tarkowski,Pass (Live)
17,52,Jóhann Berg Guðmundsson,Burnley,0.07,,Off Target,10.0,Head,,Charlie Taylor,Pass (Live),Dwight McNeil,Pass (Live)
18,55,Jay Rodriguez,Burnley,0.04,,Off Target,17.0,Head,,Charlie Taylor,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
19,57,Jay Rodriguez,Burnley,0.08,,Off Target,13.0,Left Foot,,Charlie Taylor,Pass (Live),Dwight McNeil,Pass (Live)
20,61,Kortney Hause,Aston Villa,0.26,,Off Target,5.0,Head,,Douglas Luiz,Pass (Dead),Jack Grealish,Fouled
21,63,James Tarkowski,Burnley,0.05,,Blocked,16.0,Left Foot,,Chris Wood,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
22,63,Chris Wood,Burnley,0.16,,Off Target,9.0,Right Foot,Volley,Jack Cork,Pass (Live),Charlie Taylor,Pass (Live)
23,65,Chris Wood,Burnley,0.08,,Off Target,19.0,Left Foot,,Ashley Westwood,Pass (Live),,
24,66,Ashley Westwood,Burnley,0.1,,Blocked,22.0,Right Foot,Free kick,Jay Rodriguez,Fouled,,
25,73,Jonathan Kodjia,Aston Villa,0.09,,Off Target,15.0,Left Foot,,Jack Grealish,Pass (Live),Jack Grealish,Take-On
26,74,Charlie Taylor,Burnley,0.03,,Off Target,22.0,Left Foot,,Jóhann Berg Guðmundsson,Pass (Live),Ashley Westwood,Pass (Live)
27,77,Chris Wood,Burnley,0.06,,Off Target,10.0,Head,,Phil Bardsley,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
28,78,Jay Rodriguez,Burnley,0.02,,Off Target,32.0,Right Foot,,Chris Wood,Pass (Live),Charlie Taylor,Pass (Live)
29,80,Chris Wood,Burnley,0.37,0.77,Goal,3.0,Head,,Ashley Westwood,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
30,88,Jonathan Kodjia,Aston Villa,0.03,,Blocked,24.0,Left Foot,,Jack Grealish,Pass (Live),Tyrone Mings,Pass (Live)
31,90+4,Douglas Luiz,Aston Villa,0.25,0.11,Saved,19.0,Right Foot,Volley,Ezri Konsa,Pass (Live),Jack Grealish,Pass (Live)
