player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,2,3,1,610,9,7,8,1.3,1.3,0.9,19,0,392,529,74.1,42,385,18,12,5,392,529,74.1,6969,2463,163,200,81.5,152,188,80.9,53,97,54.6,0,0.9,0.5,9,21,4,1,42,529,478,50,9,0,5,25,22,9,3,3,0,392,1,5,9,8,4,4,1,5,10,50.0,5,8,2,6,7,16,16,1,610,59,200,276,140,20,610,12,5,41.7,7,58.3,385,2056,1087,18,12,7,9,8,387,41,3,1,1,12,5,1,25,7,8,0,0,0,51,32,28,53.3
Alex Iwobi,0,0,0,0,3,0,0,0,46,1,0,1,0.5,0.5,0.0,3,0,28,37,75.7,6,30,6,0,0,28,37,75.7,444,91,14,18,77.8,8,10,80.0,3,5,60.0,0,0.0,0.1,1,2,1,1,6,37,37,0,0,0,1,7,0,0,0,0,0,28,0,0,1,1,0,0,1,1,3,33.3,2,1,1,0,0,1,0,0,46,1,2,18,27,5,46,0,0,,0,,30,275,197,6,3,2,2,1,30,3,0,0,0,0,1,0,7,0,1,0,0,0,6,2,1,66.7
André Gomes,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,2,0,0,0,0,5,5,100.0,94,24,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,5,4,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,1,2,2,0,5,0,0,,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Djibril Sidibé,0,0,0,0,0,0,1,0,28,1,0,0,0.0,0.0,0.0,0,0,22,26,84.6,1,18,1,0,0,22,26,84.6,311,81,11,13,84.6,9,11,81.8,1,1,100.0,0,0.0,0.0,0,0,0,0,1,26,20,6,0,0,1,1,6,0,0,0,0,22,0,0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,28,0,5,13,11,1,28,0,0,,0,,18,116,80,1,1,0,0,0,18,3,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0.0
Dominic Calvert-Lewin,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,3,12,25.0,1,6,0,0,0,3,12,25.0,40,16,2,6,33.3,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,0,8,6,0,14,0,0,,0,,6,24,2,0,0,0,0,0,11,2,0,0,0,2,1,0,0,0,0,0,0,0,0,5,3,62.5
Fabian Delph,0,0,0,0,1,0,0,0,70,1,1,3,0.0,0.0,0.1,3,0,49,61,80.3,7,44,2,2,1,49,61,80.3,835,204,20,22,90.9,11,13,84.6,11,16,68.8,0,0.1,0.0,1,5,1,0,7,61,57,3,1,0,1,1,0,0,0,0,0,49,1,0,1,1,1,0,0,1,1,100.0,0,3,0,3,1,2,1,0,70,1,15,40,16,0,70,2,1,50.0,1,50.0,44,215,65,2,2,0,0,1,48,2,0,0,0,1,0,0,1,1,1,0,0,0,7,1,0,100.0
Gylfi Sigurðsson,0,0,0,0,2,1,0,0,25,0,0,1,0.1,0.1,0.5,3,0,15,20,75.0,3,15,1,0,0,15,20,75.0,219,64,6,7,85.7,6,7,85.7,1,3,33.3,0,0.5,0.0,2,0,0,0,3,20,17,3,0,0,0,2,0,3,0,2,0,15,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,25,0,1,10,14,2,25,0,0,,0,,15,87,43,1,1,1,2,0,16,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0.0
Jordan Pickford,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,24,39,61.5,0,21,0,0,0,24,39,61.5,800,617,6,6,100.0,8,8,100.0,10,25,40.0,0,0.0,0.0,0,1,0,0,0,39,25,14,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,41,36,40,1,0,0,41,0,0,,0,,21,123,77,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0
Lucas Digne,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.2,3,0,41,67,61.2,1,43,1,0,0,41,67,61.2,609,161,24,28,85.7,12,21,57.1,4,12,33.3,0,0.2,0.1,2,2,0,0,1,67,52,15,1,0,0,11,8,6,3,1,0,41,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,69,0,12,27,30,1,69,0,0,,0,,43,112,62,1,2,0,0,0,44,11,0,0,0,0,0,1,11,1,0,0,0,0,5,3,1,75.0
Michael Keane,0,0,0,0,2,0,0,0,78,2,2,0,0.5,0.5,0.0,0,0,56,69,81.2,4,46,0,0,0,56,69,81.2,1100,352,16,21,76.2,31,36,86.1,8,9,88.9,0,0.0,0.0,0,2,0,0,4,69,68,1,1,0,0,0,0,0,0,0,0,56,0,0,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,3,0,78,9,39,37,2,2,78,0,0,,0,,46,218,108,0,0,0,0,0,46,0,0,0,0,2,0,0,0,2,1,0,0,0,6,12,5,70.6
