player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,9,3,2,0,485,15,18,8,0.6,0.6,0.5,15,1,246,377,65.3,21,214,18,10,5,246,377,65.3,4216,1900,128,150,85.3,85,123,69.1,25,75,33.3,1,0.5,1.1,7,13,8,3,21,377,325,47,10,1,2,18,23,7,6,0,0,246,5,9,15,10,7,4,4,7,12,58.3,5,8,5,3,18,33,24,0,485,56,149,238,104,21,485,10,5,50.0,5,50.0,214,1469,732,18,13,5,9,4,246,21,2,0,0,5,12,5,18,18,10,0,0,0,56,28,32,46.7
Aaron Lennon,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,4,6,66.7,41,0,4,5,80.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,3,3,0,6,0,0,,0,,4,12,3,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Ashley Barnes,0,0,0,0,2,0,0,0,18,2,0,0,0.1,0.1,0.0,0,0,3,8,37.5,0,9,0,0,0,3,8,37.5,39,0,2,4,50.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,1,0,0,,0,0,0,0,0,2,1,0,18,2,4,7,7,1,18,0,0,,0,,9,20,7,0,0,0,3,0,14,1,0,0,0,0,2,1,0,0,0,0,0,0,2,2,8,20.0
Ashley Westwood,0,1,0,0,0,0,1,0,72,1,2,1,0.0,0.0,0.2,4,1,49,64,76.6,7,30,1,0,0,49,64,76.6,828,304,24,26,92.3,19,22,86.4,4,9,44.4,1,0.2,0.5,2,6,2,0,7,64,58,6,1,1,1,3,0,4,3,0,0,49,0,4,1,1,0,1,0,1,1,100.0,0,1,1,0,2,3,1,0,72,3,13,46,13,0,72,0,0,,0,,30,184,74,1,1,0,1,0,44,1,1,0,0,2,1,1,3,2,1,0,0,0,14,0,1,0.0
Ben Mee,0,0,0,0,0,0,0,0,44,1,3,4,0.0,0.0,0.0,2,0,16,31,51.6,1,15,0,0,0,16,31,51.6,347,222,7,9,77.8,6,11,54.5,3,11,27.3,0,0.0,0.1,1,1,0,0,1,31,29,2,2,0,0,0,0,0,0,0,0,16,0,0,1,1,1,0,0,0,0,,0,4,3,1,3,4,3,0,44,8,18,23,3,3,44,0,0,,0,,15,69,38,0,0,0,0,0,17,1,0,0,0,2,0,0,0,3,1,0,0,0,3,8,5,61.5
Charlie Taylor,0,0,0,0,0,0,0,0,27,2,2,0,0.0,0.0,0.1,1,0,16,20,80.0,1,11,2,3,1,16,20,80.0,283,90,8,9,88.9,7,8,87.5,1,2,50.0,0,0.1,0.0,1,1,1,1,1,20,17,3,0,0,0,1,3,0,0,0,0,16,0,0,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,1,0,27,1,12,13,4,1,27,3,1,33.3,2,66.7,11,150,49,2,1,1,0,0,9,1,0,0,0,0,1,0,1,2,1,0,0,0,2,1,0,100.0
Chris Wood,0,0,0,0,1,0,0,0,23,2,0,0,0.1,0.1,0.0,0,0,9,17,52.9,1,14,0,0,0,9,17,52.9,137,15,6,12,50.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,17,17,0,0,0,1,0,0,0,0,0,0,9,0,0,2,2,1,0,1,2,3,66.7,1,0,0,0,0,2,0,0,23,0,1,13,9,3,23,0,0,,0,,14,43,16,0,0,0,2,2,23,6,0,0,0,0,1,3,0,0,2,0,0,0,3,4,6,40.0
Dwight McNeil,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.0,2,0,25,37,67.6,2,31,8,4,2,25,37,67.6,318,108,18,20,90.0,6,9,66.7,0,3,0.0,0,0.0,0.0,0,1,0,0,2,37,34,2,1,0,0,5,0,1,1,0,0,25,1,2,1,0,0,0,1,1,2,50.0,1,0,0,0,2,3,4,0,51,2,10,27,15,2,51,4,2,50.0,2,50.0,31,382,177,8,5,2,1,2,24,0,0,0,0,0,2,0,5,2,0,0,0,0,10,1,2,33.3
Erik Pieters,0,0,0,0,1,0,0,0,44,1,1,1,0.0,0.0,0.1,1,0,24,34,70.6,0,12,1,1,0,24,34,70.6,332,196,16,16,100.0,6,11,54.5,2,4,50.0,0,0.1,0.0,1,1,1,1,0,34,20,14,0,0,0,2,14,0,0,0,0,24,0,1,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,1,0,44,2,13,23,8,0,44,1,0,0.0,1,100.0,12,62,25,1,1,0,0,0,14,0,0,0,0,0,1,0,2,1,1,0,0,0,3,0,0,
James Tarkowski,0,0,0,0,0,0,0,0,46,1,3,0,0.0,0.0,0.1,1,0,21,31,67.7,2,13,0,1,1,21,31,67.7,387,206,9,9,100.0,9,13,69.2,3,8,37.5,0,0.1,0.0,1,0,1,0,2,31,31,0,0,0,0,0,0,0,0,0,0,21,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,3,4,8,0,46,12,26,15,5,3,46,1,1,100.0,0,0.0,13,76,53,0,1,0,1,0,17,0,0,0,0,0,2,0,0,3,1,0,0,0,4,6,2,75.0
