player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,1,1,8,0,0,0,503,12,12,11,1.9,1.1,1.1,17,1,283,407,69.5,26,245,7,7,3,283,407,69.5,5441,2293,126,157,80.3,103,126,81.7,45,102,44.1,0,1.1,0.6,8,25,8,2,26,407,359,47,8,0,3,16,24,3,3,0,0,283,1,8,12,6,6,3,3,6,22,27.3,16,11,3,8,12,24,25,1,503,59,146,256,104,18,502,7,3,42.9,4,57.1,245,1060,516,7,6,2,10,5,277,25,0,0,0,10,7,1,16,12,6,0,0,0,52,28,27,50.9
Ashley Westwood,0,0,0,0,0,0,0,0,58,4,2,0,0.0,0.0,0.1,2,0,37,51,72.5,2,31,0,2,1,37,51,72.5,699,211,13,17,76.5,20,22,90.9,4,11,36.4,0,0.1,0.0,2,3,1,0,2,51,46,5,3,0,1,3,0,0,0,0,0,37,0,2,4,2,2,0,2,1,2,50.0,1,0,0,0,2,6,1,0,58,2,8,39,11,1,58,2,1,50.0,1,50.0,31,96,33,0,0,0,0,0,34,0,0,0,0,0,1,0,3,2,2,0,0,0,8,0,0,
Charlie Taylor,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,12,17,70.6,1,8,2,0,0,12,17,70.6,233,121,7,9,77.8,2,2,100.0,3,5,60.0,0,0.0,0.0,0,2,1,0,1,17,12,4,0,0,0,1,4,0,0,0,0,12,1,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,21,5,7,10,4,0,21,0,0,,0,,8,69,52,2,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Chris Wood,1,0,1,1,2,0,0,0,28,0,0,1,1.5,0.7,0.0,1,0,11,17,64.7,0,14,0,1,0,11,17,64.7,106,14,5,9,55.6,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,28,0,1,10,17,3,27,1,0,0.0,1,100.0,14,35,1,0,0,0,3,2,18,6,0,0,0,4,1,0,0,0,0,0,0,0,4,4,6,40.0
Dwight McNeil,0,0,0,0,1,0,0,0,51,0,0,1,0.0,0.0,0.0,1,0,28,42,66.7,5,31,3,0,0,28,42,66.7,524,106,16,17,94.1,6,9,66.7,6,14,42.9,0,0.0,0.0,0,4,1,0,5,42,37,5,2,0,2,6,0,3,3,0,0,28,0,2,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,51,3,11,29,12,0,51,0,0,,0,,31,245,128,3,3,0,1,3,34,2,0,0,0,1,2,0,6,0,0,0,0,0,9,1,0,100.0
Erik Pieters,0,0,0,0,0,0,0,0,55,4,1,1,0.0,0.0,0.0,0,0,25,42,59.5,1,22,0,0,0,25,42,59.5,403,145,12,17,70.6,12,17,70.6,1,7,14.3,0,0.0,0.0,0,1,0,0,1,42,38,4,0,0,0,1,4,0,0,0,0,25,0,1,4,1,2,2,0,3,7,42.9,4,1,0,1,1,5,5,1,55,4,17,30,9,2,55,0,0,,0,,22,80,31,0,1,0,1,0,31,3,0,0,0,2,1,0,1,1,1,0,0,0,5,6,1,85.7
James Tarkowski,0,0,0,0,1,0,0,0,39,0,0,2,0.1,0.1,0.0,0,0,26,33,78.8,5,16,0,1,1,26,33,78.8,457,220,13,15,86.7,9,12,75.0,3,3,100.0,0,0.0,0.0,0,3,0,0,5,33,33,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,,0,2,2,0,0,0,2,0,39,5,15,22,2,2,39,1,1,100.0,0,0.0,16,41,24,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,5,50.0
Jay Rodriguez,0,0,0,0,2,0,0,0,17,0,0,0,0.1,0.1,0.1,1,0,8,10,80.0,1,13,2,1,0,8,10,80.0,75,18,7,9,77.8,1,1,100.0,0,0,,0,0.1,0.0,1,2,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,17,0,1,6,10,4,17,1,0,0.0,1,100.0,13,34,24,2,1,2,2,0,15,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,7,12.5
Josh Brownhill,0,0,0,0,1,0,0,0,43,1,1,0,0.1,0.1,0.0,1,0,26,32,81.3,1,16,0,0,0,26,32,81.3,499,123,10,12,83.3,10,13,76.9,5,6,83.3,0,0.0,0.0,0,2,0,0,1,32,32,0,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,4,0,43,6,12,29,2,1,43,0,0,,0,,16,46,11,0,0,0,1,0,21,3,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,0.0
Jóhann Berg Guðmundsson,0,0,0,0,0,0,0,0,28,0,1,2,0.0,0.0,0.1,7,0,20,24,83.3,2,22,0,1,1,20,24,83.3,354,121,12,13,92.3,4,4,100.0,3,5,60.0,0,0.1,0.1,2,1,2,2,2,24,24,0,0,0,0,2,0,0,0,0,0,20,0,1,0,0,0,0,0,0,3,0.0,3,2,0,2,1,1,0,0,28,0,2,13,13,0,28,1,1,100.0,0,0.0,22,95,40,0,0,0,1,0,20,3,0,0,0,1,1,0,2,1,0,0,0,0,4,1,3,25.0
