,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,10,Diogo Jota,Wolves,0.07,,Blocked,13.0,Left Foot,,Rúben Neves,Pass (Live),Rúben Neves,Take-On
1,10,Raúl Jiménez,Wolves,0.11,0.08,Saved,6.0,Head,,Adama Traoré,Pass (Live),Diogo Jota,Shot
2,12,Romain Saïss,Wolves,0.54,,Off Target,3.0,Head,,João Moutinho,Pass (Dead),Rúben Vinagre,Take-On
3,21,Daniel Podence,Wolves,0.03,,Blocked,26.0,Right Foot,,João Moutinho,Pass (Live),Diogo Jota,Pass (Live)
4,23,Chris Wood,Burnley,0.06,,Blocked,22.0,Right Foot,,Jay Rodriguez,Pass (Live),Chris Wood,Pass (Live)
5,33,Rúben Neves,Wolves,0.03,,Off Target,20.0,Right Foot,Volley,Diogo Jota,Pass (Live),Rúben Neves,Pass (Live)
6,37,Jay Rodriguez,Burnley,0.05,,Off Target,16.0,Right Foot,Volley,Ashley Westwood,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
7,40,Diogo Jota,Wolves,0.07,,Off Target,12.0,Left Foot,,Daniel Podence,Pass (Live),Diogo Jota,Pass (Live)
8,45,Jay Rodriguez,Burnley,0.08,,Blocked,16.0,Right Foot,,Jóhann Berg Guðmundsson,Pass (Live),Josh Brownhill,Pass (Live)
9,,,,,,,,,,,,,
10,47,Adama Traoré,Wolves,0.04,,Off Target,14.0,Right Foot,,João Moutinho,Pass (Live),Rúben Neves,Pass (Live)
11,53,Dwight McNeil,Burnley,0.03,,Blocked,29.0,Left Foot,,Jóhann Berg Guðmundsson,Pass (Live),Jóhann Berg Guðmundsson,Take-On
12,53,Raúl Jiménez,Wolves,0.11,,Off Target,16.0,Right Foot,,Raúl Jiménez,Take-On,Diogo Jota,Pass (Live)
13,57,Josh Brownhill,Burnley,0.08,,Blocked,9.0,Left Foot,,Phil Bardsley,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
14,63,Rúben Neves,Wolves,0.02,0.02,Saved,30.0,Right Foot,Volley,Adama Traoré,Pass (Live),João Moutinho,Pass (Live)
15,63,Daniel Podence,Wolves,0.04,,Off Target,21.0,Right Foot,,Diogo Jota,Pass (Live),Diogo Jota,Take-On
16,66,Kevin Long,Burnley,0.04,,Off Target,12.0,Head,,Ashley Westwood,Pass (Dead),Dwight McNeil,Fouled
17,76,Matt Doherty,Wolves,0.03,,Blocked,27.0,Right Foot,,Adama Traoré,Pass (Live),Adama Traoré,Take-On
18,76,Raúl Jiménez,Wolves,0.06,0.35,Goal,18.0,Right Foot,Volley,Matt Doherty,Shot,,
19,79,James Tarkowski,Burnley,0.08,,Off Target,13.0,Other,,Phil Bardsley,Pass (Dead),Jóhann Berg Guðmundsson,Fouled
20,87,Willy Boly,Wolves,0.04,0.04,Saved,15.0,Head,,João Moutinho,Pass (Dead),Adama Traoré,Fouled
21,89,Pedro Neto,Wolves,0.05,0.18,Saved,12.0,Right Foot,,Adama Traoré,Pass (Live),Rúben Neves,Pass (Live)
22,90+3,Chris Wood,Burnley,0.68,,Off Target,3.0,Head,,Matěj Vydra,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
23,90+6,Chris Wood (pen),Burnley,0.79,1.0,Goal,13.0,Right Foot,,,Fouled,Robbie Brady,Pass (Live)
