player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,8,1,3,0,670,21,14,12,0.6,0.6,0.6,14,0,443,543,81.6,39,323,17,13,7,443,543,81.6,8004,2459,192,216,88.9,200,226,88.5,48,83,57.8,0,0.6,0.4,7,20,3,1,39,543,509,32,6,2,10,13,16,2,1,1,0,443,2,6,21,12,11,8,2,9,15,60.0,6,12,10,2,14,35,24,2,670,102,305,268,102,14,670,13,7,53.8,6,46.2,323,1895,943,17,9,3,19,12,435,38,3,0,0,13,5,2,13,14,12,0,1,0,55,9,10,47.4
Aaron Connolly,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,3,0,1,1,3,3,100.0,35,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,0,0,2,2,0,4,1,1,100.0,0,0.0,3,13,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Aaron Mooy,0,0,0,0,0,0,0,0,43,4,0,3,0.0,0.0,0.0,0,0,20,28,71.4,4,18,0,1,0,20,28,71.4,386,118,8,9,88.9,8,9,88.9,4,8,50.0,0,0.0,0.0,0,3,0,0,4,28,27,0,0,0,2,2,0,0,0,0,0,20,1,0,4,2,0,4,0,0,2,0.0,2,3,3,0,0,4,2,0,43,4,13,26,6,0,43,1,0,0.0,1,100.0,18,94,15,0,0,0,3,0,25,2,0,0,0,0,0,0,2,0,2,0,0,0,7,1,0,100.0
Adam Webster,0,0,0,0,1,0,1,0,89,1,3,3,0.1,0.1,0.0,1,0,64,75,85.3,6,43,2,0,0,64,75,85.3,1086,415,29,33,87.9,28,31,90.3,6,9,66.7,0,0.0,0.0,1,2,1,0,6,75,73,1,1,0,0,0,0,0,0,0,0,64,1,0,1,0,1,0,0,0,0,,0,3,3,0,3,4,4,0,89,14,56,30,4,2,89,0,0,,0,,43,338,227,2,2,0,1,0,61,0,1,0,0,1,0,0,0,3,0,0,1,0,7,1,2,33.3
Dale Stephens,0,0,0,0,1,1,0,0,88,5,1,0,0.0,0.0,0.0,1,0,66,76,86.8,7,38,1,1,1,66,76,86.8,1283,263,20,22,90.9,37,40,92.5,8,11,72.7,0,0.0,0.0,0,4,0,0,7,76,76,0,0,0,1,0,0,0,0,0,0,66,0,0,5,3,3,2,0,2,2,100.0,0,0,0,0,1,6,3,1,88,6,35,47,6,0,88,1,1,100.0,0,0.0,38,165,78,1,1,0,0,1,60,1,0,0,0,2,1,0,0,1,3,0,0,0,8,0,1,0.0
Dan Burn,0,0,0,0,2,0,0,0,67,1,1,3,0.2,0.2,0.0,0,0,41,48,85.4,1,33,0,3,2,41,48,85.4,723,118,15,16,93.8,22,25,88.0,4,5,80.0,0,0.0,0.0,0,0,0,0,1,48,43,5,0,0,0,2,5,0,0,0,0,41,0,2,1,1,1,0,0,1,1,100.0,0,3,3,0,1,2,8,0,67,10,32,23,12,3,67,3,2,66.7,1,33.3,33,172,48,0,0,0,2,4,40,7,0,0,0,0,0,0,2,1,1,0,0,0,7,4,0,100.0
Gaëtan Bong,0,0,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.2,2,0,16,22,72.7,3,13,1,2,1,16,22,72.7,285,106,8,9,88.9,7,10,70.0,1,2,50.0,0,0.2,0.1,2,1,1,1,3,22,20,2,0,0,0,3,2,0,0,0,0,16,0,1,1,0,0,0,1,0,0,,0,1,1,0,0,1,0,0,28,0,4,12,12,3,28,2,1,50.0,1,50.0,13,44,17,1,0,1,2,1,17,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0.0
Glenn Murray,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,1,0,0,1,2,50.0,11,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,,0,,4,28,17,1,0,0,0,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Lewis Dunk,0,0,0,0,0,0,0,0,85,0,3,0,0.0,0.0,0.0,1,0,68,79,86.1,6,49,0,0,0,68,79,86.1,1426,496,19,22,86.4,41,42,97.6,8,15,53.3,0,0.0,0.0,0,5,0,0,6,79,76,3,2,0,4,0,1,0,0,0,0,68,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,2,1,85,11,57,28,0,0,85,0,0,,0,,49,217,106,0,0,0,1,0,61,0,0,0,0,2,0,0,0,3,0,0,0,0,6,0,0,
Martín Montoya,0,0,0,0,0,0,0,0,67,4,2,0,0.0,0.0,0.1,2,0,43,53,81.1,2,31,3,2,0,43,53,81.1,735,161,25,31,80.6,13,16,81.3,5,6,83.3,0,0.1,0.0,2,0,1,0,2,53,45,8,0,1,3,0,8,0,0,0,0,43,0,0,4,3,4,0,0,2,2,100.0,0,0,0,0,2,6,2,0,67,4,23,29,15,0,67,2,0,0.0,2,100.0,31,180,105,3,2,0,3,0,43,5,0,0,0,0,1,0,0,2,3,0,0,0,2,1,1,50.0
Mathew Ryan,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,39,48,81.3,0,29,0,0,0,39,48,81.3,741,450,18,18,100.0,15,15,100.0,6,15,40.0,0,0.0,0.0,0,0,0,0,0,48,43,5,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,55,44,55,0,0,0,55,0,0,,0,,29,161,117,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Neal Maupay,0,0,0,0,0,0,1,0,23,0,2,1,0.0,0.0,0.0,0,0,14,18,77.8,1,8,1,1,0,14,18,77.8,205,19,9,9,100.0,4,7,57.1,1,1,100.0,0,0.0,0.0,0,1,0,0,1,18,15,3,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,23,0,1,15,7,1,23,1,0,0.0,1,100.0,8,68,21,1,0,0,2,0,10,5,1,0,0,1,2,2,0,2,0,0,0,0,3,0,2,0.0
Pascal Groß,0,0,0,0,2,0,0,0,57,3,1,0,0.2,0.2,0.3,3,0,29,43,67.4,3,23,5,0,0,29,43,67.4,525,174,13,16,81.3,11,13,84.6,4,9,44.4,0,0.3,0.2,2,2,0,0,3,43,38,5,3,0,0,5,0,2,1,1,0,29,0,2,3,1,1,1,1,2,3,66.7,1,0,0,0,1,4,1,0,57,5,10,30,17,2,57,0,0,,0,,23,163,74,5,1,1,3,1,41,6,0,0,0,1,1,0,5,1,1,0,0,0,0,2,1,66.7
Steven Alzate,0,0,0,0,1,0,1,0,43,2,0,1,0.1,0.1,0.0,3,0,29,34,85.3,4,26,3,1,1,29,34,85.3,434,116,16,17,94.1,12,14,85.7,1,2,50.0,0,0.0,0.0,0,1,0,0,4,34,34,0,0,0,0,0,0,0,0,0,0,29,0,0,2,2,1,1,0,2,2,100.0,0,1,0,1,0,2,1,0,43,4,14,18,13,3,43,1,1,100.0,0,0.0,26,217,116,3,3,1,2,2,28,4,1,0,0,2,0,0,0,0,2,0,0,0,6,0,1,0.0
Yves Bissouma,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,10,14,71.4,2,5,0,1,1,10,14,71.4,129,23,8,9,88.9,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,2,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,18,0,5,7,6,0,18,1,1,100.0,0,0.0,5,35,2,0,0,0,0,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,
