player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,7,1,3,0,440,13,9,12,0.9,0.9,0.2,11,0,228,338,67.5,12,194,9,11,10,228,338,67.5,4091,1619,107,131,81.7,99,120,82.5,20,66,30.3,0,0.2,0.2,2,10,2,0,12,338,289,43,9,1,3,10,17,3,2,0,0,228,6,8,13,6,9,3,1,7,13,53.8,6,12,6,6,9,22,25,1,440,73,167,196,80,7,440,11,10,90.9,1,9.1,194,1061,511,9,7,1,12,12,225,12,3,0,0,4,7,6,10,9,6,0,1,0,38,19,14,57.6
Aaron Lennon,0,0,0,0,0,0,1,0,25,2,2,2,0.0,0.0,0.0,0,0,10,17,58.8,3,16,2,2,2,10,17,58.8,133,26,7,10,70.0,3,5,60.0,0,1,0.0,0,0.0,0.1,0,0,1,0,3,17,17,0,0,0,0,1,0,0,0,0,0,10,0,1,2,2,2,0,0,1,3,33.3,2,2,1,1,2,4,0,0,25,2,6,9,10,0,25,2,2,100.0,0,0.0,16,115,31,2,2,0,0,2,18,1,1,0,0,1,1,0,1,2,2,0,0,0,1,0,0,
Ashley Westwood,0,0,0,0,1,0,1,0,54,0,2,2,0.1,0.1,0.0,2,0,37,45,82.2,2,21,1,0,0,37,45,82.2,646,128,13,15,86.7,22,24,91.7,1,5,20.0,0,0.0,0.0,0,4,0,0,2,45,38,7,2,0,0,2,0,2,1,0,0,37,0,0,0,0,0,0,0,0,0,,0,2,1,1,2,2,0,0,54,3,8,37,9,1,54,0,0,,0,,21,91,43,1,1,0,0,2,30,1,1,0,0,1,1,0,2,2,0,0,0,0,3,3,0,100.0
Ben Mee,0,0,0,0,1,0,0,0,50,1,0,2,0.2,0.2,0.0,1,0,24,34,70.6,0,17,0,1,1,24,34,70.6,472,208,8,10,80.0,13,14,92.9,3,9,33.3,0,0.0,0.0,0,0,0,0,0,34,32,2,2,0,0,0,0,0,0,0,0,24,0,0,1,0,0,1,0,0,0,,0,2,2,0,0,1,9,0,50,12,31,18,1,1,50,1,1,100.0,0,0.0,17,75,39,0,0,0,2,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,2,60.0
Charlie Taylor,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,1,0,24,30,80.0,1,17,1,0,0,24,30,80.0,383,158,14,15,93.3,9,9,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,30,22,7,0,0,0,1,7,0,0,0,0,24,1,1,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,5,0,40,5,17,13,10,0,40,0,0,,0,,17,79,50,1,0,0,2,1,20,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,100.0
Chris Wood,0,0,0,0,1,0,0,0,30,0,1,0,0.4,0.4,0.1,4,0,14,23,60.9,0,14,0,0,0,14,23,60.9,123,16,14,19,73.7,0,2,0.0,0,0,,0,0.1,0.0,1,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,30,1,2,14,14,2,30,0,0,,0,,14,62,16,0,2,0,1,3,23,4,0,0,0,0,2,2,0,1,0,0,0,0,2,8,4,66.7
Dwight McNeil,0,0,0,0,2,1,1,0,44,3,2,2,0.1,0.1,0.2,2,0,23,33,69.7,1,27,4,5,5,23,33,69.7,426,112,11,13,84.6,10,12,83.3,2,5,40.0,0,0.2,0.1,1,2,0,0,1,33,30,1,0,0,2,3,0,1,1,0,0,23,2,1,3,2,2,0,1,2,2,100.0,0,2,0,2,2,5,0,0,44,1,14,19,14,1,44,5,5,100.0,0,0.0,27,262,133,4,2,1,1,0,23,1,1,0,0,1,0,0,3,2,2,0,0,0,9,0,0,
Jack Cork,0,0,0,0,1,0,0,0,38,1,0,0,0.2,0.2,0.0,0,0,23,27,85.2,2,15,0,0,0,23,27,85.2,283,55,15,17,88.2,8,9,88.9,0,0,,0,0.0,0.0,0,0,0,0,2,27,27,0,0,0,0,0,0,0,0,0,0,23,0,1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,3,0,38,4,6,25,7,2,38,0,0,,0,,15,59,21,0,0,0,2,1,22,1,0,0,0,0,2,0,0,0,1,0,0,0,3,1,0,100.0
James Tarkowski,0,0,0,0,0,0,0,0,39,4,0,0,0.0,0.0,0.0,0,0,22,31,71.0,1,16,0,0,0,22,31,71.0,534,242,2,4,50.0,16,21,76.2,4,6,66.7,0,0.0,0.0,0,1,1,0,1,31,30,1,1,0,0,0,0,0,0,0,0,22,0,0,4,1,3,1,0,3,3,100.0,0,0,0,0,0,4,4,0,39,7,23,16,0,0,39,0,0,,0,,16,103,42,0,0,0,1,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,0.0
Jeff Hendrick,0,0,0,0,1,0,0,0,25,0,0,1,0.1,0.1,0.0,1,0,13,20,65.0,0,15,1,2,2,13,20,65.0,197,20,7,9,77.8,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,20,18,2,0,0,1,1,1,0,0,0,0,13,0,3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,25,0,2,16,7,0,25,2,2,100.0,0,0.0,15,68,38,1,0,0,2,2,21,3,0,0,0,0,0,3,1,0,0,0,0,0,1,3,1,75.0
