player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,5,0,1,0,409,12,6,12,0.4,0.4,0.4,8,0,188,287,65.5,10,196,15,20,7,188,287,65.5,3268,1441,90,107,84.1,53,80,66.3,23,59,39.0,0,0.4,0.3,4,10,4,3,10,287,249,37,9,0,5,10,15,0,0,0,0,188,1,7,12,7,9,3,0,4,18,22.2,14,12,5,7,6,18,32,0,409,69,161,156,99,6,409,20,7,35.0,13,65.0,196,1164,576,15,12,1,18,10,187,10,1,0,0,12,9,1,10,6,7,0,0,0,51,17,22,43.6
Allan Saint-Maximin,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.1,3,0,11,15,73.3,1,19,5,8,4,11,15,73.3,175,47,7,8,87.5,1,3,33.3,2,2,100.0,0,0.1,0.1,3,1,1,1,1,15,15,0,0,0,0,2,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,1,6,11,13,1,25,8,4,50.0,4,50.0,19,278,192,5,3,0,2,2,14,1,0,0,0,1,2,0,2,0,0,0,0,0,6,0,0,
Andy Carroll,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,3,0,1,1,3,6,50.0,19,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,5,2,0,7,1,1,100.0,0,0.0,3,9,0,0,0,0,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,75.0
Christian Atsu,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.2,1,0,3,3,100.0,0,3,0,0,0,3,3,100.0,54,22,2,2,100.0,0,0,,1,1,100.0,0,0.2,0.1,1,0,1,1,0,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8,0,0,3,5,0,8,0,0,,0,,3,26,6,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Ciaran Clark,0,0,0,0,1,0,1,0,28,3,0,2,0.2,0.2,0.0,0,0,9,15,60.0,1,10,0,2,2,9,15,60.0,212,47,2,4,50.0,3,4,75.0,3,6,50.0,0,0.0,0.0,0,0,0,0,1,15,15,0,0,0,1,0,0,0,0,0,0,9,0,0,3,1,3,0,0,1,2,50.0,1,2,2,0,0,3,6,0,28,9,15,12,1,1,28,2,2,100.0,0,0.0,10,45,21,0,0,0,0,0,11,0,1,0,0,3,0,0,0,0,1,0,0,0,3,1,3,25.0
DeAndre Yedlin,0,0,0,0,0,0,0,0,46,4,0,1,0.0,0.0,0.0,1,0,23,35,65.7,2,24,1,0,0,23,35,65.7,254,75,14,16,87.5,2,4,50.0,1,6,16.7,0,0.0,0.0,0,2,1,1,2,35,33,2,1,0,0,3,1,0,0,0,0,23,0,1,4,3,2,2,0,1,3,33.3,2,1,1,0,0,4,2,0,46,5,15,18,13,0,46,0,0,,0,,24,65,45,1,1,0,2,0,24,1,0,0,0,0,2,0,3,0,3,0,0,0,4,0,1,0.0
Dwight Gayle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fabian Schär,0,0,0,0,0,0,0,0,48,0,3,3,0.0,0.0,0.0,0,0,21,32,65.6,0,20,0,1,0,21,32,65.6,315,182,12,13,92.3,7,9,77.8,1,9,11.1,0,0.0,0.0,0,1,0,0,0,32,26,6,0,0,2,1,6,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0.0,3,3,2,1,3,3,8,0,48,9,28,13,7,0,48,1,0,0.0,1,100.0,20,104,42,0,0,0,1,1,20,1,0,0,0,2,0,0,1,3,0,0,0,0,6,0,3,0.0
Jamaal Lascelles,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,13,21,61.9,0,10,0,0,0,13,21,61.9,203,77,8,11,72.7,5,9,55.6,0,1,0.0,0,0.0,0.0,0,1,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,28,7,16,11,1,0,28,0,0,,0,,10,28,10,0,0,0,1,0,8,0,0,0,0,3,0,0,0,1,0,0,0,0,5,3,3,50.0
Jetro Willems,0,0,0,0,1,0,0,0,44,1,0,3,0.0,0.0,0.0,0,0,14,29,48.3,1,17,1,1,0,14,29,48.3,264,101,5,7,71.4,8,15,53.3,1,4,25.0,0,0.0,0.0,0,3,0,0,1,29,21,8,0,0,0,1,8,0,0,0,0,14,0,2,1,1,1,0,0,0,0,,0,3,0,3,0,1,5,0,44,6,17,16,11,2,44,1,0,0.0,1,100.0,17,89,36,1,2,0,2,0,13,1,0,0,0,1,1,0,1,0,1,0,0,0,8,2,0,100.0
