,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,21,Callum Hudson-Odoi,Chelsea,0.04,,Blocked,21.0,Left Foot,,Jorginho,Pass (Live),Willian,Pass (Live)
1,22,Fikayo Tomori,Chelsea,0.06,0.03,Saved,7.0,Head,,Callum Hudson-Odoi,Pass (Live),Willian,Pass (Live)
2,24,Michael Obafemi,Southampton,0.09,,Blocked,12.0,Other,,James Ward-Prowse,Pass (Dead),Ryan Bertrand,Fouled
3,31,Michael Obafemi,Southampton,0.1,0.45,Goal,16.0,Left Foot,,Pierre Højbjerg,Pass (Live),,
4,39,César Azpilicueta,Chelsea,0.08,,Saved off Target,7.0,Right Foot,Volley,Willian,Pass (Dead),Fikayo Tomori,Pass (Live)
5,,,,,,,,,,,,,
6,46,Tammy Abraham,Chelsea,0.21,,Off Target,9.0,Right Foot,,Mason Mount,Pass (Live),César Azpilicueta,Pass (Dead)
7,54,Callum Hudson-Odoi,Chelsea,0.02,,Off Target,25.0,Right Foot,,Willian,Pass (Live),Emerson Palmieri,Pass (Dead)
8,56,Callum Hudson-Odoi,Chelsea,0.05,,Blocked,15.0,Right Foot,,N'Golo Kanté,Pass (Live),Jorginho,Pass (Live)
9,65,Nathan Redmond,Southampton,0.32,0.29,Saved,13.0,Right Foot,,Stuart Armstrong,Pass (Live),Nathan Redmond,Pass (Live)
10,66,Stuart Armstrong,Southampton,0.02,,Blocked,30.0,Left Foot,Volley,Nathan Redmond,Shot,,
11,73,Nathan Redmond,Southampton,0.57,0.56,Goal,7.0,Right Foot,Volley,Danny Ings,Pass (Live),Stuart Armstrong,Pass (Live)
12,76,Christian Pulisic,Chelsea,0.05,0.59,Saved,19.0,Left Foot,,Mason Mount,Pass (Live),N'Golo Kanté,Pass (Live)
13,83,César Azpilicueta,Chelsea,0.08,,Off Target,6.0,Head,,Emerson Palmieri,Pass (Dead),Christian Pulisic,Pass (Live)
14,88,Mason Mount,Chelsea,0.03,,Off Target,24.0,Left Foot,,Emerson Palmieri,Pass (Live),N'Golo Kanté,Pass (Live)
15,90+1,Mason Mount,Chelsea,0.07,0.09,Saved,23.0,Right Foot,Free kick,Christian Pulisic,Fouled,Mason Mount,Pass (Live)
