,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,James McArthur,Crystal Palace,0.02,,Off Target,41.0,Left Foot,,,,,
1,6,Olivier Giroud,Chelsea,0.46,0.51,Goal,8.0,Right Foot,Deflected,Willian,Pass (Live),Reece James,Pass (Live)
2,10,Kurt Zouma,Chelsea,0.09,,Off Target,8.0,Head,,Willian,Pass (Dead),Mason Mount,Pass (Live)
3,13,Ross Barkley,Chelsea,0.06,,Blocked,30.0,Right Foot,Free kick,Mason Mount,Pass (Live),Willian,Pass (Dead)
4,24,James McArthur,Crystal Palace,0.03,,Blocked,28.0,Right Foot,,Wilfried Zaha,Pass (Live),James McArthur,Pass (Live)
5,27,Christian Pulisic,Chelsea,0.06,0.28,Goal,13.0,Left Foot,,Willian,Pass (Live),Olivier Giroud,Pass (Live)
6,32,Willian,Chelsea,0.24,0.49,Saved,17.0,Right Foot,,Christian Pulisic,Pass (Live),Christian Pulisic,Take-On
7,34,Wilfried Zaha,Crystal Palace,0.02,0.13,Goal,33.0,Right Foot,,Jordan Ayew,Pass (Live),Patrick van Aanholt,Pass (Live)
8,40,Scott Dann,Crystal Palace,0.04,,Off Target,12.0,Head,,Luka Milivojević,Pass (Dead),Wilfried Zaha,Pass (Live)
9,45+2,Christian Benteke,Crystal Palace,0.05,0.02,Saved,14.0,Head,,Luka Milivojević,Pass (Dead),Christian Benteke,Fouled
10,,,,,,,,,,,,,
11,48,Ross Barkley,Chelsea,0.02,,Off Target,34.0,Left Foot,,Billy Gilmour,Pass (Live),,
12,51,Patrick van Aanholt,Crystal Palace,0.02,,Off Target,29.0,Left Foot,Volley,Wilfried Zaha,Fouled,Mamadou Sakho,Pass (Live)
13,54,Olivier Giroud,Chelsea,0.17,,Off Target,8.0,Head,,Reece James,Pass (Live),Willian,Pass (Live)
14,63,Jordan Ayew,Crystal Palace,0.09,,Blocked,12.0,Right Foot,,,,,
15,71,Tammy Abraham,Chelsea,0.42,0.88,Goal,11.0,Right Foot,,Ruben Loftus-Cheek,Pass (Live),Mason Mount,Pass (Live)
16,72,Christian Benteke,Crystal Palace,0.82,0.93,Goal,3.0,Right Foot,,Patrick van Aanholt,Take-On,James McArthur,Pass (Live)
17,75,César Azpilicueta,Chelsea,0.05,,Off Target,11.0,Head,,Willian,Pass (Dead),Ruben Loftus-Cheek,Pass (Live)
18,86,Mason Mount,Chelsea,0.08,0.54,Saved,18.0,Left Foot,,Willian,Pass (Live),Reece James,Pass (Live)
19,87,Mason Mount,Chelsea,0.03,,Off Target,23.0,Left Foot,,Ruben Loftus-Cheek,Pass (Live),Mason Mount,Shot
20,89,Tammy Abraham,Chelsea,0.07,,Off Target,12.0,Right Foot,,,,,
21,90,Willian,Chelsea,0.08,,Blocked,17.0,Right Foot,Volley,Christian Pulisic,Pass (Live),Christian Pulisic,Take-On
22,90+2,Willian,Chelsea,0.09,0.05,Saved,13.0,Right Foot,,Christian Pulisic,Pass (Live),Jorginho,Pass (Live)
23,90+4,Christian Benteke,Crystal Palace,0.08,,Blocked,11.0,Right Foot,,Patrick van Aanholt,Pass (Live),Wilfried Zaha,Pass (Live)
24,90+4,Wilfried Zaha,Crystal Palace,0.04,,Blocked,19.0,Right Foot,,Max Meyer,Pass (Live),Andros Townsend,Pass (Live)
25,90+5,Scott Dann,Crystal Palace,0.25,0.37,Saved,4.0,Head,,Wilfried Zaha,Pass (Live),Patrick van Aanholt,Pass (Live)
26,90+5,Patrick van Aanholt,Crystal Palace,0.06,,Blocked,16.0,Right Foot,,Scott Dann,Shot,,
27,90+6,Joel Ward,Crystal Palace,0.05,,Off Target,10.0,Head,,Patrick van Aanholt,Pass (Dead),,
