,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5.0,Gabriel Jesus,Manchester City,0.06,,Off Target,4.0,Head,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
1,7.0,David Silva,Manchester City,0.04,0.02,Saved,21.0,Left Foot,,Bernardo Silva,Pass (Live),,
2,8.0,Gabriel Jesus,Manchester City,0.18,,Blocked,5.0,Head,,João Cancelo,Pass (Live),David Silva,Pass (Live)
3,10.0,Jordan Ayew,Crystal Palace,0.17,,Off Target,7.0,Head,,James McArthur,Pass (Live),Patrick van Aanholt,Pass (Dead)
4,16.0,Bernardo Silva,Manchester City,0.02,0.16,Saved,18.0,Left Foot,,Rodri,Pass (Live),Bernardo Silva,Pass (Live)
5,16.0,Gabriel Jesus,Manchester City,0.14,,Off Target,3.0,Head,,Bernardo Silva,Shot,,
6,21.0,İlkay Gündoğan,Manchester City,0.03,0.05,Saved,25.0,Right Foot,Deflected,Raheem Sterling,Pass (Live),Fernandinho,Pass (Live)
7,21.0,Gabriel Jesus,Manchester City,0.13,0.28,Saved,7.0,Head,,João Cancelo,Pass (Live),İlkay Gündoğan,Pass (Live)
8,26.0,João Cancelo,Manchester City,0.02,0.06,Saved,30.0,Right Foot,,Bernardo Silva,Pass (Live),İlkay Gündoğan,Pass (Live)
9,33.0,Luka Milivojević,Crystal Palace,0.06,,Blocked,31.0,Right Foot,Free kick,Wilfried Zaha,Fouled,,
10,34.0,Gabriel Jesus,Manchester City,0.05,,Off Target,16.0,Head,,İlkay Gündoğan,Pass (Live),Raheem Sterling,Pass (Live)
11,39.0,Gabriel Jesus,Manchester City,0.29,0.38,Goal,9.0,Head,Deflected,Bernardo Silva,Pass (Live),Fernandinho,Pass (Live)
12,41.0,David Silva,Manchester City,0.56,0.81,Goal,8.0,Left Foot,Volley,Raheem Sterling,Pass (Live),Gabriel Jesus,Pass (Live)
13,,,,,,,,,,,,,
14,49.0,Cheikhou Kouyaté,Crystal Palace,0.03,,Off Target,25.0,Right Foot,,James McArthur,Pass (Live),Cheikhou Kouyaté,Pass (Live)
15,52.0,Raheem Sterling,Manchester City,0.06,,Woodwork,15.0,Right Foot,,Gabriel Jesus,Pass (Live),Gabriel Jesus,Take-On
16,54.0,İlkay Gündoğan,Manchester City,0.02,,Blocked,26.0,Right Foot,,Kevin De Bruyne,Pass (Live),İlkay Gündoğan,Pass (Live)
17,55.0,Raheem Sterling,Manchester City,0.08,,Off Target,16.0,Left Foot,,Raheem Sterling,Take-On,David Silva,Pass (Live)
18,68.0,Gabriel Jesus,Manchester City,0.07,0.05,Saved,14.0,Left Foot,,João Cancelo,Pass (Live),Gabriel Jesus,Pass (Live)
19,73.0,Bernardo Silva,Manchester City,0.05,0.06,Saved,14.0,Left Foot,,Raheem Sterling,Pass (Live),Raheem Sterling,Take-On
20,74.0,Patrick van Aanholt,Crystal Palace,0.04,,Blocked,18.0,Left Foot,Volley,Wilfried Zaha,Pass (Live),James McArthur,Pass (Live)
21,76.0,Christian Benteke,Crystal Palace,0.03,0.12,Saved,13.0,Head,,Patrick van Aanholt,Pass (Dead),Wilfried Zaha,Pass (Live)
22,76.0,Gabriel Jesus,Manchester City,0.62,0.84,Saved,8.0,Right Foot,,Gabriel Jesus,Take-On,Raheem Sterling,Pass (Live)
23,79.0,Raheem Sterling,Manchester City,0.32,,Off Target,10.0,Left Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
24,81.0,Kevin De Bruyne,Manchester City,0.32,,Woodwork,5.0,Head,,İlkay Gündoğan,Pass (Live),Bernardo Silva,Pass (Live)
25,85.0,João Cancelo,Manchester City,0.08,,Blocked,18.0,Left Foot,,João Cancelo,Take-On,İlkay Gündoğan,Pass (Live)
26,87.0,Raheem Sterling,Manchester City,0.41,,Off Target,11.0,Right Foot,,João Cancelo,Pass (Live),Bernardo Silva,Pass (Live)
27,88.0,Wilfried Zaha,Crystal Palace,0.07,0.09,Saved,16.0,Right Foot,,Wilfried Zaha,Take-On,Cheikhou Kouyaté,Pass (Live)
28,88.0,Jordan Ayew,Crystal Palace,0.51,,Off Target,3.0,Left Foot,Volley,Wilfried Zaha,Shot,,
