player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,14,2,3,0,582,18,8,15,1.6,0.8,0.7,24,4,361,463,78.0,48,273,26,15,11,361,463,78.0,6192,2370,180,200,90.0,131,155,84.5,37,77,48.1,1,0.7,0.9,12,42,12,2,48,463,415,46,9,0,0,21,24,5,1,3,0,361,2,12,18,10,8,7,3,10,21,47.6,11,15,4,11,8,26,13,0,582,45,144,230,217,27,581,15,11,73.3,4,26.7,273,2034,1028,26,16,5,16,13,360,47,3,0,0,14,10,2,21,8,10,1,0,0,59,15,11,57.7
Andros Townsend,1,0,0,0,1,1,0,0,15,0,1,0,0.1,0.1,0.1,1,0,9,14,64.3,1,12,3,1,1,9,14,64.3,123,36,5,5,100.0,2,3,66.7,1,3,33.3,0,0.1,0.1,1,1,1,1,1,14,14,0,0,0,0,3,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,15,0,2,5,8,1,15,1,1,100.0,0,0.0,12,143,95,3,0,0,0,0,11,3,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,
Cheikhou Kouyaté,0,0,0,0,1,0,0,0,38,2,1,0,0.0,0.0,0.0,1,0,23,27,85.2,9,18,1,1,0,23,27,85.2,283,134,13,15,86.7,8,10,80.0,0,0,,0,0.0,0.0,0,4,2,0,9,27,27,0,0,0,0,0,0,0,0,0,0,23,0,0,2,1,0,2,0,0,0,,0,0,0,0,1,3,0,0,38,0,7,18,15,1,38,1,0,0.0,1,100.0,18,197,98,1,1,0,2,0,22,1,0,0,0,3,3,0,0,1,1,0,0,0,5,2,1,66.7
Gary Cahill,0,0,0,0,1,0,0,0,50,1,2,1,0.1,0.1,0.0,0,0,34,39,87.2,3,16,2,1,1,34,39,87.2,732,295,11,11,100.0,16,18,88.9,7,9,77.8,0,0.0,0.0,0,1,0,0,3,39,35,4,4,0,0,0,0,0,0,0,0,34,0,1,1,1,1,0,0,1,3,33.3,2,1,1,0,2,3,2,0,50,5,23,25,4,3,50,1,1,100.0,0,0.0,16,104,49,2,1,0,1,1,24,0,0,0,0,0,0,0,0,2,1,0,0,0,5,2,1,66.7
James McArthur,0,0,0,0,2,0,0,0,64,1,1,3,0.1,0.1,0.1,4,2,36,48,75.0,3,28,3,0,0,36,48,75.0,564,93,21,24,87.5,10,12,83.3,3,6,50.0,0,0.1,0.1,2,5,1,0,3,48,45,2,0,0,0,3,1,0,0,0,0,36,1,3,1,0,0,0,1,1,1,100.0,0,3,0,3,1,2,1,0,64,2,10,28,26,4,64,0,0,,0,,28,168,84,3,2,2,1,0,36,4,0,0,0,2,2,0,3,1,0,1,0,0,6,1,2,33.3
James McCarthy,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,1,0,5,6,83.3,78,13,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,7,0,0,4,3,0,7,1,0,0.0,1,100.0,4,48,6,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Jeffrey Schlupp,0,0,0,0,1,0,1,0,42,1,0,2,0.0,0.0,0.0,2,0,27,34,79.4,8,25,6,4,3,27,34,79.4,462,147,15,17,88.2,10,12,83.3,2,4,50.0,0,0.0,0.0,0,6,0,0,8,34,34,0,0,0,0,1,0,0,0,0,0,27,0,1,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0,42,2,8,15,20,4,42,4,3,75.0,1,25.0,25,192,107,6,3,1,2,1,29,10,1,0,0,2,0,0,1,0,1,0,0,0,7,1,0,100.0
Joel Ward,0,0,0,0,0,0,0,0,63,4,1,2,0.0,0.0,0.0,0,0,42,53,79.2,3,15,0,0,0,42,53,79.2,624,268,23,25,92.0,14,15,93.3,3,7,42.9,0,0.0,0.0,0,6,0,0,3,53,42,11,0,0,0,1,11,0,0,0,0,42,0,2,4,3,2,1,1,3,4,75.0,1,2,1,1,1,5,2,0,63,4,16,31,16,0,63,0,0,,0,,15,47,8,0,0,0,0,0,34,2,0,0,0,0,1,0,1,1,3,0,0,0,3,3,0,100.0
Jordan Ayew,0,0,0,0,3,1,1,0,46,1,0,1,0.2,0.2,0.1,5,0,26,34,76.5,0,22,1,0,0,26,34,76.5,383,28,13,14,92.9,9,12,75.0,2,3,66.7,0,0.1,0.1,2,1,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,26,0,2,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,46,0,3,18,26,4,46,0,0,,0,,22,252,72,1,2,1,4,3,37,6,1,0,0,4,1,1,0,0,0,0,0,0,5,3,6,33.3
Luka Milivojević,1,0,1,1,0,0,1,0,62,6,1,2,0.8,0.0,0.1,3,0,41,50,82.0,6,23,0,0,0,41,50,82.0,791,252,19,21,90.5,15,17,88.2,7,11,63.6,0,0.1,0.2,1,7,1,0,6,50,42,8,3,0,0,5,0,5,1,3,0,41,0,0,6,4,3,3,0,5,6,83.3,1,2,0,2,1,7,1,0,62,2,12,30,20,1,61,0,0,,0,,23,135,65,0,1,0,0,0,35,0,1,0,0,2,2,0,5,1,4,0,0,0,7,1,1,50.0
