player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,10,2,1,0,599,15,9,9,1.1,1.1,0.4,18,2,354,478,74.1,42,292,15,22,13,354,478,74.1,5929,2435,188,217,86.6,125,157,79.6,35,70,50.0,1,0.4,0.4,6,25,11,1,42,478,418,58,12,0,0,20,30,6,4,0,2,354,2,12,15,10,6,7,2,6,18,33.3,12,9,2,7,9,24,23,0,599,70,234,248,125,31,599,22,13,59.1,9,40.9,292,1473,697,15,9,5,21,11,353,42,1,0,0,12,11,2,20,9,10,0,0,0,58,24,30,44.4
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.1,0,0,3,5,60.0,0,4,0,0,0,3,5,60.0,29,0,3,4,75.0,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,7,1,3,2,2,1,7,0,0,,0,,4,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0.0
Christian Benteke,1,0,0,0,3,2,0,0,39,1,1,0,0.8,0.8,0.1,3,1,8,23,34.8,0,15,0,1,0,8,23,34.8,60,8,7,11,63.6,0,6,0.0,0,1,0.0,0,0.1,0.0,2,0,0,0,0,23,22,1,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,2,0,39,4,5,18,16,10,39,1,0,0.0,1,100.0,15,100,6,0,1,1,4,2,28,9,0,0,0,1,0,1,1,1,0,0,0,0,0,6,11,35.3
Gary Cahill,0,0,0,0,1,0,0,0,58,0,0,1,0.0,0.0,0.0,1,0,42,47,89.4,1,32,0,1,1,42,47,89.4,740,248,18,19,94.7,22,23,95.7,1,3,33.3,0,0.0,0.0,0,1,0,0,1,47,46,1,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,58,10,41,16,3,2,58,1,1,100.0,0,0.0,32,156,75,0,0,0,1,0,41,0,0,0,0,4,1,0,0,0,0,0,0,0,3,4,6,40.0
James McArthur,0,0,0,0,1,0,0,0,65,5,1,1,0.0,0.0,0.1,2,0,38,52,73.1,11,29,4,2,1,38,52,73.1,546,186,27,29,93.1,8,12,66.7,3,5,60.0,0,0.1,0.0,1,8,1,0,11,52,47,5,0,0,0,3,2,0,0,0,0,38,0,3,5,3,1,3,1,1,3,33.3,2,1,0,1,1,6,2,0,65,3,14,34,18,5,65,2,1,50.0,1,50.0,29,152,96,4,1,1,1,0,32,9,0,0,0,1,0,1,3,1,3,0,0,0,9,2,4,33.3
James McCarthy,0,0,0,0,1,0,1,0,39,3,2,1,0.0,0.0,0.1,1,0,15,28,53.6,1,6,0,0,0,15,28,53.6,200,22,10,15,66.7,4,6,66.7,0,1,0.0,0,0.1,0.0,1,1,1,0,1,28,26,1,0,0,0,1,0,1,0,0,1,15,1,3,3,3,2,1,0,1,1,100.0,0,1,0,1,2,5,2,0,39,1,12,16,11,2,39,0,0,,0,,6,15,0,0,0,0,1,0,13,0,1,0,0,2,0,0,1,2,3,0,0,0,6,0,1,0.0
James Tomkins,0,0,0,0,0,0,0,0,32,0,1,1,0.0,0.0,0.0,0,0,21,26,80.8,0,16,0,0,0,21,26,80.8,372,166,9,11,81.8,9,9,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,26,24,2,2,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,3,0,32,5,22,10,0,0,32,0,0,,0,,16,56,39,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,0,100.0
Joel Ward,0,0,0,0,0,0,0,0,51,1,1,0,0.0,0.0,0.0,0,0,28,43,65.1,3,16,1,0,0,28,43,65.1,407,242,18,23,78.3,8,14,57.1,2,4,50.0,0,0.0,0.0,0,1,1,0,3,43,27,16,0,0,0,1,16,0,0,0,0,28,0,2,1,0,0,0,1,1,2,50.0,1,0,0,0,1,2,4,0,51,3,15,25,11,0,51,0,0,,0,,16,65,24,1,0,0,1,1,20,1,0,0,0,1,0,0,1,1,0,0,0,0,4,2,1,66.7
Jordan Ayew,0,0,0,0,0,0,0,0,39,0,0,1,0.0,0.0,0.0,3,0,22,26,84.6,5,25,5,8,5,22,26,84.6,367,106,15,16,93.8,2,3,66.7,5,6,83.3,0,0.0,0.0,0,3,1,0,5,26,25,1,0,0,0,3,1,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,39,0,6,20,15,2,39,8,5,62.5,3,37.5,25,284,98,5,2,1,6,2,30,5,0,0,0,0,4,0,3,0,0,0,0,0,1,0,1,0.0
Luka Milivojević,0,0,0,0,1,0,0,0,79,2,3,0,0.0,0.0,0.0,0,0,56,70,80.0,8,52,0,2,2,56,70,80.0,1187,429,18,21,85.7,28,30,93.3,10,19,52.6,0,0.0,0.0,0,4,1,0,8,70,65,5,4,0,0,1,0,1,0,0,1,56,0,0,2,2,1,1,0,2,3,66.7,1,0,0,0,3,5,3,0,79,5,33,42,5,0,79,2,2,100.0,0,0.0,52,177,83,0,0,0,1,1,53,1,0,0,0,2,2,0,1,3,2,0,0,0,10,1,2,33.3
