,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,3,Lucas Digne,Everton,0.06,0.21,Saved,31.0,Left Foot,Free kick,Dominic Calvert-Lewin,Fouled,,
1,11,Yerry Mina,Everton,0.06,,Off Target,9.0,Head,,Lucas Digne,Pass (Dead),Lucas Digne,Fouled
2,13,Patrick van Aanholt,Crystal Palace,0.07,,Blocked,14.0,Left Foot,Deflected,James McArthur,Pass (Live),James McArthur,Take-On
3,18,Bernard,Everton,0.35,0.32,Goal,10.0,Right Foot,Volley,Theo Walcott,Pass (Live),Theo Walcott,Take-On
4,30,Richarlison,Everton,0.03,0.05,Saved,29.0,Right Foot,,Gylfi Sigurðsson,Pass (Live),Lucas Digne,Pass (Live)
5,32,Richarlison,Everton,0.04,,Blocked,18.0,Right Foot,,,,,
6,39,James McArthur,Crystal Palace,0.04,,Off Target,19.0,Left Foot,,Christian Benteke,Pass (Live),Jordan Ayew,Pass (Live)
7,45+1,Patrick van Aanholt,Crystal Palace,0.03,,Off Target,22.0,Right Foot,,Christian Benteke,Pass (Live),Wilfried Zaha,Pass (Live)
8,,,,,,,,,,,,,
9,48,James McCarthy,Crystal Palace,0.03,,Off Target,19.0,Right Foot,,Jordan Ayew,Take-On,Jordan Ayew,Take-On
10,48,Wilfried Zaha,Crystal Palace,0.08,,Off Target,11.0,Right Foot,,James McCarthy,Shot,,
11,51,Christian Benteke,Crystal Palace,0.05,0.07,Goal,14.0,Right Foot,,Wilfried Zaha,Pass (Live),Christian Benteke,Pass (Live)
12,56,Gary Cahill,Crystal Palace,0.04,,Off Target,14.0,Right Foot,Volley,Wilfried Zaha,Take-On,Wilfried Zaha,Take-On
13,57,Luka Milivojević,Crystal Palace,0.01,,Blocked,33.0,Right Foot,,Gary Cahill,Shot,,
14,59,Richarlison,Everton,0.09,0.53,Goal,17.0,Right Foot,,Dominic Calvert-Lewin,Pass (Live),,
15,61,Christian Benteke,Crystal Palace,0.67,0.83,Saved,5.0,Head,,Wilfried Zaha,Pass (Live),Patrick van Aanholt,Pass (Live)
16,64,Gylfi Sigurðsson,Everton,0.53,0.88,Saved,10.0,Right Foot,,Gylfi Sigurðsson,Take-On,Gylfi Sigurðsson,Take-On
17,72,Dominic Calvert-Lewin,Everton,0.05,,Blocked,15.0,Right Foot,,Tom Davies,Pass (Live),Djibril Sidibé,Interception
18,84,Christian Benteke,Crystal Palace,0.11,,Off Target,10.0,Right Foot,Volley,Wilfried Zaha,Pass (Live),Patrick van Aanholt,Pass (Live)
19,88,Richarlison,Everton,0.06,,Woodwork,10.0,Head,,Lucas Digne,Pass (Dead),,
20,88,Dominic Calvert-Lewin,Everton,0.63,0.86,Goal,3.0,Right Foot,Volley,Richarlison,Shot,,
21,89,Dominic Calvert-Lewin,Everton,0.04,0.19,Saved,19.0,Right Foot,,Djibril Sidibé,Pass (Live),Dominic Calvert-Lewin,Pass (Live)
22,90+1,Richarlison,Everton,0.03,0.07,Saved,21.0,Right Foot,,Lucas Digne,Pass (Live),Tom Davies,Pass (Live)
23,90+1,Dominic Calvert-Lewin,Everton,0.46,,Off Target,9.0,Right Foot,Volley,Richarlison,Shot,,
24,90+3,Morgan Schneiderlin,Everton,0.08,,Off Target,15.0,Right Foot,,Djibril Sidibé,Pass (Live),Lucas Digne,Pass (Live)
