,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Gylfi Sigurðsson,Everton,0.02,,Blocked,29.0,Right Foot,,Bernard,Pass (Live),Lucas Digne,Pass (Live)
1,5,Richarlison,Everton,0.04,,Off Target,16.0,Right Foot,,Gylfi Sigurðsson,Pass (Live),Morgan Schneiderlin,Pass (Live)
2,11,Morgan Schneiderlin,Everton,0.04,,Off Target,22.0,Right Foot,,Gylfi Sigurðsson,Pass (Live),,
3,17,Lucas Digne,Everton,0.03,0.09,Saved,24.0,Left Foot,,Gylfi Sigurðsson,Pass (Live),Séamus Coleman,Pass (Live)
4,20,Moise Kean,Everton,0.05,,Off Target,12.0,Head,,Gylfi Sigurðsson,Pass (Live),Séamus Coleman,Pass (Live)
5,30,Richarlison,Everton,0.09,,Off Target,11.0,Right Foot,Volley,Gylfi Sigurðsson,Pass (Live),Yerry Mina,Pass (Live)
6,31,Moise Kean,Everton,0.02,,Off Target,32.0,Right Foot,,Lucas Digne,Pass (Live),Bernard,Pass (Live)
7,43,Richarlison,Everton,0.22,0.26,Saved,11.0,Head,,Moise Kean,Pass (Live),Moise Kean,Take-On
8,45+1,Moise Kean,Everton,0.05,,Blocked,16.0,Right Foot,,Fabian Delph,Pass (Live),Lucas Digne,Pass (Live)
9,45+3,Lucas Digne,Everton,0.08,,Blocked,23.0,Left Foot,Free kick,Richarlison,Fouled,Morgan Schneiderlin,Pass (Live)
10,,,,,,,,,,,,,
11,57,Moise Kean,Everton,0.15,0.58,Saved,5.0,Right Foot,,Richarlison,Pass (Live),Lucas Digne,Pass (Live)
12,62,Gylfi Sigurðsson,Everton,0.03,,Off Target,20.0,Right Foot,,Alex Iwobi,Pass (Live),Lucas Digne,Pass (Dead)
13,73,Chris Basham,Sheffield Utd,0.05,,Off Target,12.0,Head,,John Fleck,Pass (Live),Jack O'Connell,Pass (Live)
14,75,Moise Kean,Everton,0.06,,Blocked,14.0,Right Foot,,Alex Iwobi,Pass (Live),Gylfi Sigurðsson,Tackle
15,75,Cenk Tosun,Everton,0.06,,Blocked,16.0,Left Foot,,Moise Kean,Shot,,
16,79,Lys Mousset,Sheffield Utd,0.41,0.57,Goal,14.0,Right Foot,,John Lundstram,Pass (Live),John Lundstram,Pass (Live)
17,81,Theo Walcott,Everton,0.03,,Blocked,20.0,Right Foot,,Fabian Delph,Pass (Live),Richarlison,Pass (Live)
18,90+5,Theo Walcott,Everton,0.04,,Blocked,22.0,Right Foot,Volley,Richarlison,Fouled,Alex Iwobi,Pass (Live)
