,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,6,Lucas Digne,Everton,0.02,,Off Target,26.0,Left Foot,,Lucas Digne,Pass (Dead),Séamus Coleman,Pass (Live)
1,8,Richarlison,Everton,0.04,,Blocked,11.0,Head,,Lucas Digne,Pass (Dead),,
2,10,Lucas Digne,Everton,0.07,,Blocked,27.0,Left Foot,Free kick,Gylfi Sigurðsson,Fouled,Richarlison,Shot
3,10,Bernard,Everton,0.05,0.17,Goal,15.0,Right Foot,Deflected,Lucas Digne,Pass (Live),,
4,24,Craig Dawson,Watford,0.09,,Woodwork,5.0,Head,,José Holebas,Pass (Dead),Will Hughes,Pass (Live)
5,29,Lucas Digne,Everton,0.05,0.23,Saved,16.0,Left Foot,Volley,André Gomes,Pass (Live),Lucas Digne,Pass (Live)
6,39,Étienne Capoue,Watford,0.03,0.15,Saved,25.0,Right Foot,,Troy Deeney,Pass (Live),José Holebas,Pass (Live)
7,41,Richarlison,Everton,0.07,,Off Target,12.0,Head,,Gylfi Sigurðsson,Pass (Dead),Bernard,Fouled
8,45+2,Étienne Capoue,Watford,0.02,,Off Target,30.0,Right Foot,,Will Hughes,Pass (Live),Roberto Pereyra,Pass (Dead)
9,,,,,,,,,,,,,
10,47,Roberto Pereyra,Watford,0.02,,Blocked,21.0,Right Foot,,Gerard Deulofeu,Pass (Live),Étienne Capoue,Pass (Live)
11,57,Troy Deeney,Watford,0.41,0.52,Saved,11.0,Right Foot,,Gerard Deulofeu,Pass (Live),Étienne Capoue,Pass (Live)
12,60,Richarlison,Everton,0.06,,Off Target,12.0,Head,,Gylfi Sigurðsson,Pass (Dead),Richarlison,Fouled
13,64,Roberto Pereyra,Watford,0.32,,Off Target,9.0,Head,,Abdoulaye Doucouré,Pass (Live),Roberto Pereyra,Pass (Live)
14,77,Séamus Coleman,Everton,0.03,,Off Target,34.0,Right Foot,,Séamus Coleman,Take-On,André Gomes,Pass (Live)
15,83,Bernard,Everton,0.12,,Blocked,10.0,Right Foot,,Bernard,Take-On,André Gomes,Pass (Live)
16,84,Troy Deeney,Watford,0.04,,Blocked,24.0,Right Foot,,Andre Gray,Pass (Live),Troy Deeney,Pass (Live)
17,84,Abdoulaye Doucouré,Watford,0.32,,Off Target,12.0,Right Foot,,Troy Deeney,Shot,,
18,88,Moise Kean,Everton,0.09,,Off Target,22.0,Right Foot,,Moise Kean,Take-On,Bernard,Pass (Live)
19,90+2,Moise Kean,Everton,0.05,,Off Target,18.0,Right Foot,,Bernard,Tackle,,
20,90+5,Gylfi Sigurðsson,Everton,0.03,,Blocked,23.0,Right Foot,,Bernard,Pass (Live),Bernard,Take-On
