player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,12,5,0,0,767,11,14,7,0.8,0.8,0.7,21,1,538,655,82.1,56,420,21,17,11,538,655,82.1,9646,3250,244,282,86.5,239,271,88.2,52,74,70.3,0,0.7,0.6,10,35,7,4,56,655,605,44,3,1,6,20,29,5,1,3,0,538,6,14,11,7,7,4,0,8,16,50.0,8,7,3,4,14,25,21,1,767,93,259,340,174,9,767,17,11,64.7,6,35.3,420,2445,1243,21,21,2,19,5,535,56,0,0,0,10,2,6,20,14,7,0,0,0,58,12,8,60.0
Aaron Connolly,0,0,0,0,1,1,0,0,16,0,0,0,0.1,0.1,0.0,0,0,5,8,62.5,0,11,4,0,0,5,8,62.5,69,9,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,16,0,1,6,9,1,16,0,0,,0,,11,121,39,4,2,0,4,0,13,7,0,0,0,3,1,4,1,0,0,0,0,0,0,1,1,50.0
Aaron Mooy,0,0,0,0,1,1,0,0,61,2,1,1,0.0,0.0,0.0,2,0,39,51,76.5,7,36,7,4,2,39,51,76.5,536,122,24,27,88.9,13,20,65.0,1,2,50.0,0,0.0,0.1,1,3,2,0,7,51,48,3,0,0,0,3,1,2,0,1,0,39,0,1,2,2,2,0,0,1,2,50.0,1,1,0,1,1,3,0,0,61,0,8,28,25,1,61,4,2,50.0,2,50.0,36,216,124,7,2,1,2,2,44,8,0,0,0,0,0,0,3,1,2,0,0,0,7,0,1,0.0
Adam Webster,0,0,0,0,1,0,0,0,86,1,1,1,0.0,0.0,0.2,2,0,70,77,90.9,7,56,1,1,1,70,77,90.9,1382,528,22,26,84.6,42,44,95.5,6,6,100.0,0,0.2,0.0,1,5,0,0,7,77,75,2,0,1,1,0,2,0,0,0,0,70,0,0,1,0,0,1,0,1,2,50.0,1,1,0,1,1,2,5,0,86,13,44,40,2,0,86,1,1,100.0,0,0.0,56,329,221,1,0,0,0,0,63,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,2,60.0
Dale Stephens,0,0,0,0,0,0,0,0,81,0,2,0,0.0,0.0,0.0,2,0,69,78,88.5,8,40,0,0,0,69,78,88.5,1422,448,24,26,92.3,34,35,97.1,11,13,84.6,0,0.0,0.0,1,10,0,0,8,78,77,0,0,0,1,0,0,0,0,0,0,69,1,2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,81,1,27,44,11,0,81,0,0,,0,,40,195,86,0,4,0,0,0,62,0,0,0,0,1,0,0,0,2,0,0,0,0,12,0,0,
Dan Burn,0,0,0,0,1,0,0,0,88,1,2,2,0.0,0.0,0.1,3,0,62,77,80.5,9,38,1,2,2,62,77,80.5,1024,429,27,30,90.0,30,33,90.9,4,8,50.0,0,0.1,0.1,1,6,1,1,9,77,65,12,1,0,0,2,11,0,0,0,0,62,0,3,1,1,0,1,0,1,1,100.0,0,2,1,1,2,3,5,0,88,5,26,45,17,1,88,2,2,100.0,0,0.0,38,162,90,1,1,0,0,0,53,5,0,0,0,1,0,0,2,2,1,0,0,0,5,3,1,75.0
Davy Pröpper,0,0,0,0,3,1,0,0,76,1,3,0,0.1,0.1,0.0,2,0,43,60,71.7,9,42,3,6,5,43,60,71.7,676,173,28,34,82.4,12,20,60.0,3,4,75.0,0,0.0,0.1,0,1,1,0,9,60,59,0,0,0,0,4,0,0,0,0,0,43,1,2,1,1,1,0,0,1,5,20.0,4,0,0,0,3,4,1,0,76,2,13,41,25,0,76,6,5,83.3,1,16.7,42,230,127,3,4,0,3,0,55,2,0,0,0,0,0,0,4,3,1,0,0,0,7,0,0,
Leandro Trossard,0,0,0,0,1,0,0,0,26,0,0,0,0.2,0.2,0.0,2,1,11,19,57.9,2,18,0,2,0,11,19,57.9,166,55,6,8,75.0,5,6,83.3,0,3,0.0,0,0.0,0.0,1,2,0,0,2,19,17,1,0,0,1,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,0,0,6,20,2,26,2,0,0.0,2,100.0,18,124,42,0,0,0,2,1,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lewis Dunk,1,0,0,0,3,1,0,0,101,1,3,3,0.3,0.3,0.0,0,0,76,85,89.4,1,62,1,0,0,76,85,89.4,1702,524,23,25,92.0,40,41,97.6,13,17,76.5,0,0.0,0.0,0,4,0,0,1,85,83,1,1,0,3,0,0,0,0,0,0,76,1,0,1,1,0,1,0,0,0,,0,3,2,1,3,4,4,1,101,23,57,40,5,2,101,0,0,,0,,62,434,170,1,1,1,0,0,71,0,0,0,0,0,0,0,0,3,1,0,0,0,9,2,1,66.7
Martín Montoya,0,0,0,0,0,0,0,0,65,2,1,0,0.0,0.0,0.1,1,0,44,55,80.0,3,30,1,1,0,44,55,80.0,711,292,23,26,88.5,19,23,82.6,2,4,50.0,0,0.1,0.0,1,1,1,1,3,55,42,13,1,0,0,2,12,0,0,0,0,44,0,3,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,4,0,65,6,28,27,11,0,65,1,0,0.0,1,100.0,30,227,152,1,1,0,1,0,36,1,0,0,0,2,1,0,2,1,1,0,0,0,3,1,0,100.0
