player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,10,3,1,0,779,19,12,8,1.2,1.2,1.2,19,2,554,658,84.2,42,530,21,15,7,554,658,84.2,9273,3029,265,290,91.4,221,252,87.7,52,84,61.9,1,1.2,0.9,9,34,15,1,42,658,606,50,8,0,6,18,26,5,1,3,0,554,2,8,19,7,6,10,3,8,30,26.7,22,8,3,5,12,31,17,1,779,53,180,431,171,29,779,15,7,46.7,8,53.3,530,2602,1326,21,19,3,20,15,552,41,1,0,0,7,2,2,18,12,7,0,0,0,58,18,26,40.9
Adam Lallana,0,1,0,0,0,0,1,0,43,4,2,1,0.0,0.0,0.4,2,1,19,27,70.4,2,23,2,0,0,19,27,70.4,244,89,13,13,100.0,4,6,66.7,1,3,33.3,1,0.4,0.1,1,2,1,0,2,27,25,0,0,0,0,1,0,0,0,0,0,19,2,2,4,1,1,2,1,1,6,16.7,5,1,0,1,2,6,1,0,43,0,5,20,19,3,43,0,0,,0,,23,123,64,2,1,0,3,2,26,4,1,0,0,2,0,0,1,2,1,0,0,0,3,0,3,0.0
Alisson,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,17,0,0,0,28,32,87.5,638,435,7,7,100.0,15,16,93.8,5,8,62.5,0,0.0,0.0,0,0,0,0,0,32,19,13,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,27,33,0,0,0,33,0,0,,0,,17,84,57,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Andrew Robertson,0,0,0,0,0,0,0,0,78,3,2,1,0.0,0.0,0.0,2,0,51,65,78.5,3,53,2,1,0,51,65,78.5,819,206,27,31,87.1,18,21,85.7,5,11,45.5,0,0.0,0.1,1,3,1,0,3,65,53,12,0,0,1,4,11,1,0,1,0,51,0,1,3,0,1,1,1,1,4,25.0,3,1,0,1,2,5,1,0,78,0,15,45,18,1,78,1,0,0.0,1,100.0,53,218,102,2,2,0,3,3,50,4,0,0,0,2,0,0,4,2,0,0,0,0,5,3,3,50.0
Divock Origi,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,4,1,0,0,3,3,100.0,22,7,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,3,2,0,5,0,0,,0,,4,31,27,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Georginio Wijnaldum,0,0,0,0,2,0,0,0,58,1,2,0,0.1,0.1,0.0,0,0,39,46,84.8,1,42,2,3,1,39,46,84.8,566,73,20,25,80.0,16,17,94.1,1,1,100.0,0,0.0,0.0,0,3,0,0,1,46,46,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,1,0,1,0.0,1,0,0,0,2,3,0,0,58,0,2,44,12,3,58,3,1,33.3,2,66.7,42,223,110,2,2,0,2,1,40,0,0,0,0,2,0,0,0,2,0,0,0,0,5,5,10,33.3
James Milner,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,1,1,1,4,25.0,21,5,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,4,1,1,100.0,0,0.0,3,11,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Joe Gomez,0,0,0,0,0,0,0,0,104,2,2,2,0.0,0.0,0.0,0,0,86,95,90.5,4,82,1,0,0,86,95,90.5,1700,732,27,30,90.0,43,45,95.6,14,18,77.8,0,0.0,0.0,0,4,0,0,4,95,93,2,2,0,1,0,0,0,0,0,0,86,0,0,2,2,2,0,0,2,2,100.0,0,2,1,1,2,4,3,0,104,10,43,61,0,0,104,0,0,,0,,82,375,223,1,0,0,0,0,83,0,0,0,0,0,2,0,0,2,2,0,0,0,5,1,1,50.0
Jordan Henderson,0,0,0,0,0,0,0,0,97,3,1,1,0.0,0.0,0.1,1,0,78,88,88.6,7,69,1,0,0,78,88,88.6,1395,293,38,41,92.7,30,35,85.7,10,12,83.3,0,0.1,0.1,1,7,0,0,7,88,88,0,0,0,0,0,0,0,0,0,0,78,0,0,3,2,1,2,0,2,6,33.3,4,1,1,0,1,4,1,0,97,0,14,78,5,1,97,0,0,,0,,69,363,186,1,0,0,1,0,75,3,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,
Mohamed Salah,0,0,0,0,2,1,0,0,38,1,0,0,0.4,0.4,0.2,4,0,19,25,76.0,5,26,2,2,0,19,25,76.0,262,63,12,13,92.3,6,8,75.0,1,1,100.0,0,0.2,0.1,3,2,4,0,5,25,24,1,0,0,0,1,0,0,0,0,0,19,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,38,0,1,9,28,11,38,2,0,0.0,2,100.0,26,129,55,2,2,0,4,4,29,11,0,0,0,0,0,1,1,0,0,0,0,0,3,1,3,25.0
