player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,5,3,2,0,422,18,8,13,0.4,0.4,0.3,10,2,183,288,63.5,17,169,10,20,14,183,288,63.5,3713,1850,71,92,77.2,71,88,80.7,32,80,40.0,1,0.3,0.3,4,14,1,0,17,288,249,38,9,1,1,6,10,2,0,0,2,183,1,2,18,13,14,3,1,6,21,28.6,15,13,9,4,8,26,47,0,422,110,215,157,53,12,422,20,14,70.0,6,30.0,169,1077,534,10,6,5,9,7,181,16,2,0,0,7,9,1,6,8,13,0,0,0,48,23,21,52.3
Cenk Tosun,1,0,0,0,2,2,0,0,34,1,0,0,0.2,0.2,0.0,1,0,16,21,76.2,2,22,3,5,5,16,21,76.2,220,82,8,10,80.0,4,5,80.0,2,2,100.0,0,0.0,0.0,0,1,1,0,2,21,21,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,34,0,6,18,10,2,34,5,5,100.0,0,0.0,22,162,68,3,1,1,3,1,27,3,0,0,0,3,3,1,0,0,1,0,0,0,4,4,6,40.0
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,25,2,1,0,0.0,0.0,0.0,1,0,8,18,44.4,1,12,0,0,0,8,18,44.4,95,30,4,4,100.0,3,5,60.0,0,4,0.0,0,0.0,0.0,0,0,0,0,1,18,18,0,0,0,0,0,0,0,0,0,0,8,0,1,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,1,0,25,1,9,11,5,2,25,0,0,,0,,12,70,31,0,1,0,1,1,12,0,0,0,0,1,0,0,0,1,1,0,0,0,3,4,4,50.0
Connor Wickham,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,0,0,0,0,4,7,57.1,48,11,3,4,75.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,7,6,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,8,0,2,5,1,0,8,0,0,,0,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,75.0
Gary Cahill,0,1,0,0,1,0,0,0,37,3,1,2,0.0,0.0,0.1,1,1,16,21,76.2,0,14,0,0,0,16,21,76.2,293,78,6,7,85.7,9,9,100.0,1,5,20.0,1,0.1,0.1,1,0,0,0,0,21,18,3,3,0,0,0,0,0,0,0,0,16,0,0,3,2,3,0,0,2,2,100.0,0,2,2,0,1,4,8,0,37,13,24,11,2,1,37,0,0,,0,,14,69,22,0,1,1,0,0,13,0,0,0,0,0,1,0,0,1,2,0,0,0,2,1,2,33.3
James McArthur,0,0,0,0,0,0,1,0,50,2,1,4,0.0,0.0,0.0,1,0,23,30,76.7,3,18,1,0,0,23,30,76.7,413,107,9,12,75.0,11,13,84.6,2,3,66.7,0,0.0,0.0,1,1,0,0,3,30,28,2,0,0,0,0,0,0,0,0,0,23,0,0,2,2,0,2,0,1,4,25.0,3,4,3,1,1,3,11,0,50,16,28,19,3,0,50,0,0,,0,,18,64,17,1,0,0,0,2,14,1,1,0,0,1,1,0,0,1,2,0,0,0,9,0,2,0.0
James McCarthy,0,0,0,0,0,0,0,0,45,4,1,4,0.0,0.0,0.1,3,1,27,36,75.0,3,10,1,1,1,27,36,75.0,481,245,11,13,84.6,8,11,72.7,5,7,71.4,0,0.1,0.1,1,5,0,0,3,36,31,5,3,0,0,2,0,2,0,0,2,27,0,0,4,2,3,0,1,0,2,0.0,2,4,2,2,1,5,0,0,45,7,17,25,3,0,45,1,1,100.0,0,0.0,10,42,16,1,0,0,0,0,13,1,0,0,0,1,0,0,2,1,2,0,0,0,10,0,0,
James Tomkins,0,0,0,0,1,0,0,0,40,1,0,2,0.1,0.1,0.0,0,0,11,17,64.7,1,7,0,0,0,11,17,64.7,286,67,0,0,,9,11,81.8,2,6,33.3,0,0.0,0.0,0,1,0,0,1,17,16,1,1,0,0,0,0,0,0,0,0,11,0,0,1,1,1,0,0,0,1,0.0,1,2,1,1,0,1,16,0,40,22,27,12,1,1,40,0,0,,0,,7,28,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,100.0
Jaïro Riedewald,0,0,0,0,0,0,0,0,38,2,3,1,0.0,0.0,0.0,0,0,18,28,64.3,1,12,0,2,0,18,28,64.3,278,176,11,13,84.6,5,7,71.4,1,5,20.0,0,0.0,0.0,0,3,0,0,1,28,20,7,0,1,0,0,7,0,0,0,0,18,1,0,2,1,1,1,0,0,0,,0,1,1,0,3,5,2,0,38,5,19,17,2,0,38,2,0,0.0,2,100.0,12,47,16,0,0,0,1,0,17,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,100.0
Joel Ward,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,1,3,33.3,26,25,0,1,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,2,0,1,0,3,0,0,,0,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
