player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,4,2,1,1,12,5,0,0,800,21,14,15,2.9,2.1,2.0,25,8,583,692,84.2,65,424,33,27,17,583,692,84.2,9575,2824,304,339,89.7,200,227,88.1,57,78,73.1,2,2.0,2.3,9,54,17,3,65,692,653,37,6,2,10,16,23,4,1,0,0,583,2,12,21,12,5,10,6,7,26,26.9,19,15,3,12,14,35,10,0,800,37,151,364,294,36,799,27,17,63.0,10,37.0,424,2672,1385,33,24,9,18,12,581,65,0,0,0,18,7,2,16,14,12,1,0,0,64,10,6,62.5
Aaron Wan-Bissaka,0,0,0,0,0,0,0,0,91,3,2,2,0.0,0.0,0.0,1,1,70,83,84.3,3,47,4,1,1,70,83,84.3,738,248,49,52,94.2,15,19,78.9,0,2,0.0,0,0.0,0.0,0,1,0,0,3,83,73,10,0,0,0,5,10,0,0,0,0,70,0,2,3,0,0,3,0,1,2,50.0,1,2,0,2,2,5,0,0,91,0,12,42,39,3,91,1,1,100.0,0,0.0,47,254,130,4,2,0,0,2,58,10,0,0,0,2,0,0,5,2,0,0,0,0,8,1,0,100.0
Andreas Pereira,0,0,0,0,1,1,0,0,63,1,0,0,0.0,0.0,1.0,6,1,42,56,75.0,6,40,3,4,3,42,56,75.0,626,136,27,33,81.8,11,13,84.6,4,7,57.1,0,1.0,1.0,4,4,2,0,6,56,55,1,0,0,0,4,0,1,0,0,0,42,0,0,1,1,0,0,1,1,4,25.0,3,0,0,0,0,1,0,0,63,1,3,22,41,5,63,4,3,75.0,1,25.0,40,233,88,3,2,0,1,4,52,11,0,0,0,0,0,0,4,0,1,0,0,0,6,0,0,
Angel Gomes,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,2,0,7,8,87.5,3,6,2,0,0,7,8,87.5,154,59,2,2,100.0,2,3,66.7,2,2,100.0,0,0.1,0.2,2,2,2,0,3,8,8,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,1,4,3,1,8,0,0,,0,,6,44,31,2,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Anthony Martial,1,0,0,0,3,1,0,0,37,3,0,3,0.3,0.3,0.0,1,0,16,19,84.2,2,24,4,4,1,16,19,84.2,160,26,13,14,92.9,2,3,66.7,0,0,,0,0.0,0.1,0,0,2,0,2,19,19,0,0,0,0,0,0,0,0,0,0,16,0,0,3,3,0,1,2,0,2,0.0,2,3,0,3,0,3,0,0,37,0,2,7,28,9,37,4,1,25.0,3,75.0,24,161,69,4,3,3,7,4,29,8,0,0,0,3,2,1,0,0,3,0,0,0,2,1,3,25.0
Brandon Williams,0,0,0,0,2,0,0,0,99,3,5,2,0.8,0.8,0.0,3,1,67,81,82.7,5,52,10,4,3,67,81,82.7,909,160,44,52,84.6,17,18,94.4,3,4,75.0,0,0.0,0.1,1,3,2,0,5,81,68,11,1,0,0,0,10,0,0,0,0,67,2,1,3,2,2,0,1,2,5,40.0,3,2,0,2,5,8,2,0,99,1,18,41,42,4,99,4,3,75.0,1,25.0,52,459,317,10,6,2,4,0,61,8,0,0,0,2,1,0,0,5,2,1,0,0,6,1,0,100.0
Daniel James,0,0,0,0,1,0,0,0,14,0,0,1,0.1,0.1,0.0,0,0,9,11,81.8,1,8,2,1,1,9,11,81.8,99,29,8,8,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,11,11,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,14,0,2,4,8,1,14,1,1,100.0,0,0.0,8,83,62,2,3,0,0,0,11,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0
David de Gea,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,16,17,94.1,0,10,0,0,0,16,17,94.1,382,243,2,2,100.0,9,9,100.0,5,6,83.3,0,0.0,0.0,0,0,0,0,0,17,14,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,16,18,0,0,0,18,0,0,,0,,10,58,39,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Fred,0,0,0,0,1,0,0,0,112,3,2,6,0.0,0.0,0.0,2,1,81,95,85.3,8,45,1,3,1,81,95,85.3,1420,368,38,43,88.4,31,33,93.9,9,13,69.2,0,0.0,0.1,0,12,1,0,8,95,90,5,2,0,1,1,0,2,1,0,0,81,0,2,3,1,2,0,1,0,6,0.0,6,6,2,4,2,5,0,0,112,3,21,63,29,1,112,3,1,33.3,2,66.7,45,204,121,1,1,0,2,0,76,2,0,0,0,4,2,0,1,2,1,0,0,0,12,0,0,
Harry Maguire,0,0,0,0,0,0,0,0,77,2,3,0,0.0,0.0,0.0,0,0,59,68,86.8,5,49,1,0,0,59,68,86.8,1429,379,10,11,90.9,35,39,89.7,14,18,77.8,0,0.0,0.0,0,6,0,0,5,68,67,1,1,0,1,0,0,0,0,0,0,59,0,0,2,2,1,1,0,1,2,50.0,1,0,0,0,3,5,5,0,77,12,32,45,0,0,77,0,0,,0,,49,301,125,1,0,0,0,0,54,0,0,0,0,1,0,0,0,3,2,0,0,0,8,3,0,100.0
Juan Mata,0,2,0,0,1,0,0,0,81,1,0,0,0.0,0.0,0.8,5,2,68,75,90.7,10,44,1,1,0,68,75,90.7,1144,298,38,38,100.0,17,20,85.0,10,11,90.9,2,0.8,0.8,2,6,4,2,10,75,72,3,1,1,4,2,2,0,0,0,0,68,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,81,0,4,35,42,4,81,1,0,0.0,1,100.0,44,227,106,1,2,0,2,0,69,14,0,0,0,0,1,0,2,0,0,0,0,0,5,0,1,0.0
Marcus Rashford,2,0,1,1,2,2,0,0,41,0,0,0,1.6,0.8,0.0,1,1,23,33,69.7,4,23,4,5,4,23,33,69.7,356,91,14,19,73.7,4,5,80.0,3,3,100.0,0,0.0,0.0,0,3,2,0,4,33,33,0,0,0,2,2,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,41,0,1,8,32,6,40,5,4,80.0,1,20.0,23,267,96,4,2,2,1,1,36,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,
Mason Greenwood,1,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,0,5,1,1,1,9,10,90.0,125,2,6,7,85.7,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,9,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,12,1,1,4,7,2,12,1,1,100.0,0,0.0,5,23,16,1,0,1,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Nemanja Matić,0,0,0,0,0,0,0,0,81,4,1,1,0.0,0.0,0.0,2,0,65,75,86.7,11,34,0,2,2,65,75,86.7,1096,350,33,36,91.7,24,26,92.3,5,6,83.3,0,0.0,0.1,0,11,2,1,11,75,75,0,0,0,1,1,0,0,0,0,0,65,0,4,4,3,0,4,0,1,3,33.3,2,1,0,1,1,5,0,0,81,0,11,50,21,0,81,2,2,100.0,0,0.0,34,189,111,0,2,0,1,0,62,0,0,0,0,4,0,0,1,1,3,0,0,0,9,1,0,100.0
Victor Lindelöf,0,0,0,0,0,0,0,0,66,1,1,0,0.0,0.0,0.0,1,1,51,61,83.6,7,37,0,1,0,51,61,83.6,937,435,20,22,90.9,29,34,85.3,2,5,40.0,0,0.0,0.0,0,5,0,0,7,61,59,2,1,0,0,0,1,0,0,0,0,51,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,66,3,25,39,2,0,66,1,0,0.0,1,100.0,37,169,74,0,0,0,0,0,47,0,0,0,0,1,0,0,0,1,0,0,0,0,7,3,0,100.0
