player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,2,2,0,0,8,4,1,0,612,13,10,10,1.5,1.5,1.0,14,4,395,505,78.2,39,424,14,20,15,395,505,78.2,7455,2507,158,182,86.8,179,213,84.0,48,86,55.8,2,1.0,1.0,5,20,9,2,39,505,454,50,15,0,1,13,23,4,1,1,0,395,1,10,13,7,4,7,2,4,13,30.8,9,10,1,9,10,23,24,1,612,62,252,235,135,20,612,20,15,75.0,5,25.0,424,1996,1008,14,10,4,21,5,392,39,1,0,0,14,14,1,13,10,7,0,0,0,57,15,14,51.7
Aaron Wan-Bissaka,0,0,0,0,0,0,1,0,71,4,0,2,0.0,0.0,0.0,0,0,45,57,78.9,4,33,2,4,2,45,57,78.9,638,238,25,28,89.3,16,21,76.2,1,2,50.0,0,0.0,0.0,0,0,0,0,4,57,42,15,1,0,0,2,14,0,0,0,0,45,0,3,4,1,2,2,0,1,3,33.3,2,2,0,2,0,4,2,0,71,2,31,20,20,1,71,4,2,50.0,2,50.0,33,126,67,2,1,0,2,0,34,6,1,0,0,2,2,0,2,0,1,0,0,0,4,2,1,66.7
Anthony Martial,1,1,0,0,4,2,0,0,34,1,0,1,0.6,0.6,0.9,6,2,17,19,89.5,1,26,3,6,5,17,19,89.5,261,52,11,11,100.0,4,6,66.7,2,2,100.0,1,0.9,0.6,2,1,0,0,1,19,17,2,0,0,0,1,0,0,0,0,0,17,0,0,1,1,0,0,1,0,2,0.0,2,1,0,1,0,1,2,0,34,2,3,17,18,7,34,6,5,83.3,1,16.7,26,167,110,3,3,2,6,0,22,5,0,0,0,3,0,0,1,0,1,0,0,0,5,1,3,25.0
Brandon Williams,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,0,0,1,4,25.0,10,5,1,2,50.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,4,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,8,2,5,3,0,0,8,0,0,,0,,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,100.0
Bruno Fernandes,0,1,0,0,0,0,0,0,52,0,2,1,0.0,0.0,0.1,2,1,28,44,63.6,9,34,0,1,1,28,44,63.6,512,120,10,13,76.9,15,22,68.2,2,5,40.0,1,0.1,0.2,2,1,2,0,9,44,38,6,1,0,0,6,0,4,1,1,0,28,0,2,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,52,0,6,18,29,2,52,1,1,100.0,0,0.0,34,123,50,0,2,0,1,0,33,8,0,0,0,1,2,0,6,2,0,0,0,0,4,0,0,
Daniel James,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
David de Gea,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,22,28,78.6,0,22,0,0,0,22,28,78.6,668,494,5,5,100.0,9,9,100.0,8,14,57.1,0,0.0,0.0,0,2,0,0,0,28,22,6,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,29,25,29,0,0,0,29,0,0,,0,,22,71,27,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Fred,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,7,0,0,0,7,9,77.8,140,58,2,2,100.0,2,3,66.7,2,3,66.7,0,0.0,0.0,0,1,1,0,1,9,8,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,12,1,2,10,0,0,12,0,0,,0,,7,26,6,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Harry Maguire,0,0,0,0,0,0,0,0,68,0,2,0,0.0,0.0,0.0,0,0,51,63,81.0,1,51,0,0,0,51,63,81.0,1097,294,12,16,75.0,33,36,91.7,6,11,54.5,0,0.0,0.0,0,2,0,0,1,63,62,1,1,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,0,68,7,48,20,1,1,68,0,0,,0,,51,284,152,0,0,0,0,0,50,1,0,0,0,0,0,0,0,2,0,0,0,0,4,2,1,66.7
Luke Shaw,0,0,0,0,0,0,0,0,65,1,0,2,0.0,0.0,0.0,1,0,48,58,82.8,7,41,2,2,2,48,58,82.8,791,281,20,21,95.2,22,26,84.6,3,6,50.0,0,0.0,0.0,0,4,0,0,7,58,48,9,1,0,0,1,8,0,0,0,0,48,1,1,1,0,0,0,1,1,1,100.0,0,2,0,2,0,1,1,0,65,1,14,34,17,1,65,2,2,100.0,0,0.0,41,159,74,2,0,0,2,0,45,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0.0
