player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,8,5,1,0,660,18,14,9,1.0,1.0,0.2,15,2,422,552,76.4,37,446,20,30,22,422,552,76.4,7142,2105,197,220,89.5,168,202,83.2,40,90,44.4,0,0.2,0.3,5,23,4,3,37,552,502,49,9,2,1,24,28,3,2,1,0,422,1,12,18,15,11,6,1,11,24,45.8,13,9,2,7,14,32,20,1,660,70,198,340,130,12,660,30,22,73.3,8,26.7,446,2046,1071,20,16,5,16,12,419,37,1,0,0,9,9,1,24,14,15,0,1,0,64,16,11,59.3
Christian Eriksen,0,0,0,0,0,0,0,0,23,1,0,2,0.0,0.0,0.1,2,0,15,21,71.4,4,15,0,0,0,15,21,71.4,253,74,7,7,100.0,6,8,75.0,2,5,40.0,0,0.1,0.0,1,2,1,0,4,21,19,2,0,0,0,3,0,2,1,1,0,15,0,1,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0,23,0,0,15,8,1,23,0,0,,0,,15,53,21,0,0,0,0,1,16,0,0,0,0,0,0,1,3,0,1,0,0,0,3,0,0,
Davinson Sánchez,0,0,0,0,0,0,0,0,89,2,1,2,0.0,0.0,0.0,0,0,65,77,84.4,5,63,1,1,1,65,77,84.4,1360,342,22,24,91.7,33,35,94.3,10,17,58.8,0,0.0,0.0,0,4,0,0,5,77,75,2,1,0,1,0,1,0,0,0,0,65,0,1,2,1,1,1,0,1,1,100.0,0,2,2,0,1,3,6,0,89,12,35,51,3,0,89,1,1,100.0,0,0.0,63,339,215,1,1,0,1,0,61,0,0,0,0,0,0,0,0,1,1,0,0,0,6,4,1,80.0
Dele Alli,1,0,0,0,2,2,0,0,48,0,1,1,0.7,0.7,0.1,5,2,28,38,73.7,3,38,1,3,2,28,38,73.7,436,40,12,12,100.0,8,10,80.0,4,7,57.1,0,0.1,0.0,2,1,0,0,3,38,35,3,0,0,0,1,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,48,0,2,28,18,3,48,3,2,66.7,1,33.3,38,163,54,1,3,0,4,2,38,7,0,0,0,0,1,0,1,1,0,0,0,0,6,0,0,
Giovani Lo Celso,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,7,0,1,0,5,5,100.0,59,14,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,3,4,1,7,1,0,0.0,1,100.0,7,20,13,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harry Kane,0,0,0,0,2,0,0,0,37,0,0,0,0.1,0.1,0.0,1,0,20,30,66.7,4,25,1,3,2,20,30,66.7,321,128,11,15,73.3,5,8,62.5,2,3,66.7,0,0.0,0.0,0,5,0,0,4,30,29,1,1,1,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,0,1,26,10,1,37,3,2,66.7,1,33.3,25,111,38,1,0,1,2,1,25,6,0,0,0,1,2,0,0,0,0,0,0,0,2,2,2,50.0
Harry Winks,0,0,0,0,0,0,1,0,46,2,0,1,0.0,0.0,0.0,1,0,34,38,89.5,3,27,1,1,1,34,38,89.5,420,163,22,24,91.7,8,9,88.9,1,1,100.0,0,0.0,0.0,0,2,0,0,3,38,36,2,1,0,0,1,0,1,1,0,0,34,0,0,2,2,1,1,0,2,3,66.7,1,1,0,1,0,2,2,0,46,2,11,29,7,0,46,1,1,100.0,0,0.0,27,169,107,1,3,0,1,0,29,0,1,0,0,2,3,0,1,0,2,0,0,0,6,1,0,100.0
Jan Vertonghen,0,0,0,0,0,0,0,0,63,3,3,0,0.0,0.0,0.0,0,0,37,55,67.3,3,39,3,2,1,37,55,67.3,593,174,19,20,95.0,14,24,58.3,3,6,50.0,0,0.0,0.0,0,1,0,0,3,55,43,12,1,0,0,4,11,0,0,0,0,37,0,3,3,2,2,1,0,0,1,0.0,1,0,0,0,3,6,1,0,63,3,15,40,9,0,63,2,1,50.0,1,50.0,39,146,69,3,1,0,1,3,33,2,0,0,0,0,0,0,4,3,2,0,0,0,7,2,0,100.0
Lucas Moura,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.1,2,0,15,21,71.4,0,22,3,3,1,15,21,71.4,194,69,10,11,90.9,3,5,60.0,1,2,50.0,0,0.1,0.0,1,0,1,1,0,21,21,0,0,0,0,3,0,0,0,0,0,15,0,1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,29,3,9,13,10,0,29,3,1,33.3,2,66.7,22,142,72,3,3,0,2,3,20,3,0,0,0,1,0,0,3,0,1,0,0,0,5,1,3,25.0
Moussa Sissoko,0,0,0,0,0,0,0,0,56,3,1,0,0.0,0.0,0.0,0,0,39,49,79.6,4,39,3,2,2,39,49,79.6,577,102,24,27,88.9,12,14,85.7,2,5,40.0,0,0.0,0.0,0,3,0,0,4,49,46,2,1,0,0,0,1,0,0,0,0,39,1,0,3,3,3,0,0,3,4,75.0,1,0,0,0,1,4,1,0,56,4,10,40,6,0,56,2,2,100.0,0,0.0,39,194,105,3,1,0,2,0,36,1,0,0,0,2,0,0,0,1,3,0,1,0,7,0,0,
Paulo Gazzaniga,0,0,0,0,0,0,0,0,30,0,1,0,0.0,0.0,0.0,0,0,14,25,56.0,0,17,0,0,0,14,25,56.0,318,222,5,5,100.0,7,7,100.0,2,13,15.4,0,0.0,0.0,0,0,0,0,0,25,19,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1,30,29,30,0,0,0,30,0,0,,0,,17,80,55,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Serge Aurier,0,0,0,0,2,2,0,0,81,5,6,1,0.1,0.1,0.0,0,0,43,62,69.4,3,40,3,2,2,43,62,69.4,625,279,25,27,92.6,15,24,62.5,2,7,28.6,0,0.0,0.0,0,1,1,1,3,62,49,13,1,0,0,9,12,0,0,0,0,43,0,1,5,4,4,0,1,3,6,50.0,3,1,0,1,6,11,2,0,81,8,28,27,26,2,81,2,2,100.0,0,0.0,40,148,83,3,4,0,0,0,33,9,0,0,0,1,0,0,9,6,4,0,0,0,7,5,2,71.4
Son Heung-min,0,0,0,0,1,0,0,0,49,0,1,2,0.1,0.1,0.0,3,0,32,40,80.0,4,33,4,9,8,32,40,80.0,437,86,19,23,82.6,9,10,90.0,2,3,66.7,0,0.0,0.0,0,1,0,0,4,40,38,2,0,0,0,2,2,0,0,0,0,32,0,1,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0,49,0,7,21,23,4,49,9,8,88.9,1,11.1,33,190,117,4,0,3,2,2,33,7,0,0,0,0,1,0,2,1,0,0,0,0,4,1,3,25.0
Tanguy Ndombele,0,0,0,0,1,1,0,0,17,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,2,17,0,3,2,12,14,85.7,197,55,4,5,80.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,2,14,13,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,17,1,3,10,5,0,17,3,2,66.7,1,33.3,17,89,60,0,0,0,0,0,14,1,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,
Toby Alderweireld,0,0,0,0,0,0,0,0,85,1,0,0,0.0,0.0,0.1,1,0,63,77,81.8,2,64,0,0,0,63,77,81.8,1352,357,15,18,83.3,40,40,100.0,8,19,42.1,0,0.1,0.0,1,1,1,1,2,77,74,3,2,1,0,1,1,0,0,0,0,63,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,6,0,85,8,47,37,1,0,85,0,0,,0,,64,202,62,0,0,0,0,0,62,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,
