player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
15 Players,0,0,0,0,7,1,2,1,637,16,4,11,0.6,0.6,0.6,13,0,452,559,80.9,46,454,14,14,6,452,559,80.9,8237,2780,202,226,89.4,194,219,88.6,49,90,54.4,0,0.6,1.0,7,44,6,4,46,559,516,42,11,0,5,22,20,4,3,0,0,452,1,12,16,9,6,9,1,7,16,43.8,9,11,2,9,4,20,12,1,637,47,149,330,162,12,637,14,6,42.9,8,57.1,454,2006,1012,14,17,1,13,3,448,46,2,1,1,10,9,1,22,4,9,0,0,0,48,22,20,52.4
Billy Sharp,0,0,0,0,3,0,0,0,23,0,0,1,0.4,0.4,0.1,2,0,10,15,66.7,1,17,0,3,0,10,15,66.7,184,18,4,7,57.1,5,7,71.4,1,1,100.0,0,0.1,0.0,1,0,0,0,1,15,12,3,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,23,0,0,10,13,4,23,3,0,0.0,3,100.0,17,79,19,0,0,0,0,1,17,6,0,0,0,0,2,1,0,0,0,0,0,0,2,1,2,33.3
Chris Basham,0,0,0,0,0,0,0,0,75,5,0,0,0.0,0.0,0.0,2,0,54,65,83.1,6,47,3,1,1,54,65,83.1,968,343,29,30,96.7,17,22,77.3,8,10,80.0,0,0.0,0.0,1,5,0,0,6,65,61,3,0,0,0,2,3,0,0,0,0,54,1,0,5,2,4,0,1,3,4,75.0,1,0,0,0,0,5,4,0,75,6,31,33,12,1,75,1,1,100.0,0,0.0,47,244,145,3,3,1,1,0,45,1,0,0,0,0,1,0,2,0,2,0,0,0,5,4,2,66.7
Dean Henderson,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,22,31,71.0,0,26,0,0,0,22,31,71.0,692,563,2,2,100.0,11,11,100.0,9,18,50.0,0,0.0,0.0,0,0,0,0,0,31,25,6,3,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,26,32,0,0,0,32,0,0,,0,,26,125,87,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Enda Stevens,0,0,0,0,1,0,0,0,72,1,1,2,0.1,0.1,0.0,1,0,48,62,77.4,2,52,3,4,3,48,62,77.4,813,189,26,30,86.7,20,20,100.0,2,9,22.2,0,0.0,0.0,0,3,0,0,2,62,57,5,0,0,0,1,5,0,0,0,0,48,0,2,1,1,0,1,0,0,5,0.0,5,2,1,1,1,2,1,1,72,3,13,36,23,1,72,4,3,75.0,1,25.0,52,260,108,3,1,0,3,1,47,10,0,0,0,2,0,0,1,1,1,0,0,0,11,1,1,50.0
George Baldock,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.4,4,0,47,58,81.0,3,43,1,3,1,47,58,81.0,764,188,25,27,92.6,17,19,89.5,4,8,50.0,0,0.4,0.2,3,2,4,3,3,58,51,7,0,0,0,7,7,0,0,0,0,47,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,63,1,7,24,32,0,63,3,1,33.3,2,66.7,43,175,71,1,5,0,1,0,45,13,0,0,0,0,2,0,7,0,0,0,0,0,8,1,3,25.0
Jack Robinson,0,0,0,0,0,0,0,0,73,3,0,2,0.0,0.0,0.0,0,0,54,63,85.7,4,52,2,0,0,54,63,85.7,904,346,23,24,95.8,26,30,86.7,3,7,42.9,0,0.0,0.0,0,7,0,0,4,63,58,5,2,0,1,0,3,0,0,0,0,54,0,0,3,1,1,2,0,1,2,50.0,1,2,0,2,0,3,2,0,73,4,21,48,4,1,73,0,0,,0,,52,265,181,2,0,0,2,0,53,0,0,0,0,1,1,0,0,0,1,0,0,0,2,5,3,62.5
John Egan,0,0,0,0,1,0,2,1,29,0,2,1,0.1,0.1,0.0,0,0,21,24,87.5,2,17,0,0,0,21,24,87.5,471,221,6,8,75.0,11,11,100.0,4,5,80.0,0,0.0,0.0,0,1,0,0,2,24,23,1,1,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0,29,2,13,15,1,1,29,0,0,,0,,17,82,51,0,0,0,0,0,18,0,2,1,1,1,0,0,0,2,0,0,0,0,2,2,0,100.0
John Fleck,0,0,0,0,0,0,0,0,33,2,0,1,0.0,0.0,0.1,2,0,23,28,82.1,3,21,0,1,0,23,28,82.1,417,120,10,10,100.0,7,9,77.8,4,7,57.1,0,0.1,0.1,2,2,1,1,3,28,25,3,1,0,0,3,0,2,1,0,0,23,0,0,2,1,0,2,0,1,2,50.0,1,1,0,1,0,2,0,0,33,0,2,19,12,1,33,1,0,0.0,1,100.0,21,97,36,0,1,0,1,0,24,1,0,0,0,0,1,0,3,0,1,0,0,0,3,0,1,0.0
John Lundstram,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,1,15,0,0,0,15,17,88.2,245,22,8,9,88.9,7,7,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,18,1,4,9,5,0,18,0,0,,0,,15,49,20,0,1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kieron Freeman,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,5,3,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,0,,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Luke Freeman,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,0,6,0,0,0,7,9,77.8,95,15,5,5,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,0,1,2,8,0,11,0,0,,0,,6,28,14,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oliver McBurnie,0,0,0,0,1,1,0,0,44,2,0,1,0.0,0.0,0.0,0,0,27,37,73.0,3,29,1,2,1,27,37,73.0,348,87,21,26,80.8,6,10,60.0,0,0,,0,0.0,0.5,0,1,1,0,3,37,36,1,0,0,0,1,1,0,0,0,0,27,0,1,2,1,0,2,0,0,0,,0,1,0,1,0,2,1,0,44,1,3,20,22,2,44,2,1,50.0,1,50.0,29,113,51,1,3,0,0,1,35,7,0,0,0,0,1,0,1,0,1,0,0,0,4,6,5,54.5
Oliver Norwood,0,0,0,0,0,0,0,0,101,2,0,2,0.0,0.0,0.0,0,0,81,97,83.5,14,82,2,0,0,81,97,83.5,1627,523,24,26,92.3,46,50,92.0,11,20,55.0,0,0.0,0.0,0,13,0,0,14,97,91,6,4,0,1,5,0,2,2,0,0,81,0,1,2,2,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0,101,2,17,75,10,0,101,0,0,,0,,82,228,96,2,0,0,1,0,83,0,0,0,0,1,1,0,5,0,2,0,0,0,4,0,0,
Richairo Živković,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,1,0,0,3,4,75.0,34,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,5,0,0,3,3,0,5,0,0,,0,,4,42,27,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Sander Berge,0,0,0,0,0,0,0,0,56,0,1,1,0.0,0.0,0.0,1,0,39,48,81.3,7,42,1,0,0,39,48,81.3,670,142,17,19,89.5,18,20,90.0,3,4,75.0,0,0.0,0.0,0,9,0,0,7,48,47,1,0,0,0,3,1,0,0,0,0,39,0,3,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,56,1,5,36,15,1,56,0,0,,0,,42,216,104,1,1,0,2,0,42,6,0,0,0,3,0,0,3,1,0,0,0,0,5,2,1,66.7
