player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,0,0,0,13,5,2,0,692,18,7,9,2.1,2.1,1.6,25,2,481,583,82.5,52,398,27,16,11,481,583,82.5,8994,2584,180,211,85.3,223,246,90.7,62,94,66.0,0,1.6,1.8,12,28,12,4,52,583,539,43,9,2,4,26,18,6,3,3,0,481,1,5,18,12,8,8,2,7,20,35.0,13,9,4,5,7,25,19,0,692,47,157,379,160,26,692,16,11,68.8,5,31.3,398,2235,1275,27,20,6,13,8,481,52,2,0,0,16,8,1,26,7,12,0,0,0,49,24,30,44.4
Adama Traoré,0,0,0,0,1,0,0,0,53,2,0,0,0.1,0.1,0.5,6,1,27,41,65.9,5,39,7,8,5,27,41,65.9,408,120,14,19,73.7,10,11,90.9,1,3,33.3,0,0.5,0.5,2,1,3,1,5,41,37,4,0,1,0,6,4,0,0,0,0,27,0,3,2,2,0,1,1,1,3,33.3,2,0,0,0,0,2,1,0,53,1,2,19,32,7,53,8,5,62.5,3,37.5,39,363,166,7,4,4,3,3,42,12,0,0,0,1,2,0,6,0,2,0,0,0,5,2,3,40.0
Conor Coady,0,0,0,0,0,0,0,0,70,0,0,0,0.0,0.0,0.0,0,0,57,67,85.1,3,53,0,0,0,57,67,85.1,1248,440,10,11,90.9,35,37,94.6,11,18,61.1,0,0.0,0.0,0,0,0,0,3,67,66,1,1,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,70,6,36,34,0,0,70,0,0,,0,,53,253,162,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,1,66.7
Diogo Jota,0,0,0,0,3,2,0,0,42,2,1,0,0.6,0.6,0.0,2,0,17,24,70.8,3,26,6,8,6,17,24,70.8,292,38,8,12,66.7,8,10,80.0,1,1,100.0,0,0.0,0.0,0,0,1,0,3,24,23,1,0,0,0,2,0,0,0,0,0,17,0,0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,0,0,42,0,4,23,17,4,42,8,6,75.0,2,25.0,26,198,119,6,5,1,5,1,32,7,0,0,0,3,2,0,2,1,1,0,0,0,7,0,2,0.0
Jonny Castro,1,0,0,0,1,1,0,0,51,2,2,1,0.5,0.5,0.1,3,0,30,35,85.7,5,22,3,0,0,30,35,85.7,389,96,16,18,88.9,11,13,84.6,0,0,,0,0.1,0.0,2,2,2,0,5,35,28,7,0,0,0,1,7,0,0,0,0,30,0,0,2,1,0,1,1,0,1,0.0,1,1,0,1,2,4,3,0,51,2,15,20,16,5,51,0,0,,0,,22,141,92,3,3,1,1,1,23,4,0,0,0,5,0,0,1,2,1,0,0,0,4,1,4,20.0
João Moutinho,0,0,0,0,1,1,0,0,82,3,1,3,0.0,0.0,0.1,4,0,58,72,80.6,5,41,2,0,0,58,72,80.6,1164,204,15,16,93.8,36,40,90.0,6,14,42.9,0,0.1,0.1,2,1,0,0,5,72,61,11,4,0,0,8,1,6,3,3,0,58,0,0,3,0,2,1,0,1,5,20.0,4,3,2,1,1,4,0,0,82,2,11,53,18,0,82,0,0,,0,,41,220,123,2,1,0,0,1,52,1,0,0,0,3,0,0,8,1,0,0,0,0,4,2,2,50.0
Leander Dendoncker,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.0,0,0,44,50,88.0,4,30,0,0,0,44,50,88.0,857,120,16,18,88.9,17,20,85.0,10,10,100.0,0,0.0,0.0,0,4,0,0,4,50,49,1,0,0,1,0,1,0,0,0,0,44,0,0,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,54,2,9,40,5,1,54,0,0,,0,,30,149,77,0,1,0,0,0,42,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,37.5
Matt Doherty,0,0,0,0,3,0,0,0,75,1,2,2,0.7,0.7,0.0,4,1,48,60,80.0,7,38,3,0,0,48,60,80.0,686,237,28,34,82.4,13,16,81.3,3,5,60.0,0,0.0,0.0,1,1,1,0,7,60,58,2,0,0,0,1,2,0,0,0,0,48,0,0,1,1,0,1,0,0,2,0.0,2,2,0,2,2,3,3,0,75,4,18,37,21,5,75,0,0,,0,,38,209,135,3,3,0,0,1,51,6,0,0,0,1,1,0,1,2,1,0,0,0,6,6,5,54.5
Pedro Neto,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,10,11,90.9,1,8,1,0,0,10,11,90.9,171,5,5,5,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,11,10,1,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,0,4,11,0,15,0,0,,0,,8,42,17,1,0,0,0,1,11,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Raúl Jiménez,0,0,0,0,2,1,0,0,47,0,0,0,0.1,0.1,0.7,3,0,29,39,74.4,5,21,2,0,0,29,39,74.4,428,148,16,21,76.2,9,11,81.8,3,4,75.0,0,0.7,0.9,2,3,3,1,5,39,38,1,0,1,0,3,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,47,1,4,24,20,2,47,0,0,,0,,21,127,64,2,1,0,4,0,30,13,0,0,0,0,1,1,3,0,0,0,0,0,5,2,3,40.0
Romain Saïss,0,0,0,0,0,0,1,0,82,3,1,2,0.0,0.0,0.1,1,0,61,69,88.4,5,49,0,0,0,61,69,88.4,1188,406,20,23,87.0,34,36,94.4,7,10,70.0,0,0.1,0.1,2,3,1,1,5,69,68,1,1,0,1,1,0,0,0,0,0,61,0,0,3,3,2,1,0,1,1,100.0,0,2,2,0,1,4,6,0,82,11,29,50,3,1,82,0,0,,0,,49,191,121,0,0,0,0,0,62,1,1,0,0,1,1,0,1,1,3,0,0,0,3,3,5,37.5
