,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,7.0,Mateo Kovačić,Chelsea,0.07,,Blocked,17.0,Left Foot,,César Azpilicueta,Pass (Live),Callum Hudson-Odoi,Pass (Live)
1,10.0,Andreas Christensen,Chelsea,0.15,,Off Target,6.0,Head,,Emerson Palmieri,Pass (Dead),,
2,15.0,Tammy Abraham,Chelsea,0.14,0.09,Saved,7.0,Head,,Antonio Rüdiger,Pass (Live),Callum Hudson-Odoi,Pass (Live)
3,22.0,Jorginho,Chelsea,0.11,,Blocked,5.0,Right Foot,Volley,Emerson Palmieri,Pass (Live),Willian,Pass (Live)
4,28.0,Jorginho (pen),Chelsea,0.79,0.99,Goal,13.0,Right Foot,,Tammy Abraham,Fouled,Tammy Abraham,Take-On
5,30.0,Emerson Palmieri,Chelsea,0.04,,Blocked,19.0,Left Foot,,Tammy Abraham,Pass (Live),,
6,32.0,Callum Hudson-Odoi,Chelsea,0.03,0.12,Saved,21.0,Right Foot,,N'Golo Kanté,Pass (Live),Callum Hudson-Odoi,Pass (Live)
7,43.0,Antonio Rüdiger,Chelsea,0.04,,Off Target,11.0,Head,,Emerson Palmieri,Pass (Dead),Callum Hudson-Odoi,Pass (Live)
8,45.0,Mateo Kovačić,Chelsea,0.06,,Off Target,11.0,Head,,Callum Hudson-Odoi,Pass (Live),César Azpilicueta,Pass (Live)
9,,,,,,,,,,,,,
10,46.0,N'Golo Kanté,Chelsea,0.08,,Blocked,14.0,Left Foot,,César Azpilicueta,Pass (Live),Emerson Palmieri,Pass (Live)
11,56.0,Mateo Kovačić,Chelsea,0.07,,Blocked,15.0,Right Foot,Volley,Emerson Palmieri,Pass (Live),Willian,Pass (Live)
12,63.0,Gabriel Martinelli,Arsenal,0.36,0.59,Goal,17.0,Right Foot,,,,,
13,65.0,Antonio Rüdiger,Chelsea,0.02,0.14,Saved,33.0,Right Foot,,Mateo Kovačić,Pass (Live),Willian,Pass (Live)
14,67.0,Ross Barkley,Chelsea,0.03,,Blocked,26.0,Left Foot,,Jorginho,Pass (Live),,
15,73.0,Willian,Chelsea,0.05,0.1,Saved,13.0,Right Foot,,Andreas Christensen,Pass (Live),Emerson Palmieri,Pass (Live)
16,77.0,Tammy Abraham,Chelsea,0.04,0.03,Saved,17.0,Head,,Emerson Palmieri,Pass (Dead),Mason Mount,Fouled
17,79.0,Ross Barkley,Chelsea,0.02,,Off Target,26.0,Right Foot,,,,,
18,80.0,Ross Barkley,Chelsea,0.46,0.86,Saved,7.0,Head,,Jorginho,Pass (Live),Callum Hudson-Odoi,Pass (Live)
19,84.0,César Azpilicueta,Chelsea,0.22,0.49,Goal,7.0,Right Foot,,Callum Hudson-Odoi,Pass (Live),Mason Mount,Pass (Dead)
20,87.0,Héctor Bellerín,Arsenal,0.03,0.57,Goal,20.0,Left Foot,,Lucas Torreira,Pass (Live),Bukayo Saka,Pass (Live)
21,89.0,Michy Batshuayi,Chelsea,0.51,,Off Target,8.0,Left Foot,,Jorginho,Pass (Live),Ross Barkley,Pass (Live)
