player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,10,3,2,0,577,26,8,10,1.0,1.0,0.7,16,1,353,447,79.0,19,340,15,23,13,353,447,79.0,5515,1845,187,210,89.0,126,151,83.4,27,52,51.9,0,0.7,0.6,6,14,4,0,19,447,404,42,10,1,1,6,19,1,0,1,0,353,1,11,26,14,15,10,1,11,30,36.7,19,10,2,8,8,34,18,2,577,88,260,233,98,15,577,23,13,56.5,10,43.5,340,1839,1017,15,13,5,18,14,349,19,2,0,0,13,10,1,6,8,14,0,2,0,62,4,6,40.0
Alexander Tettey,0,0,0,0,0,0,0,0,59,3,2,2,0.0,0.0,0.0,0,0,38,45,84.4,1,31,0,0,0,38,45,84.4,603,184,18,19,94.7,16,17,94.1,2,5,40.0,0,0.0,0.0,0,1,0,0,1,45,45,0,0,0,0,0,0,0,0,0,0,38,0,2,3,2,1,2,0,1,3,33.3,2,2,1,1,2,5,4,0,59,8,29,24,6,0,59,0,0,,0,,31,130,57,0,0,0,0,0,29,0,0,0,0,0,1,0,0,2,2,0,0,0,12,1,1,50.0
Ben Godfrey,0,0,0,0,0,0,1,0,63,3,1,1,0.0,0.0,0.0,0,0,51,56,91.1,3,41,0,1,1,51,56,91.1,989,338,18,18,100.0,27,30,90.0,6,8,75.0,0,0.0,0.0,0,1,0,0,3,56,54,2,1,0,1,0,1,0,0,0,0,51,0,0,3,2,2,1,0,3,3,100.0,0,1,1,0,1,4,2,0,63,14,41,24,1,0,63,1,1,100.0,0,0.0,41,218,134,0,1,0,0,0,40,0,1,0,0,1,0,0,0,1,2,0,1,0,10,1,0,100.0
Emi Buendía,0,0,0,0,0,0,0,0,66,5,0,0,0.0,0.0,0.2,2,0,41,53,77.4,5,48,1,6,4,41,53,77.4,550,137,30,34,88.2,5,7,71.4,4,8,50.0,0,0.2,0.3,2,3,1,0,5,53,47,5,3,0,0,2,1,1,0,1,0,41,1,0,5,2,4,1,0,3,9,33.3,6,0,0,0,0,5,1,0,66,1,16,36,17,4,66,6,4,66.7,2,33.3,48,257,114,1,3,1,3,4,49,4,0,0,0,4,3,0,2,0,2,0,0,0,6,0,1,0.0
Ibrahim Amadou,0,0,0,0,0,0,0,0,46,1,0,0,0.0,0.0,0.0,0,0,35,38,92.1,0,28,0,0,0,35,38,92.1,675,265,9,9,100.0,22,23,95.7,4,6,66.7,0,0.0,0.0,0,0,0,0,0,38,37,1,0,0,0,0,1,0,0,0,0,35,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,5,1,46,17,37,9,0,0,46,0,0,,0,,28,88,43,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0.0
Jamal Lewis,0,0,0,0,1,0,0,0,43,1,0,0,0.0,0.0,0.0,0,0,21,36,58.3,1,19,1,0,0,21,36,58.3,321,120,11,17,64.7,10,12,83.3,0,3,0.0,0,0.0,0.0,0,1,0,0,1,36,30,6,0,0,0,0,6,0,0,0,0,21,0,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,43,1,19,16,8,0,43,0,0,,0,,19,91,65,1,1,0,1,1,26,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
Kenny McLean,0,0,0,0,0,0,0,0,57,8,1,3,0.0,0.0,0.0,0,0,34,44,77.3,3,35,1,0,0,34,44,77.3,541,138,16,19,84.2,11,16,68.8,4,4,100.0,0,0.0,0.0,0,2,0,0,3,44,43,1,0,1,0,0,1,0,0,0,0,34,0,1,8,3,2,5,1,2,5,40.0,3,3,0,3,1,9,1,0,57,2,23,31,4,0,57,0,0,,0,,35,151,80,1,0,0,0,1,35,1,0,0,0,1,2,0,0,1,3,0,0,0,8,2,0,100.0
Marco Stiepermann,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,14,19,73.7,2,17,1,2,1,14,19,73.7,179,40,9,10,90.0,2,5,40.0,1,1,100.0,0,0.0,0.0,1,1,1,0,2,19,19,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,24,1,1,13,11,1,24,2,1,50.0,1,50.0,17,86,55,1,3,0,0,2,18,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,
Max Aarons,0,0,0,0,0,0,1,0,50,3,1,0,0.0,0.0,0.5,6,0,34,38,89.5,3,31,3,5,4,34,38,89.5,434,156,24,26,92.3,8,9,88.9,1,1,100.0,0,0.5,0.3,2,2,1,0,3,38,31,7,2,0,0,0,5,0,0,0,0,34,0,0,3,3,3,0,0,2,3,66.7,1,0,0,0,1,4,2,0,50,5,25,16,11,2,50,5,4,80.0,1,20.0,31,257,148,3,3,2,2,2,27,1,1,0,0,1,1,0,0,1,3,0,0,0,5,0,2,0.0
Moritz Leitner,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,2,0,16,20,80.0,0,18,0,0,0,16,20,80.0,183,7,11,12,91.7,3,5,60.0,0,0,,0,0.0,0.0,0,0,0,0,0,20,19,1,1,0,0,0,0,0,0,0,0,16,0,2,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,26,0,9,12,5,0,26,0,0,,0,,18,58,17,0,0,0,3,0,21,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
