player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,2,0,0,15,8,1,0,746,14,5,6,1.7,1.7,1.7,29,6,553,640,86.4,28,520,25,15,11,553,640,86.4,8628,2839,318,337,94.4,183,201,91.0,43,71,60.6,2,1.7,1.2,14,29,9,0,28,640,595,43,12,2,4,15,15,7,2,5,0,553,2,13,14,11,7,7,0,6,13,46.2,7,6,1,5,5,19,23,0,746,66,229,349,173,27,746,15,11,73.3,4,26.7,520,2701,1435,25,19,8,15,10,551,28,1,0,0,9,11,2,15,5,11,0,0,0,52,13,8,61.9
Alexander Tettey,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,2,0,0,0,5,7,71.4,88,15,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8,0,4,4,0,0,8,0,0,,0,,2,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ben Godfrey,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,1,0,51,54,94.4,2,49,0,0,0,51,54,94.4,954,343,23,24,95.8,21,22,95.5,7,8,87.5,0,0.0,0.0,0,1,0,0,2,54,53,1,1,0,1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,63,11,47,16,0,0,63,0,0,,0,,49,257,117,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
Emi Buendía,0,0,0,0,1,0,0,0,78,1,0,0,0.0,0.0,0.2,6,1,54,72,75.0,3,60,2,3,2,54,72,75.0,739,298,38,41,92.7,10,15,66.7,4,11,36.4,0,0.2,0.2,4,5,2,0,3,72,62,10,2,1,1,11,1,7,2,5,0,54,0,3,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,78,0,4,41,34,0,78,3,2,66.7,1,33.3,60,213,113,2,2,0,2,5,65,3,0,0,0,1,1,0,11,0,0,0,0,0,3,0,0,
Grant Hanley,0,0,0,0,1,0,0,0,67,2,1,0,0.1,0.1,0.0,0,0,50,55,90.9,0,47,0,0,0,50,55,90.9,739,244,28,28,100.0,19,21,90.5,1,3,33.3,0,0.0,0.0,0,1,0,0,0,55,53,2,2,0,0,0,0,0,0,0,0,50,0,1,2,2,1,1,0,0,2,0.0,2,0,0,0,1,3,5,0,67,4,43,23,1,1,67,0,0,,0,,47,207,111,0,0,0,1,1,47,0,0,0,0,1,1,0,0,1,2,0,0,0,4,6,0,100.0
Jamal Lewis,0,0,0,0,0,0,0,0,61,1,1,1,0.0,0.0,0.0,1,1,47,54,87.0,4,47,10,5,3,47,54,87.0,783,292,25,29,86.2,18,19,94.7,4,4,100.0,0,0.0,0.1,0,2,1,0,4,54,50,4,0,0,0,1,4,0,0,0,0,47,0,1,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,1,0,61,2,13,33,16,2,61,5,3,60.0,2,40.0,47,424,291,10,4,2,1,0,47,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,
Marco Stiepermann,0,0,0,0,2,1,0,0,58,1,1,2,0.1,0.1,0.1,3,2,34,43,79.1,3,40,2,0,0,34,43,79.1,402,80,25,29,86.2,7,7,100.0,1,3,33.3,0,0.1,0.4,1,2,1,0,3,43,42,1,0,1,0,0,0,0,0,0,0,34,0,2,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,3,0,58,3,4,33,21,4,58,0,0,,0,,40,201,117,2,2,0,3,1,49,3,0,0,0,2,2,0,0,1,1,0,0,0,7,2,2,50.0
Mario Vrančić,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.1,2,0,7,7,100.0,1,5,1,0,0,7,7,100.0,110,42,4,4,100.0,2,2,100.0,1,1,100.0,0,0.1,0.0,1,1,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,3,4,1,1,8,0,0,,0,,5,53,48,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Max Aarons,0,0,0,0,1,0,1,0,73,0,0,0,0.1,0.1,0.2,2,0,56,64,87.5,2,50,1,0,0,56,64,87.5,695,199,41,44,93.2,13,16,81.3,1,2,50.0,0,0.2,0.0,1,2,1,0,2,64,55,9,2,0,0,1,7,0,0,0,0,56,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,73,1,18,36,20,1,73,0,0,,0,,50,280,156,1,2,0,2,0,49,5,1,0,0,2,3,0,1,0,0,0,0,0,3,0,0,
Moritz Leitner,0,0,0,0,0,0,0,0,113,2,0,0,0.0,0.0,0.0,3,1,95,107,88.8,5,80,2,3,3,95,107,88.8,1402,262,58,58,100.0,30,33,90.9,6,10,60.0,0,0.0,0.2,0,8,1,0,5,107,103,2,2,0,1,0,0,0,0,0,0,95,2,3,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,1,0,113,2,17,76,22,2,113,3,3,100.0,0,0.0,80,386,181,2,1,0,0,1,91,3,0,0,0,0,2,0,0,0,2,0,0,0,12,0,1,0.0
