player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,17,5,1,0,777,18,7,17,0.7,0.7,0.3,28,0,552,653,84.5,53,551,35,31,17,552,653,84.5,9209,2762,255,287,88.9,227,244,93.0,47,78,60.3,0,0.3,0.6,9,38,9,1,53,653,595,57,12,0,4,28,23,10,4,3,0,552,1,10,18,11,9,7,2,8,22,36.4,14,17,4,13,7,25,10,1,777,53,215,347,223,30,777,31,17,54.8,14,45.2,551,2973,1588,35,21,13,28,11,551,53,1,0,0,7,13,1,28,7,11,0,0,0,64,8,10,44.4
Alexander Tettey,0,0,0,0,1,0,0,0,92,0,2,0,0.1,0.1,0.0,2,0,75,85,88.2,2,68,3,0,0,75,85,88.2,1344,381,27,30,90.0,42,42,100.0,4,9,44.4,0,0.0,0.0,0,1,0,0,2,85,85,0,0,0,0,0,0,0,0,0,0,75,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,0,0,92,5,41,44,7,2,92,0,0,,0,,68,310,179,3,0,0,0,0,64,0,0,0,0,0,0,0,0,2,0,0,0,0,10,2,1,66.7
Ben Godfrey,0,0,0,0,2,0,0,0,111,4,0,1,0.1,0.1,0.0,1,0,95,99,96.0,9,95,1,0,0,95,99,96.0,1760,578,44,45,97.8,41,41,100.0,9,11,81.8,0,0.0,0.0,0,4,0,0,9,99,99,0,0,0,1,1,0,0,0,0,0,95,0,1,4,3,3,0,1,1,1,100.0,0,1,1,0,0,4,2,0,111,8,42,56,13,0,111,0,0,,0,,95,380,179,1,0,0,3,0,96,0,0,0,0,0,0,0,1,0,3,0,0,0,5,1,0,100.0
Emi Buendía,0,0,0,0,1,0,0,0,54,4,0,3,0.1,0.1,0.0,1,0,27,41,65.9,7,33,2,3,1,27,41,65.9,405,175,16,21,76.2,7,10,70.0,3,7,42.9,0,0.0,0.1,0,4,1,0,7,41,34,7,1,0,0,6,1,5,3,2,0,27,0,1,4,3,3,1,0,1,2,50.0,1,3,0,3,0,4,0,1,54,0,9,31,17,1,54,3,1,33.3,2,66.7,33,159,85,2,3,0,5,2,35,3,0,0,0,0,1,0,6,0,3,0,0,0,7,1,0,100.0
Jamal Lewis,0,0,0,0,2,1,0,0,82,1,1,1,0.0,0.0,0.0,0,0,65,75,86.7,6,61,6,1,1,65,75,86.7,1036,225,26,31,83.9,35,35,100.0,1,3,33.3,0,0.0,0.0,0,8,2,0,6,75,67,8,1,0,0,0,7,0,0,0,0,65,0,1,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,1,0,82,4,19,51,12,2,82,1,1,100.0,0,0.0,61,418,274,6,5,2,0,1,62,6,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,
Josip Drmić,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,2,3,66.7,32,0,0,1,0.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,0,1,1,2,0,4,0,0,,0,,2,14,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Kenny McLean,0,0,0,0,2,2,0,0,82,1,0,3,0.1,0.1,0.1,3,0,53,69,76.8,8,50,3,1,1,53,69,76.8,728,281,29,33,87.9,19,23,82.6,3,6,50.0,0,0.1,0.1,2,9,1,0,8,69,64,4,0,0,0,5,3,1,1,0,0,53,1,2,1,1,0,1,0,1,2,50.0,1,3,0,3,0,1,1,0,82,1,18,37,28,3,82,1,1,100.0,0,0.0,50,204,134,3,1,0,5,1,55,7,0,0,0,1,2,0,5,0,1,0,0,0,9,0,2,0.0
Marco Stiepermann,0,0,0,0,0,0,0,0,30,2,1,1,0.0,0.0,0.0,3,0,11,19,57.9,2,22,3,4,3,11,19,57.9,152,64,4,7,57.1,5,6,83.3,0,1,0.0,0,0.0,0.0,1,1,0,0,2,19,18,1,0,0,0,1,0,0,0,0,0,11,0,1,2,1,1,1,0,0,2,0.0,2,1,0,1,1,3,1,0,30,0,5,15,11,2,30,4,3,75.0,1,25.0,22,108,57,3,1,1,3,1,18,0,0,0,0,1,1,0,1,1,1,0,0,0,4,0,4,0.0
Mario Vrančić,0,0,0,0,1,0,1,0,16,1,0,1,0.1,0.1,0.0,1,0,10,13,76.9,4,10,0,0,0,10,13,76.9,141,41,7,8,87.5,1,2,50.0,1,2,50.0,0,0.0,0.0,1,0,0,0,4,13,12,1,1,0,0,0,0,0,0,0,0,10,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,16,0,1,4,11,0,16,0,0,,0,,10,37,13,0,0,0,1,0,9,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,
Max Aarons,0,0,0,0,1,0,0,0,68,0,0,2,0.0,0.0,0.0,1,0,51,55,92.7,2,50,3,3,0,51,55,92.7,730,115,28,29,96.6,16,17,94.1,3,4,75.0,0,0.0,0.0,0,4,0,0,2,55,45,10,2,0,0,2,8,0,0,0,0,51,0,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0,68,4,20,29,20,0,68,3,0,0.0,3,100.0,50,373,166,3,4,0,1,1,45,5,0,0,0,2,4,0,2,0,0,0,0,0,8,0,2,0.0
