player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,10,2,0,0,634,13,11,13,0.8,0.8,0.6,19,4,398,509,78.2,24,364,17,15,9,398,509,78.2,7281,2480,158,185,85.4,178,211,84.4,49,85,57.6,2,0.6,0.9,8,18,11,4,24,509,443,61,10,2,5,14,33,4,2,2,0,398,5,4,13,7,8,4,1,3,14,21.4,11,13,2,11,11,24,41,0,634,85,266,236,133,18,634,15,9,60.0,6,40.0,364,1837,1024,17,15,3,14,10,397,24,0,0,0,6,11,5,14,11,7,0,0,0,40,21,25,45.7
Ayoze Pérez,0,0,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.1,5,1,26,34,76.5,2,30,2,4,2,26,34,76.5,333,72,16,21,76.2,7,9,77.8,1,1,100.0,0,0.1,0.1,2,1,2,0,2,34,33,0,0,0,0,1,0,0,0,0,0,26,1,0,2,1,0,2,0,0,0,,0,0,0,0,1,3,1,0,44,1,7,19,19,2,44,4,2,50.0,2,50.0,30,187,112,2,2,1,3,3,32,5,0,0,0,0,1,0,1,1,1,0,0,0,3,0,3,0.0
Christian Fuchs,0,0,0,0,1,0,0,0,88,2,0,2,0.1,0.1,0.0,1,1,57,76,75.0,4,41,1,0,0,57,76,75.0,1112,384,24,27,88.9,21,24,87.5,10,21,47.6,0,0.0,0.1,0,3,2,1,4,76,58,17,1,0,0,3,16,0,0,0,0,57,1,1,2,1,2,0,0,1,1,100.0,0,2,0,2,0,2,3,0,88,1,41,35,12,0,88,0,0,,0,,41,164,64,1,1,0,2,1,48,1,0,0,0,1,0,0,3,0,1,0,0,0,3,0,3,0.0
Dennis Praet,0,0,0,0,1,0,0,0,24,0,1,0,0.0,0.0,0.1,2,0,13,17,76.5,1,15,1,2,2,13,17,76.5,221,41,6,8,75.0,5,7,71.4,2,2,100.0,0,0.1,0.0,1,0,1,0,1,17,16,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,24,2,8,13,3,0,24,2,2,100.0,0,0.0,15,94,29,1,1,0,2,1,15,2,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0.0
Hamza Choudhury,0,0,0,0,0,0,0,0,55,1,5,5,0.0,0.0,0.0,1,0,31,36,86.1,1,29,0,0,0,31,36,86.1,548,130,13,15,86.7,14,16,87.5,4,5,80.0,0,0.0,0.0,0,2,1,0,1,36,36,0,0,0,1,0,0,0,0,0,0,31,0,0,1,0,1,0,0,0,1,0.0,1,5,2,3,5,6,4,0,55,5,23,28,4,1,55,0,0,,0,,29,80,31,0,1,0,2,0,28,1,0,0,0,1,1,0,0,5,0,0,0,0,4,1,1,50.0
Harvey Barnes,1,0,0,0,1,1,0,0,20,0,0,1,0.0,0.0,0.0,0,0,9,14,64.3,0,12,1,1,0,9,14,64.3,124,0,3,4,75.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,14,13,0,0,1,0,1,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,20,1,3,3,14,3,20,1,0,0.0,1,100.0,12,77,31,1,1,1,2,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
James Maddison,0,1,0,0,4,0,0,0,38,0,0,0,0.2,0.2,0.3,4,1,17,32,53.1,2,31,1,5,5,17,32,53.1,311,111,11,15,73.3,2,8,25.0,3,8,37.5,1,0.3,0.3,2,2,2,1,2,32,28,4,0,1,0,6,0,4,2,2,0,17,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,38,0,3,11,24,5,38,5,5,100.0,0,0.0,31,119,67,1,2,0,0,0,32,8,0,0,0,0,5,1,6,0,0,0,0,0,5,1,0,100.0
Jamie Vardy,1,0,0,0,2,1,0,0,17,0,0,2,0.4,0.4,0.0,1,0,7,9,77.8,1,7,2,1,0,7,9,77.8,105,24,2,2,100.0,4,5,80.0,0,0,,0,0.0,0.1,0,1,0,0,1,9,7,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,17,1,1,8,8,5,17,1,0,0.0,1,100.0,7,44,23,2,0,1,1,0,11,4,0,0,0,0,0,3,0,0,0,0,0,0,1,2,4,33.3
Jonny Evans,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,0,0,44,54,81.5,0,45,0,0,0,44,54,81.5,867,256,12,13,92.3,25,26,96.2,6,11,54.5,0,0.0,0.0,0,2,0,0,0,54,53,1,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0,65,12,41,20,4,1,65,0,0,,0,,45,205,134,0,1,0,1,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,75.0
Kasper Schmeichel,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,32,41,78.0,0,22,0,0,0,32,41,78.0,887,477,1,1,100.0,19,20,95.0,12,20,60.0,0,0.0,0.0,0,1,0,0,0,41,25,16,4,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,41,37,40,1,0,0,41,0,0,,0,,22,114,89,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Nampalys Mendy,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,1,3,33.3,11,10,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,5,1,3,2,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,100.0
Ricardo Pereira,0,0,0,0,0,0,0,0,86,4,0,1,0.0,0.0,0.0,2,0,59,69,85.5,4,43,8,1,0,59,69,85.5,926,326,25,29,86.2,30,33,90.9,1,1,100.0,0,0.0,0.0,0,1,0,0,4,69,51,17,0,0,1,1,17,0,0,0,0,59,1,1,4,3,2,1,1,1,5,20.0,4,1,0,1,0,4,6,0,86,4,22,37,27,0,86,1,0,0.0,1,100.0,43,344,264,8,6,0,0,2,51,2,0,0,0,0,0,0,1,0,3,0,0,0,2,0,5,0.0
Wes Morgan,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,6,5,5,1,0,0,6,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0
Youri Tielemans,0,0,0,0,1,0,0,0,61,0,2,1,0.0,0.0,0.1,2,0,47,54,87.0,8,36,1,0,0,47,54,87.0,853,331,18,19,94.7,22,24,91.7,6,8,75.0,0,0.1,0.3,2,4,3,2,8,54,51,2,2,0,2,2,0,0,0,0,0,47,1,1,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,1,0,61,2,13,31,17,0,61,0,0,,0,,36,142,75,1,0,0,1,3,46,1,0,0,0,1,2,1,2,2,0,0,0,0,7,0,1,0.0
Çağlar Söyüncü,0,1,0,0,0,0,0,0,84,4,2,0,0.0,0.0,0.0,1,1,55,69,79.7,1,53,0,1,0,55,69,79.7,983,318,26,29,89.7,25,32,78.1,4,7,57.1,1,0.0,0.0,1,1,0,0,1,69,68,1,1,0,1,0,0,0,0,0,0,55,0,0,4,2,3,1,0,1,2,50.0,1,0,0,0,2,6,8,0,84,13,56,27,1,1,84,1,0,0.0,1,100.0,53,267,105,0,0,0,0,0,54,0,0,0,0,1,0,0,0,2,2,0,0,0,5,9,3,75.0
