player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,16,4,1,0,866,11,6,12,1.9,1.9,1.1,23,2,640,762,84.0,48,602,24,12,7,640,762,84.0,11395,3278,278,310,89.7,279,307,90.9,62,101,61.4,0,1.1,1.1,6,35,12,0,48,762,715,46,8,1,10,23,23,5,2,2,0,640,1,10,11,9,5,5,1,3,11,27.3,8,12,4,8,6,17,27,0,866,71,218,446,207,26,866,12,7,58.3,5,41.7,602,2762,1574,24,22,5,15,6,635,47,1,0,0,4,8,1,23,6,9,0,0,0,51,26,20,56.5
Adrián,0,0,0,0,0,0,1,0,37,0,0,0,0.0,0.0,0.0,1,0,29,35,82.9,0,20,0,0,0,29,35,82.9,783,543,6,6,100.0,14,14,100.0,9,15,60.0,0,0.0,0.0,0,2,0,0,0,35,25,10,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,37,30,37,0,0,0,37,0,0,,0,,20,93,69,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,,0,,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Andrew Robertson,0,0,0,0,1,0,0,0,106,0,0,2,0.0,0.0,0.1,3,1,83,99,83.8,10,69,4,0,0,83,99,83.8,1297,289,43,46,93.5,33,39,84.6,4,9,44.4,0,0.1,0.0,1,5,1,0,10,99,92,7,1,0,2,5,6,0,0,0,0,83,0,1,0,0,0,0,0,0,0,,0,2,2,0,0,0,2,0,106,4,18,61,27,1,106,0,0,,0,,69,290,185,4,3,0,2,0,85,4,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,
Divock Origi,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,2,0,9,13,69.2,1,13,3,1,1,9,13,69.2,174,16,4,5,80.0,2,3,66.7,3,3,100.0,0,0.0,0.0,1,0,1,0,1,13,13,0,0,0,0,2,0,0,0,0,0,9,0,0,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,16,1,4,3,9,2,16,1,1,100.0,0,0.0,13,74,43,3,1,1,1,1,11,5,0,0,0,0,0,0,2,0,1,0,0,0,2,2,1,66.7
Fabinho,0,0,0,0,1,0,0,0,85,4,2,1,0.0,0.0,0.1,4,0,68,76,89.5,7,56,0,0,0,68,76,89.5,1242,293,33,38,86.8,24,25,96.0,9,10,90.0,0,0.1,0.1,1,6,1,0,7,76,76,0,0,0,1,0,0,0,0,0,0,68,0,1,4,4,2,2,0,0,2,0.0,2,1,0,1,2,6,0,0,85,3,12,56,17,0,85,0,0,,0,,56,214,101,0,2,0,1,0,58,1,0,0,0,0,1,0,0,2,4,0,0,0,10,2,2,50.0
Georginio Wijnaldum,1,0,0,0,4,1,0,0,60,1,0,0,0.1,0.1,0.0,2,0,50,51,98.0,5,44,3,2,0,50,51,98.0,708,105,32,32,100.0,17,17,100.0,0,1,0.0,0,0.0,0.1,0,2,1,0,5,51,50,1,0,0,0,0,1,0,0,0,0,50,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,60,0,4,36,22,0,60,2,0,0.0,2,100.0,44,202,89,3,2,0,1,1,45,4,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,50.0
James Milner,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,2,3,66.7,18,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,6,0,3,0,3,0,6,0,0,,0,,3,30,7,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Jordan Henderson,0,0,0,0,0,0,0,0,59,1,0,2,0.0,0.0,0.0,0,0,47,55,85.5,6,44,0,0,0,47,55,85.5,717,123,28,28,100.0,12,14,85.7,5,8,62.5,0,0.0,0.1,0,2,1,0,6,55,50,4,0,0,1,4,3,0,0,0,0,47,1,1,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,2,0,59,1,5,32,22,1,59,0,0,,0,,44,161,55,0,1,0,1,1,49,3,0,0,0,0,0,0,4,0,1,0,0,0,2,0,1,0.0
Joël Matip,0,0,0,0,0,0,0,0,108,1,0,2,0.0,0.0,0.0,0,0,89,99,89.9,4,81,1,2,2,89,99,89.9,1816,528,21,24,87.5,60,63,95.2,7,10,70.0,0,0.0,0.0,0,4,0,0,4,99,98,1,0,0,0,0,1,0,0,0,0,89,0,0,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,5,0,108,14,41,63,5,0,108,2,2,100.0,0,0.0,81,425,321,1,4,0,0,0,82,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,2,77.8
