player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,1,17,4,3,0,762,8,11,7,2.8,2.0,2.0,35,2,554,656,84.5,44,547,31,15,10,554,656,84.5,9496,2857,262,289,90.7,213,245,86.9,59,80,73.8,1,2.0,1.4,16,24,9,2,44,656,601,54,14,1,8,27,23,13,7,2,0,554,1,9,8,5,6,2,0,2,11,18.2,9,7,1,6,11,19,25,0,762,61,229,363,177,32,761,15,10,66.7,5,33.3,547,3190,1866,31,28,7,8,8,552,44,3,0,0,13,12,1,27,11,5,1,0,0,45,20,22,47.6
Aymeric Laporte,0,0,0,0,0,0,0,0,86,1,1,1,0.0,0.0,0.0,1,0,73,84,86.9,8,66,2,0,0,73,84,86.9,1206,331,37,39,94.9,31,35,88.6,5,7,71.4,0,0.0,0.0,0,5,0,0,8,84,83,1,0,0,0,0,1,0,0,0,0,73,0,3,1,1,0,1,0,0,0,,0,1,1,0,1,2,0,0,86,2,33,51,2,0,86,0,0,,0,,66,371,245,2,1,0,0,0,67,0,0,0,0,1,2,0,0,1,1,0,0,0,2,2,0,100.0
Bernardo Silva,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,23,24,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ederson,0,0,0,0,0,0,0,0,34,0,1,0,0.0,0.0,0.0,0,0,25,32,78.1,0,20,0,0,0,25,32,78.1,567,365,7,7,100.0,13,13,100.0,5,11,45.5,0,0.0,0.0,0,0,0,0,0,32,22,9,6,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,34,29,34,0,0,0,34,0,0,,0,,20,102,57,0,0,0,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,100.0
Eric García,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,2,2,100.0,43,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,5,3,5,0,0,0,5,0,0,,0,,2,10,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,50.0
Fernandinho,0,0,0,0,0,0,1,0,97,1,1,0,0.0,0.0,0.1,3,0,72,82,87.8,7,73,2,2,2,72,82,87.8,1274,424,35,41,85.4,29,31,93.5,8,10,80.0,0,0.1,0.3,3,5,2,0,7,82,80,2,1,0,1,0,1,0,0,0,0,72,0,0,1,0,1,0,0,0,0,,0,0,0,0,1,2,7,0,97,10,39,54,4,2,97,2,2,100.0,0,0.0,73,400,304,2,1,0,1,1,72,1,1,0,0,3,1,0,0,1,0,0,0,0,3,6,5,54.5
Gabriel Jesus,0,0,0,1,1,1,0,0,23,0,1,0,0.9,0.1,0.0,1,0,12,15,80.0,0,13,0,1,0,12,15,80.0,135,2,8,9,88.9,3,4,75.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,15,13,2,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,23,1,4,8,11,4,22,1,0,0.0,1,100.0,13,40,5,0,2,0,1,0,14,4,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,100.0
Kevin De Bruyne,0,1,0,0,2,0,0,0,82,1,1,1,0.1,0.1,0.9,5,1,57,74,77.0,6,55,5,1,1,57,74,77.0,1075,358,25,29,86.2,24,31,77.4,6,9,66.7,1,0.9,0.6,3,3,1,1,6,74,64,10,3,0,2,11,1,6,3,1,0,57,0,2,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,1,0,82,3,8,42,33,2,82,1,1,100.0,0,0.0,55,372,236,5,3,1,1,1,61,3,0,0,0,1,0,0,11,1,1,0,0,0,4,0,0,
Kyle Walker,0,0,0,0,0,0,0,0,73,0,2,0,0.0,0.0,0.0,2,0,55,64,85.9,3,47,4,1,0,55,64,85.9,909,181,30,31,96.8,20,22,90.9,4,8,50.0,0,0.0,0.0,0,5,0,0,3,64,54,10,0,0,3,1,10,0,0,0,0,55,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,2,0,73,0,17,41,15,0,73,1,0,0.0,1,100.0,47,235,146,4,4,0,2,0,49,3,0,0,0,1,1,0,1,2,0,0,0,0,5,2,2,50.0
Nicolás Otamendi,0,0,0,0,1,1,0,0,84,3,0,0,0.1,0.1,0.1,1,0,65,70,92.9,0,60,0,0,0,65,70,92.9,1457,435,13,14,92.9,36,37,97.3,15,16,93.8,0,0.1,0.0,1,0,0,0,0,70,67,3,2,0,0,0,1,0,0,0,0,65,0,0,3,2,3,0,0,0,1,0.0,1,0,0,0,0,3,9,0,84,9,34,46,4,4,84,0,0,,0,,60,459,235,0,0,0,0,0,60,0,0,0,0,1,0,0,0,0,2,0,0,0,3,3,2,60.0
