player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,21,5,1,0,753,15,9,9,2.6,2.6,1.6,38,2,520,649,80.1,48,380,19,18,10,520,649,80.1,9473,3043,222,249,89.2,217,253,85.8,67,119,56.3,1,1.6,0.8,15,52,14,0,48,649,594,54,11,0,13,20,27,8,3,4,0,520,1,9,15,12,4,5,6,5,14,35.7,9,9,4,5,9,24,8,0,753,40,183,337,240,30,753,18,10,55.6,8,44.4,380,2034,1045,19,15,7,19,10,510,44,1,0,0,6,10,1,20,9,12,0,0,0,57,19,25,43.2
Alex McCarthy,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,23,34,67.6,0,17,0,0,0,23,34,67.6,628,397,5,5,100.0,9,9,100.0,9,20,45.0,0,0.0,0.0,0,0,0,0,0,34,26,8,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,25,33,1,0,0,34,0,0,,0,,17,58,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Che Adams,0,0,0,0,4,0,0,0,21,0,0,0,1.0,1.0,0.0,4,1,8,11,72.7,0,10,0,3,1,8,11,72.7,141,18,4,6,66.7,3,3,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,11,11,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,0,6,15,5,21,3,1,33.3,2,66.7,10,63,5,0,0,0,1,0,13,5,0,0,0,0,1,0,1,0,0,0,0,0,1,2,4,33.3
Danny Ings,1,0,0,0,5,1,0,0,38,1,0,3,0.8,0.8,0.1,4,0,14,21,66.7,1,18,2,3,1,14,21,66.7,190,17,9,13,69.2,3,3,100.0,1,3,33.3,0,0.1,0.1,1,0,1,0,1,21,21,0,0,0,0,1,0,0,0,0,0,14,0,1,1,1,0,0,1,0,1,0.0,1,3,0,3,0,1,0,0,38,0,2,9,27,13,38,3,1,33.3,2,66.7,18,75,26,2,0,2,3,5,26,8,0,0,0,2,1,1,1,0,1,0,0,0,1,1,4,20.0
Jake Vokins,0,0,0,0,1,0,0,0,80,2,0,0,0.0,0.0,0.1,1,0,57,71,80.3,3,42,4,1,0,57,71,80.3,922,312,26,27,96.3,23,29,79.3,5,9,55.6,0,0.1,0.1,1,6,2,0,3,71,58,13,1,0,1,1,12,0,0,0,0,57,0,2,2,2,0,0,2,1,1,100.0,0,0,0,0,0,2,1,0,80,1,9,34,37,1,80,1,0,0.0,1,100.0,42,236,136,4,4,0,2,1,59,11,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,
James Ward-Prowse,0,0,0,0,3,1,0,0,95,2,1,1,0.2,0.2,0.5,8,0,70,84,83.3,9,47,1,2,1,70,84,83.3,1373,393,28,29,96.6,29,33,87.9,11,20,55.0,0,0.5,0.4,4,14,1,0,9,84,72,12,3,0,6,11,0,8,3,4,0,70,0,0,2,2,0,1,1,0,1,0.0,1,1,1,0,1,3,1,0,95,3,18,43,35,1,95,2,1,50.0,1,50.0,47,168,49,1,1,1,0,1,60,3,0,0,0,0,0,0,11,1,2,0,0,0,4,0,1,0.0
Jan Bednarek,0,0,0,0,0,0,0,0,81,3,5,0,0.0,0.0,0.0,1,0,58,72,80.6,3,44,0,0,0,58,72,80.6,1193,423,17,19,89.5,32,39,82.1,9,13,69.2,0,0.0,0.0,0,4,0,0,3,72,72,0,0,0,0,0,0,0,0,0,0,58,0,0,3,2,3,0,0,2,2,100.0,0,0,0,0,5,8,1,0,81,3,40,38,3,0,81,0,0,,0,,44,283,163,0,0,0,0,0,53,0,0,0,0,1,0,0,0,5,2,0,0,0,3,6,3,66.7
Jannik Vestergaard,0,0,0,0,2,1,0,0,91,0,1,2,0.1,0.1,0.0,2,0,65,83,78.3,6,47,1,0,0,65,83,78.3,1287,426,19,24,79.2,38,44,86.4,7,14,50.0,0,0.0,0.0,0,6,1,0,6,83,79,4,4,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,2,0.0,2,2,1,1,1,1,2,0,91,3,30,55,6,1,91,0,0,,0,,47,256,157,1,1,0,1,0,61,0,0,0,0,0,1,0,0,1,0,0,0,0,8,6,1,85.7
Kyle Walker-Peters,0,0,0,0,0,0,0,0,57,0,2,0,0.0,0.0,0.2,2,0,44,53,83.0,3,26,2,4,4,44,53,83.0,688,213,25,26,96.2,15,18,83.3,4,5,80.0,0,0.2,0.0,2,4,1,0,3,53,47,6,0,0,0,2,6,0,0,0,0,44,0,4,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,57,1,14,20,25,2,57,4,4,100.0,0,0.0,26,194,130,2,3,1,1,0,35,5,0,0,0,0,0,0,2,2,0,0,0,0,10,0,1,0.0
Michael Obafemi,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.1,2,0,5,6,83.3,1,8,0,1,0,5,6,83.3,87,9,2,2,100.0,2,2,100.0,1,2,50.0,0,0.1,0.0,2,0,1,0,1,6,5,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,13,0,0,8,5,1,13,1,0,0.0,1,100.0,8,27,10,0,0,0,4,1,9,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,5,0.0
