player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,24,5,1,0,561,23,10,6,1.9,1.9,1.6,39,3,302,433,69.7,43,219,14,18,13,302,433,69.7,5883,2574,140,164,85.4,110,148,74.3,50,95,52.6,2,1.6,1.3,17,28,12,3,43,433,371,62,14,2,3,26,29,9,0,8,0,302,0,12,23,16,10,10,3,9,19,47.4,10,6,0,6,10,33,20,0,561,50,149,236,184,44,561,18,13,72.2,5,27.8,219,1069,576,14,11,6,18,7,302,43,1,0,0,12,12,0,26,10,16,0,0,0,54,27,23,54.0
Alex Iwobi,0,0,0,0,2,1,0,0,13,1,0,0,0.1,0.1,0.1,3,1,5,8,62.5,2,3,0,1,1,5,8,62.5,88,36,3,5,60.0,2,2,100.0,0,0,,0,0.1,0.2,1,1,1,0,2,8,8,0,0,1,0,1,0,0,0,0,0,5,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,13,0,2,3,8,2,13,1,1,100.0,0,0.0,3,10,4,0,0,0,1,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,
Cenk Tosun,0,0,0,0,3,0,0,0,33,0,0,0,0.2,0.2,0.1,4,0,15,21,71.4,4,14,1,1,1,15,21,71.4,195,36,10,12,83.3,5,7,71.4,0,0,,0,0.1,0.1,2,2,2,0,4,21,21,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,1,1,10,22,7,33,1,1,100.0,0,0.0,14,71,31,1,1,0,5,1,25,7,0,0,0,1,1,0,0,0,0,0,0,0,2,2,6,25.0
Djibril Sidibé,0,1,0,0,1,0,1,0,51,7,1,0,0.0,0.0,0.3,3,1,33,37,89.2,4,19,0,1,0,33,37,89.2,558,203,13,13,100.0,16,19,84.2,4,5,80.0,1,0.3,0.1,1,2,1,1,4,37,27,10,0,0,0,1,10,0,0,0,0,33,0,0,7,5,4,2,1,3,5,60.0,2,0,0,0,1,8,1,0,51,1,15,22,14,3,51,1,0,0.0,1,100.0,19,63,16,0,0,1,2,0,21,3,1,0,0,3,3,0,1,1,5,0,0,0,7,1,1,50.0
Dominic Calvert-Lewin,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,6,9,66.7,1,8,1,2,1,6,9,66.7,88,10,4,6,66.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,0,0,5,9,2,14,2,1,50.0,1,50.0,8,52,19,1,0,0,2,0,14,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,4,42.9
Gylfi Sigurðsson,0,0,0,0,2,1,0,0,54,3,1,2,0.1,0.1,0.1,5,0,29,40,72.5,8,21,0,1,1,29,40,72.5,531,206,15,15,100.0,10,14,71.4,4,6,66.7,0,0.1,0.1,3,5,1,0,8,40,34,6,1,0,0,5,0,3,0,3,0,29,0,3,3,2,0,3,0,0,1,0.0,1,2,0,2,1,4,0,0,54,0,3,23,28,4,54,1,1,100.0,0,0.0,21,86,26,0,1,0,2,0,28,5,0,0,0,1,0,0,5,1,2,0,0,0,4,0,2,0.0
Jordan Pickford,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,17,36,47.2,0,15,0,0,0,17,36,47.2,657,508,3,3,100.0,4,4,100.0,10,29,34.5,0,0.0,0.0,0,0,0,0,0,36,21,15,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,30,37,0,0,0,37,0,0,,0,,15,77,48,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Lucas Digne,0,0,0,0,1,0,0,0,87,1,3,3,0.0,0.0,0.5,9,0,48,76,63.2,7,20,1,0,0,48,76,63.2,876,551,24,29,82.8,17,26,65.4,7,16,43.8,0,0.5,0.2,4,5,1,1,7,76,47,29,4,0,0,14,19,6,0,5,0,48,0,2,1,0,0,1,0,0,0,,0,3,0,3,3,4,3,0,87,2,19,37,32,2,87,0,0,,0,,20,86,41,1,2,0,0,2,33,4,0,0,0,0,1,0,14,3,0,0,0,0,1,9,2,81.8
Mason Holgate,0,1,0,0,2,0,0,0,55,3,0,0,0.4,0.4,0.2,4,1,38,47,80.9,3,27,0,0,0,38,47,80.9,982,394,9,11,81.8,17,21,81.0,12,13,92.3,1,0.2,0.0,1,3,0,0,3,47,46,1,1,0,1,0,0,0,0,0,0,38,0,2,3,3,2,1,0,2,2,100.0,0,0,0,0,0,3,4,0,55,4,25,27,3,2,55,0,0,,0,,27,130,69,0,0,0,0,1,30,1,0,0,0,1,0,0,0,0,3,0,0,0,11,3,2,60.0
Michael Keane,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,1,1,100.0,4,2,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,50.0
Morgan Schneiderlin,0,0,0,0,1,0,0,0,43,2,1,1,0.0,0.0,0.0,1,0,29,35,82.9,3,15,0,0,0,29,35,82.9,532,167,16,17,94.1,10,11,90.9,3,5,60.0,0,0.0,0.0,1,7,0,0,3,35,35,0,0,0,1,0,0,0,0,0,0,29,0,0,2,2,0,2,0,0,4,0.0,4,1,0,1,1,3,2,0,43,0,4,33,6,0,43,0,0,,0,,15,48,21,0,0,0,0,0,25,0,0,0,0,2,0,0,0,1,2,0,0,0,2,2,0,100.0
Richarlison,1,0,0,0,3,2,0,0,42,2,0,0,0.4,0.4,0.1,3,0,15,25,60.0,3,26,3,8,5,15,25,60.0,189,67,10,12,83.3,5,6,83.3,0,3,0.0,0,0.1,0.0,1,0,2,0,3,25,25,0,0,0,0,1,0,0,0,0,0,15,0,1,2,1,2,0,0,0,0,,0,0,0,0,0,2,1,0,42,1,5,16,24,7,42,8,5,62.5,3,37.5,26,161,100,3,2,2,2,2,28,10,0,0,0,2,2,0,1,0,1,0,0,0,10,1,3,25.0
Theo Walcott,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.2,5,0,12,23,52.2,3,20,7,3,3,12,23,52.2,172,101,10,12,83.3,1,7,14.3,1,2,50.0,0,0.2,0.5,3,1,4,1,3,23,23,0,0,1,0,2,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,0,0,12,16,5,26,3,3,100.0,0,0.0,20,169,141,7,3,3,1,0,25,10,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,
Tom Davies,1,0,0,0,3,1,0,0,58,2,3,0,0.2,0.2,0.0,1,0,29,42,69.0,4,17,0,1,1,29,42,69.0,411,112,17,23,73.9,10,14,71.4,1,4,25.0,0,0.0,0.0,0,2,0,0,4,42,42,0,0,0,0,1,0,0,0,0,0,29,0,0,2,1,0,1,1,1,3,33.3,2,0,0,0,3,5,2,0,58,1,8,34,17,7,58,1,1,100.0,0,0.0,17,61,26,0,1,0,3,1,31,1,0,0,0,0,2,0,1,3,1,0,0,0,8,2,0,100.0
Yerry Mina,0,0,0,0,4,0,0,0,46,2,0,0,0.2,0.2,0.0,0,0,25,33,75.8,1,14,1,0,0,25,33,75.8,600,181,6,6,100.0,12,16,75.0,7,10,70.0,0,0.0,0.0,0,0,0,0,1,33,32,1,1,0,1,0,0,0,0,0,0,25,0,1,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,6,0,46,10,29,13,5,3,46,0,0,,0,,14,55,34,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,2,60.0
