player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,4,3,1,0,506,12,6,18,0.9,0.9,0.0,8,2,265,386,68.7,24,228,8,19,10,265,386,68.7,4604,1670,114,139,82.0,133,174,76.4,13,56,23.2,0,0.0,0.2,2,17,2,1,24,386,331,53,11,0,2,11,22,5,2,3,0,265,2,6,12,5,8,2,2,5,18,27.8,13,18,9,9,6,18,26,2,506,78,184,245,85,7,506,19,10,52.6,9,47.4,228,1427,791,8,8,1,17,14,260,23,1,0,0,12,11,2,11,6,5,0,0,0,48,23,27,46.0
Alex McCarthy,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,33,57.6,0,15,0,0,0,19,33,57.6,472,356,6,6,100.0,9,9,100.0,4,18,22.2,0,0.0,0.0,0,0,0,0,0,33,19,14,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,28,36,0,0,0,36,0,0,,0,,15,82,71,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Che Adams,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,2,1,0,3,1,1,100.0,0,0.0,2,9,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
Cédric Soares,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,0,0,12,19,63.2,2,11,0,0,0,12,19,63.2,152,85,8,9,88.9,3,6,50.0,0,2,0.0,0,0.0,0.0,0,0,0,0,2,19,15,3,0,0,0,1,3,0,0,0,0,12,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,23,3,8,11,4,1,23,0,0,,0,,11,52,21,0,0,0,0,1,12,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,
Danny Ings,1,0,0,0,1,1,0,0,26,1,0,4,0.8,0.8,0.0,1,0,6,14,42.9,2,10,0,2,1,6,14,42.9,154,52,3,4,75.0,1,5,20.0,2,2,100.0,0,0.0,0.0,0,2,1,0,2,14,13,0,0,0,0,1,0,0,0,0,0,6,1,0,1,1,0,0,1,1,2,50.0,1,4,1,3,0,1,0,0,26,0,6,8,13,2,26,2,1,50.0,1,50.0,10,35,5,0,1,0,3,2,13,3,0,0,0,0,0,1,1,0,1,0,0,0,4,2,4,33.3
Jack Stephens,0,0,0,0,0,0,0,0,70,0,2,4,0.0,0.0,0.0,0,0,43,61,70.5,1,36,1,0,0,43,61,70.5,831,354,13,17,76.5,27,34,79.4,3,8,37.5,0,0.0,0.0,0,1,0,0,1,61,59,2,1,0,0,0,1,0,0,0,0,43,0,2,0,0,0,0,0,0,1,0.0,1,4,3,1,2,2,2,0,70,8,28,42,0,0,70,0,0,,0,,36,261,179,1,0,0,0,1,44,0,0,0,0,2,1,0,0,2,0,0,0,0,4,3,3,50.0
James Ward-Prowse,0,0,0,0,1,1,0,0,42,0,1,1,0.1,0.1,0.0,2,0,30,39,76.9,2,14,0,0,0,30,39,76.9,516,133,10,12,83.3,17,18,94.4,1,7,14.3,0,0.0,0.1,2,2,1,1,2,39,28,11,3,0,0,7,0,5,2,3,0,30,0,0,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,1,0,42,3,6,24,12,0,42,0,0,,0,,14,47,13,0,0,0,0,0,20,0,0,0,0,1,2,0,7,1,0,0,0,0,8,0,0,
Jan Bednarek,0,0,0,0,0,0,0,0,75,3,1,2,0.0,0.0,0.0,0,0,39,57,68.4,4,21,0,0,0,39,57,68.4,698,227,16,20,80.0,20,29,69.0,3,8,37.5,0,0.0,0.0,0,2,0,0,4,57,49,8,2,0,0,0,6,0,0,0,0,39,0,0,3,1,3,0,0,2,5,40.0,3,2,1,1,1,4,6,1,75,12,34,41,0,0,75,0,0,,0,,21,87,48,0,0,0,1,0,30,0,0,0,0,0,0,0,0,1,1,0,0,0,3,6,4,60.0
Jannik Vestergaard,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,0,0,32,40,80.0,2,25,1,0,0,32,40,80.0,519,137,10,12,83.3,21,23,91.3,0,4,0.0,0,0.0,0.0,0,3,0,0,2,40,37,3,2,0,2,0,1,0,0,0,0,32,0,0,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,8,0,52,10,25,26,1,0,52,0,0,,0,,25,187,160,1,0,0,0,0,29,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,1,80.0
Michael Obafemi,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Moussa Djenepo,0,0,0,0,1,0,0,0,31,1,0,1,0.0,0.0,0.0,3,1,11,16,68.8,1,24,5,5,2,11,16,68.8,150,66,8,9,88.9,3,5,60.0,0,2,0.0,0,0.0,0.0,0,2,0,0,1,16,13,3,0,0,0,1,3,0,0,0,0,11,0,0,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,31,2,10,14,9,1,31,5,2,40.0,3,60.0,24,228,148,5,2,1,4,2,21,6,0,0,0,2,5,0,1,0,0,0,0,0,5,0,0,
Nathan Redmond,0,0,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.0,0,0,14,19,73.7,2,16,0,0,0,14,19,73.7,219,6,7,8,87.5,7,9,77.8,0,2,0.0,0,0.0,0.0,0,1,0,0,2,19,19,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,1,0,0,0,0,,0,1,0,1,0,1,2,0,28,1,5,16,8,1,28,0,0,,0,,16,78,5,0,0,0,3,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,14.3
Oriol Romeu,0,0,0,0,0,0,0,0,48,0,1,2,0.0,0.0,0.0,0,0,26,41,63.4,4,16,0,0,0,26,41,63.4,399,93,12,16,75.0,13,20,65.0,0,2,0.0,0,0.0,0.0,0,2,0,0,4,41,40,1,1,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,4,0.0,4,2,1,1,1,1,2,0,48,5,7,37,5,1,48,0,0,,0,,16,89,48,0,2,0,1,0,25,1,0,0,0,0,0,0,0,1,0,0,0,0,4,5,0,100.0
