player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,1,13,6,3,0,662,15,7,7,3.2,2.4,1.6,22,1,425,544,78.1,38,439,14,28,15,425,544,78.1,7565,2249,177,207,85.5,193,224,86.2,38,72,52.8,0,1.6,0.6,9,38,7,2,38,544,492,50,12,0,3,20,21,8,6,0,0,425,2,17,15,7,7,6,2,4,15,26.7,11,7,2,5,7,22,19,0,662,51,163,348,154,26,661,28,15,53.6,13,46.4,439,2211,1064,14,11,4,23,6,424,37,3,0,0,15,13,2,20,7,7,0,0,0,51,13,18,41.9
Allan Saint-Maximin,1,0,0,0,1,1,0,0,46,2,1,1,0.1,0.1,0.5,4,1,20,26,76.9,3,34,4,11,7,20,26,76.9,267,28,14,15,93.3,5,5,100.0,0,2,0.0,0,0.5,0.3,2,1,1,0,3,26,25,1,0,0,0,1,1,0,0,0,0,20,0,3,2,1,1,1,0,1,3,33.3,2,1,0,1,1,3,0,0,46,0,5,19,23,9,46,11,7,63.6,4,36.4,34,328,190,4,2,4,8,1,32,8,0,0,0,1,2,0,1,1,1,0,0,0,2,0,1,0.0
Danny Rose,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.0,2,0,47,58,81.0,7,42,1,1,0,47,58,81.0,667,195,27,30,90.0,16,17,94.1,2,4,50.0,0,0.0,0.0,0,6,0,0,7,58,52,6,1,0,0,0,5,0,0,0,0,47,0,3,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,2,0,65,2,12,35,18,1,65,1,0,0.0,1,100.0,42,159,78,1,2,0,2,0,40,8,0,0,0,1,0,0,0,0,1,0,0,0,7,1,1,50.0
Dwight Gayle,0,0,0,0,5,3,0,0,19,0,0,1,1.3,1.3,0.0,2,0,6,11,54.5,2,11,0,0,0,6,11,54.5,62,34,3,6,50.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,2,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,19,0,1,11,7,5,19,0,0,,0,,11,23,6,0,0,0,1,0,15,2,0,0,0,1,2,0,0,0,0,0,0,0,1,3,4,42.9
Federico Fernández,0,0,0,0,0,0,0,0,74,0,0,1,0.0,0.0,0.0,0,0,52,64,81.3,3,49,0,2,0,52,64,81.3,964,387,17,19,89.5,31,37,83.8,2,5,40.0,0,0.0,0.0,0,2,0,0,3,64,61,3,2,0,0,1,1,0,0,0,0,52,0,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,6,0,74,9,33,38,3,0,74,2,0,0.0,2,100.0,49,195,90,0,0,0,0,0,45,1,0,0,0,1,0,0,1,0,0,0,0,0,7,2,4,33.3
Isaac Hayden,0,0,0,0,1,0,0,0,62,1,2,1,0.1,0.1,0.0,3,0,44,53,83.0,2,41,1,2,2,44,53,83.0,775,130,13,18,72.2,29,31,93.5,1,2,50.0,0,0.0,0.0,1,4,0,0,2,53,51,2,1,0,0,1,0,0,0,0,0,44,0,0,1,1,0,1,0,1,2,50.0,1,1,0,1,2,3,0,0,62,1,7,46,9,3,62,2,2,100.0,0,0.0,41,171,56,1,0,0,2,2,41,1,0,0,0,1,1,0,1,2,1,0,0,0,5,4,3,57.1
Jamaal Lascelles,0,0,0,0,1,0,0,0,88,1,2,0,0.0,0.0,0.0,0,0,61,80,76.3,1,61,0,0,0,61,80,76.3,1164,316,17,21,81.0,40,47,85.1,3,9,33.3,0,0.0,0.0,0,4,0,0,1,80,79,0,0,0,0,0,0,0,0,0,0,61,1,0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,3,0,88,9,37,48,3,0,88,0,0,,0,,61,237,104,0,2,0,0,0,55,0,0,0,0,2,1,1,0,2,0,0,0,0,11,3,0,100.0
Javier Manquillo,0,0,0,0,0,0,1,0,62,4,0,0,0.0,0.0,0.0,0,0,36,50,72.0,2,37,0,1,0,36,50,72.0,394,97,25,29,86.2,6,13,46.2,0,0,,0,0.0,0.0,0,2,0,0,2,50,39,11,1,0,0,4,10,0,0,0,0,36,0,3,4,2,2,0,2,0,1,0.0,1,0,0,0,0,4,4,0,62,4,16,22,24,1,62,1,0,0.0,1,100.0,37,137,47,0,0,0,1,1,34,5,1,0,0,1,1,0,4,0,2,0,0,0,4,0,0,
Joelinton,0,0,0,0,1,0,1,0,20,0,0,0,0.1,0.1,0.0,1,0,11,14,78.6,2,15,1,4,2,11,14,78.6,123,20,9,10,90.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,1,0,2,14,14,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,0,2,8,12,2,20,4,2,50.0,2,50.0,15,103,64,1,1,0,1,0,14,5,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
Jonjo Shelvey,0,0,0,0,0,0,0,0,101,3,1,1,0.0,0.0,0.3,3,0,74,90,82.2,14,73,4,0,0,74,90,82.2,1666,484,23,27,85.2,33,40,82.5,17,22,77.3,0,0.3,0.1,3,14,4,2,14,90,85,5,2,0,3,6,0,3,2,0,0,74,0,0,3,2,2,1,0,1,2,50.0,1,1,1,0,1,4,1,0,101,4,11,74,16,0,101,0,0,,0,,73,451,275,4,1,0,3,0,72,1,0,0,0,1,0,0,6,1,2,0,0,0,6,0,2,0.0
Martin Dúbravka,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,15,22,68.2,0,8,0,0,0,15,22,68.2,481,354,1,1,100.0,7,7,100.0,7,14,50.0,0,0.0,0.0,0,0,0,0,0,22,9,13,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,20,23,0,0,0,23,0,0,,0,,8,35,20,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Matt Ritchie,0,0,0,1,1,0,1,0,31,2,0,0,0.8,0.0,0.1,3,0,12,20,60.0,0,13,0,2,1,12,20,60.0,254,97,7,7,100.0,1,1,100.0,3,6,50.0,0,0.1,0.1,2,1,0,0,0,20,14,5,0,0,0,4,1,4,4,0,0,12,1,4,2,0,0,2,0,0,0,,0,0,0,0,0,2,2,0,31,2,7,10,14,1,30,2,1,50.0,1,50.0,13,38,14,0,0,0,1,0,14,0,1,0,0,3,1,0,4,0,0,0,0,0,2,0,2,0.0
Miguel Almirón,0,0,0,0,2,2,0,0,35,0,1,1,0.7,0.7,0.6,2,0,20,26,76.9,0,31,3,3,2,20,26,76.9,338,12,6,8,75.0,11,12,91.7,1,2,50.0,0,0.6,0.0,1,2,0,0,0,26,26,0,0,0,0,3,0,0,0,0,0,20,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,35,0,2,16,17,4,35,3,2,66.7,1,33.3,31,233,84,3,3,0,3,1,30,5,0,0,0,2,2,0,3,1,0,0,0,0,2,0,0,
Sean Longstaff,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,2,10,0,0,0,11,12,91.7,202,21,5,5,100.0,4,4,100.0,2,3,66.7,0,0.0,0.0,0,0,1,0,2,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,0,0,12,2,0,14,0,0,,0,,10,48,16,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Valentino Lazaro,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,16,18,88.9,0,14,0,2,1,16,18,88.9,208,74,10,11,90.9,6,6,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,18,14,4,0,0,0,0,3,1,0,0,0,16,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,22,0,7,9,6,0,22,2,1,50.0,1,50.0,14,53,20,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
