player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,2,1,0,666,15,10,13,0.9,0.9,0.5,19,0,376,534,70.4,39,302,13,18,8,376,534,70.4,6680,2533,177,217,81.6,152,205,74.1,40,82,48.8,0,0.5,0.9,8,35,16,8,39,534,478,52,14,2,1,26,27,5,5,0,0,376,4,9,15,8,10,5,0,6,18,33.3,12,13,3,10,10,25,24,0,666,47,172,337,163,23,666,18,8,44.4,10,55.6,302,1597,863,13,11,0,23,7,373,39,1,0,0,9,12,4,26,10,8,0,0,0,68,33,31,51.6
Alex McCarthy,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,18,32,56.3,0,16,0,0,0,18,32,56.3,670,609,3,3,100.0,4,5,80.0,11,23,47.8,0,0.0,0.0,0,3,0,0,0,32,21,10,6,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,24,34,0,0,0,34,0,0,,0,,16,97,79,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Che Adams,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Cédric Soares,0,0,0,0,1,0,0,0,70,3,0,1,0.0,0.0,0.2,3,0,38,55,69.1,1,28,2,1,1,38,55,69.1,573,271,22,25,88.0,13,18,72.2,3,9,33.3,0,0.2,0.4,2,1,4,3,1,55,40,14,0,0,0,6,14,0,0,0,0,38,1,1,3,1,2,1,0,2,4,50.0,2,1,1,0,0,3,6,0,70,5,23,28,19,1,70,1,1,100.0,0,0.0,28,157,83,2,2,0,2,2,30,3,0,0,0,0,0,0,6,0,1,0,0,0,4,5,3,62.5
Danny Ings,0,0,0,0,1,0,0,0,38,1,1,5,0.1,0.1,0.0,3,0,12,26,46.2,1,17,1,4,1,12,26,46.2,189,18,5,11,45.5,5,8,62.5,1,3,33.3,0,0.0,0.0,1,2,0,0,1,26,25,0,0,0,0,0,0,0,0,0,0,12,1,2,1,0,0,1,0,0,0,,0,5,0,5,1,2,0,0,38,0,0,18,21,4,38,4,1,25.0,3,75.0,17,93,36,1,1,0,0,0,21,8,0,0,0,0,0,2,0,1,0,0,0,0,5,1,4,20.0
Jack Stephens,0,0,0,0,1,0,0,0,79,3,0,2,0.1,0.1,0.0,1,0,45,64,70.3,6,37,2,4,3,45,64,70.3,959,379,13,17,76.5,25,31,80.6,7,15,46.7,0,0.0,0.1,0,7,1,0,6,64,61,3,1,1,0,1,2,0,0,0,0,45,0,0,3,0,3,0,0,1,3,33.3,2,2,1,1,0,3,3,0,79,4,32,41,7,3,79,4,3,75.0,1,25.0,37,252,178,2,1,0,2,0,42,3,0,0,0,1,0,0,1,0,0,0,0,0,11,3,4,42.9
James Ward-Prowse,0,0,0,0,2,1,0,0,66,0,0,0,0.2,0.2,0.0,0,0,45,61,73.8,4,21,1,1,1,45,61,73.8,785,182,23,24,95.8,15,20,75.0,5,12,41.7,0,0.0,0.1,0,4,2,1,4,61,50,11,3,0,1,8,1,5,5,0,0,45,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,66,0,4,41,21,4,66,1,1,100.0,0,0.0,21,85,39,1,0,0,1,1,39,5,0,0,0,0,0,0,8,0,0,0,0,0,7,4,0,100.0
Jan Bednarek,0,0,0,0,0,0,0,0,68,0,3,1,0.0,0.0,0.0,1,0,50,53,94.3,3,38,0,0,0,50,53,94.3,839,245,20,20,100.0,28,31,90.3,1,1,100.0,0,0.0,0.0,0,0,0,0,3,53,52,1,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,3,3,11,0,68,8,31,37,0,0,68,0,0,,0,,38,140,62,0,0,0,1,0,42,0,0,0,0,1,2,0,0,3,0,0,0,0,1,1,4,20.0
Moussa Djenepo,0,0,0,0,1,0,0,0,43,4,1,1,0.0,0.0,0.1,2,0,16,25,64.0,2,26,2,3,1,16,25,64.0,206,66,10,14,71.4,6,7,85.7,0,0,,0,0.1,0.1,2,1,3,1,2,25,24,1,0,0,0,2,1,0,0,0,0,16,0,1,4,4,3,1,0,2,4,50.0,2,1,0,1,1,5,0,0,43,0,9,15,19,2,43,3,1,33.3,2,66.7,26,180,107,2,2,0,2,1,26,6,0,0,0,3,4,0,2,1,4,0,0,0,4,1,0,100.0
Nathan Redmond,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,10,19,52.6,0,16,1,1,0,10,19,52.6,135,16,7,7,100.0,3,8,37.5,0,3,0.0,0,0.0,0.0,0,0,0,0,0,19,19,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,27,0,4,9,15,0,27,1,0,0.0,1,100.0,16,153,27,1,1,0,3,1,16,2,0,0,0,2,0,0,1,0,0,0,0,0,4,1,1,50.0
