player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,3,0,0,13,5,4,0,794,11,14,13,1.0,1.0,0.9,20,6,598,690,86.7,59,578,18,14,9,598,690,86.7,10186,2889,280,309,90.6,258,284,90.8,46,69,66.7,3,0.9,0.7,10,44,12,2,59,690,652,37,10,1,4,18,22,4,2,2,0,598,1,3,11,6,6,4,1,1,9,11.1,8,13,3,10,14,25,13,1,794,48,155,476,166,23,794,14,9,64.3,5,35.7,578,2627,1587,18,22,4,18,10,597,59,4,0,0,19,11,1,18,14,6,0,0,0,58,20,14,58.8
Ben Davies,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,12,16,75.0,0,11,1,4,3,12,16,75.0,152,73,10,10,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,16,13,3,0,0,0,0,3,0,0,0,0,12,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,18,0,4,12,2,1,18,4,3,75.0,1,25.0,11,83,70,1,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Christian Eriksen,0,0,0,0,1,0,1,0,67,3,0,0,0.1,0.1,0.1,3,0,48,58,82.8,5,39,4,1,0,48,58,82.8,661,215,30,35,85.7,12,16,75.0,3,4,75.0,0,0.1,0.1,2,3,3,0,5,58,52,6,1,0,0,3,4,1,0,1,0,48,0,0,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,67,0,4,36,27,3,67,1,0,0.0,1,100.0,39,173,94,4,2,1,4,0,47,9,1,0,0,1,0,0,3,0,1,0,0,0,5,0,0,
Danny Rose,0,0,0,0,0,0,1,0,56,0,1,1,0.0,0.0,0.1,2,0,44,54,81.5,4,39,3,0,0,44,54,81.5,761,181,21,25,84.0,18,21,85.7,4,7,57.1,0,0.1,0.1,2,0,2,0,4,54,50,4,0,0,0,3,4,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,56,1,6,31,19,3,56,0,0,,0,,39,172,117,3,3,0,0,0,47,4,1,0,0,4,0,0,3,1,0,0,0,0,2,0,1,0.0
Harry Kane,0,1,0,0,1,0,0,0,25,0,1,1,0.0,0.0,0.4,1,1,10,17,58.8,2,18,0,2,2,10,17,58.8,270,58,2,4,50.0,5,7,71.4,3,5,60.0,1,0.4,0.1,1,1,1,1,2,17,15,2,1,1,1,1,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,25,1,1,10,14,2,25,2,2,100.0,0,0.0,18,63,19,0,0,0,4,0,17,4,0,0,0,1,1,1,1,1,0,0,0,0,3,2,2,50.0
Harry Winks,0,0,0,0,4,1,1,0,69,0,3,0,0.2,0.2,0.0,3,1,54,60,90.0,5,54,1,0,0,54,60,90.0,883,123,27,30,90.0,24,26,92.3,3,3,100.0,0,0.0,0.0,0,6,0,0,5,60,59,1,0,0,0,2,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0,69,2,9,51,9,1,69,0,0,,0,,54,201,67,1,1,0,0,0,58,2,1,0,0,1,1,0,2,3,0,0,0,0,3,2,0,100.0
Hugo Lloris,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,20,21,95.2,0,17,0,0,0,20,21,95.2,500,345,5,5,100.0,7,8,87.5,8,8,100.0,0,0.0,0.0,0,0,0,0,0,21,19,2,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,21,22,0,0,0,22,0,0,,0,,17,112,98,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Jan Vertonghen,0,0,0,0,0,0,1,0,116,1,1,1,0.0,0.0,0.0,1,1,96,103,93.2,7,89,0,0,0,96,103,93.2,1774,607,36,37,97.3,56,57,98.2,4,6,66.7,0,0.0,0.0,0,5,0,0,7,103,101,2,2,0,0,0,0,0,0,0,0,96,0,0,1,0,1,0,0,0,0,,0,1,1,0,1,2,6,0,116,10,38,78,0,0,116,0,0,,0,,89,470,319,0,0,0,1,1,89,0,1,0,0,1,2,0,0,1,0,0,0,0,7,7,2,77.8
Lucas Moura,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,2,2,100.0,8,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,2,42,32,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Moussa Sissoko,0,0,0,0,0,0,0,0,85,0,0,0,0.0,0.0,0.0,0,0,75,81,92.6,6,67,1,1,0,75,81,92.6,1132,259,34,37,91.9,33,35,94.3,3,4,75.0,0,0.0,0.0,0,10,0,0,6,81,79,2,2,0,0,2,0,0,0,0,0,75,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,85,1,9,70,7,0,85,1,0,0.0,1,100.0,67,276,151,1,1,0,1,0,71,2,0,0,0,4,2,0,2,0,0,0,0,0,9,1,0,100.0
