player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,0,0,0,0,14,4,0,0,546,13,13,12,1.2,1.2,1.1,24,0,322,417,77.2,25,342,15,24,15,322,417,77.2,4882,1770,181,204,88.7,102,127,80.3,23,60,38.3,0,1.1,0.9,11,16,6,2,25,417,379,36,10,5,3,10,13,4,2,2,0,322,2,2,13,10,3,8,2,4,24,16.7,20,12,2,10,13,26,39,2,546,97,230,247,81,15,546,24,15,62.5,9,37.5,342,1728,924,15,12,4,13,11,318,25,0,0,0,4,8,2,10,13,10,0,0,0,55,9,15,37.5
Christian Eriksen,0,0,0,0,1,1,0,0,39,1,0,1,0.0,0.0,0.3,4,0,23,30,76.7,4,14,0,0,0,23,30,76.7,396,168,11,13,84.6,7,8,87.5,4,6,66.7,0,0.3,0.2,4,1,3,0,4,30,21,9,3,0,1,5,1,4,2,2,0,23,0,1,1,0,0,1,0,0,2,0.0,2,1,1,0,0,1,4,0,39,5,10,19,11,0,39,0,0,,0,,14,25,14,0,0,0,1,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0.0
Danny Rose,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,14,26,53.8,0,19,0,1,1,14,26,53.8,200,98,9,13,69.2,5,9,55.6,0,4,0.0,0,0.0,0.0,0,1,0,0,0,26,22,4,0,1,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,0,31,0,14,14,3,0,31,1,1,100.0,0,0.0,19,38,13,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Davinson Sánchez,0,0,0,0,0,0,0,0,54,1,3,2,0.0,0.0,0.0,0,0,35,38,92.1,3,35,0,1,1,35,38,92.1,578,198,22,22,100.0,11,12,91.7,2,4,50.0,0,0.0,0.0,0,2,0,0,3,38,38,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,1,0,0,1,4,25.0,3,2,0,2,3,4,8,0,54,13,36,19,0,0,54,1,1,100.0,0,0.0,35,112,52,0,0,0,1,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,
Dele Alli,0,0,0,0,1,0,0,0,53,2,1,0,0.1,0.1,0.0,3,0,31,40,77.5,2,34,1,6,2,31,40,77.5,412,94,19,21,90.5,8,10,80.0,1,3,33.3,0,0.0,0.0,1,1,0,0,2,40,37,3,2,0,1,0,1,0,0,0,0,31,0,1,2,2,0,2,0,1,1,100.0,0,0,0,0,1,3,1,1,53,4,13,29,12,4,53,6,2,33.3,4,66.7,34,148,76,1,1,0,0,3,34,3,0,0,0,0,1,0,0,1,2,0,0,0,4,0,0,
Giovani Lo Celso,0,0,0,0,1,0,0,0,16,0,0,2,0.6,0.6,0.0,0,0,8,12,66.7,1,9,2,1,1,8,12,66.7,99,11,6,7,85.7,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,1,12,11,1,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0,16,0,0,12,4,2,16,1,1,100.0,0,0.0,9,63,43,2,0,1,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harry Winks,0,0,0,0,0,0,0,0,62,3,2,1,0.0,0.0,0.0,0,0,48,55,87.3,4,43,1,0,0,48,55,87.3,728,234,25,27,92.6,18,22,81.8,2,3,66.7,0,0.0,0.0,0,1,0,0,4,55,54,1,1,0,0,2,0,0,0,0,0,48,0,0,3,3,0,2,1,1,3,33.3,2,1,0,1,2,5,1,0,62,1,13,40,9,0,62,0,0,,0,,43,264,100,1,2,0,3,0,43,1,0,0,0,0,0,0,2,2,3,0,0,0,5,0,0,
Japhet Tanganga,0,0,0,0,0,0,0,0,49,2,2,1,0.0,0.0,0.0,2,0,27,34,79.4,0,28,0,0,0,27,34,79.4,328,85,17,18,94.4,8,12,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,34,31,3,0,0,0,0,3,0,0,0,0,27,0,0,2,2,0,2,0,1,3,33.3,2,1,1,0,2,4,8,0,49,9,31,21,0,0,49,0,0,,0,,28,129,88,0,0,0,2,0,24,0,0,0,0,1,1,0,0,2,2,0,0,0,7,2,0,100.0
Lucas Moura,0,0,0,0,4,0,0,0,31,1,0,0,0.2,0.2,0.1,5,0,14,17,82.4,2,25,4,5,4,14,17,82.4,183,53,9,11,81.8,4,5,80.0,1,1,100.0,0,0.1,0.1,3,2,1,0,2,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,1,0,31,1,3,18,11,3,31,5,4,80.0,1,20.0,25,190,72,4,3,2,1,5,22,2,0,0,0,0,5,0,0,0,0,0,0,0,6,3,5,37.5
Paulo Gazzaniga,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,22,34,64.7,0,26,0,0,0,22,34,64.7,405,259,9,9,100.0,9,9,100.0,3,15,20.0,0,0.0,0.0,0,0,0,0,0,34,27,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,36,34,36,0,0,0,36,0,0,,0,,26,149,127,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
