,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,8,Kevin De Bruyne,Manchester City,0.05,,Off Target,10.0,Right Foot,,Riyad Mahrez,Pass (Live),Rodri,Pass (Live)
1,9,Sergio Agüero,Manchester City,0.07,,Off Target,13.0,Right Foot,,Kyle Walker,Pass (Live),Riyad Mahrez,Pass (Live)
2,9,Sergio Agüero,Manchester City,0.07,,Blocked,12.0,Right Foot,,Sergio Agüero,Shot,,
3,25,Kevin De Bruyne,Manchester City,0.03,0.01,Saved,30.0,Right Foot,,Riyad Mahrez,Pass (Live),Kevin De Bruyne,Pass (Live)
4,27,Sergio Agüero,Manchester City,0.07,0.28,Saved,13.0,Right Foot,Deflected,Riyad Mahrez,Interception,,
5,36,Riyad Mahrez,Manchester City,0.04,,Blocked,22.0,Left Foot,,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live)
6,36,Raheem Sterling,Manchester City,0.42,,Blocked,9.0,Right Foot,,İlkay Gündoğan,Pass (Live),Riyad Mahrez,Shot
7,40,İlkay Gündoğan (pen),Manchester City,0.79,0.99,Saved,13.0,Right Foot,,Sergio Agüero,Fouled,Kevin De Bruyne,Pass (Live)
8,45+2,Oleksandr Zinchenko,Manchester City,0.03,,Off Target,25.0,Right Foot,,İlkay Gündoğan,Pass (Live),Riyad Mahrez,Take-On
9,45+4,Sergio Agüero,Manchester City,0.17,,Blocked,5.0,Right Foot,,Raheem Sterling,Pass (Live),Riyad Mahrez,Pass (Live)
10,45+4,Sergio Agüero,Manchester City,0.6,,Off Target,3.0,Right Foot,,Sergio Agüero,Shot,,
11,,,,,,,,,,,,,
12,49,Sergio Agüero,Manchester City,0.07,,Blocked,24.0,Right Foot,,Kevin De Bruyne,Pass (Live),,
13,49,İlkay Gündoğan,Manchester City,0.17,,Off Target,10.0,Left Foot,,Raheem Sterling,Pass (Live),Sergio Agüero,Shot
14,54,Rodri,Manchester City,0.03,,Off Target,10.0,Head,,Kevin De Bruyne,Pass (Dead),Riyad Mahrez,Pass (Live)
15,63,Steven Bergwijn,Tottenham,0.04,0.24,Goal,16.0,Right Foot,Volley,Lucas Moura,Pass (Live),Steven Bergwijn,Pass (Live)
16,71,Son Heung-min,Tottenham,0.23,0.4,Goal,16.0,Right Foot,Deflected,Tanguy Ndombele,Pass (Live),Tanguy Ndombele,Take-On
17,77,Fernandinho,Manchester City,0.06,,Blocked,17.0,Right Foot,Volley,Kevin De Bruyne,Fouled,İlkay Gündoğan,Pass (Live)
18,89,Bernardo Silva,Manchester City,0.08,,Blocked,14.0,Left Foot,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
19,89,Kevin De Bruyne,Manchester City,0.03,0.68,Saved,22.0,Right Foot,,Bernardo Silva,Shot,,
20,90,Gabriel Jesus,Manchester City,0.05,0.02,Saved,7.0,Head,,Bernardo Silva,Pass (Live),Kyle Walker,Pass (Live)
21,90+2,Son Heung-min,Tottenham,0.04,0.03,Saved,19.0,Right Foot,,Giovani Lo Celso,Pass (Live),Giovani Lo Celso,Take-On
22,90+5,Kevin De Bruyne,Manchester City,0.05,,Blocked,14.0,Right Foot,,Kyle Walker,Pass (Live),Bernardo Silva,Pass (Live)
