player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,30,9,3,0,640,17,10,9,2.7,2.0,1.6,53,3,462,537,86.0,46,440,40,22,16,462,537,86.0,7175,2254,254,275,92.4,146,170,85.9,37,55,67.3,1,1.6,1.4,23,31,10,3,46,537,508,28,2,0,6,22,10,7,6,1,0,462,1,3,17,9,9,6,2,6,19,31.6,13,9,1,8,10,27,15,0,640,30,119,291,238,46,639,22,16,72.7,6,27.3,440,2451,1430,40,26,16,9,7,458,45,3,0,0,14,4,1,22,10,9,1,0,0,58,8,4,66.7
Abdoulaye Doucouré,0,0,0,0,5,1,0,0,94,3,1,2,0.6,0.6,0.1,12,1,78,83,94.0,12,69,4,2,2,78,83,94.0,1318,251,33,36,91.7,34,34,100.0,8,9,88.9,0,0.1,0.1,3,8,1,0,12,83,83,0,0,0,1,0,0,0,0,0,0,78,0,1,3,1,2,1,0,0,2,0.0,2,2,0,2,1,4,0,0,94,1,13,46,37,3,94,2,2,100.0,0,0.0,69,290,156,4,4,1,0,0,71,1,0,0,0,0,0,0,0,1,1,0,0,0,9,1,0,100.0
Andre Gray,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,7,9,77.8,0,7,0,0,0,7,9,77.8,66,11,3,4,75.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,0,0,8,4,2,12,0,0,,0,,7,11,2,0,0,0,1,2,10,3,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,50.0
Ben Foster,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,8,0,0,0,10,14,71.4,470,428,0,0,,1,1,100.0,9,13,69.2,0,0.0,0.0,0,0,0,0,0,14,8,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,13,15,0,0,0,15,0,0,,0,,8,43,39,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Christian Kabasele,0,0,0,0,1,0,0,0,32,1,2,1,0.1,0.1,0.0,0,0,17,21,81.0,0,19,0,0,0,17,21,81.0,377,141,5,5,100.0,9,12,75.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,21,21,0,0,0,1,0,0,0,0,0,0,17,0,0,1,1,1,0,0,0,1,0.0,1,1,0,1,2,3,4,0,32,5,17,12,3,3,32,0,0,,0,,19,94,34,0,0,0,1,0,18,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,100.0
Craig Dawson,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,0,0,27,33,81.8,2,17,0,0,0,27,33,81.8,459,144,11,13,84.6,14,15,93.3,1,2,50.0,0,0.0,0.0,0,2,0,0,2,33,33,0,0,0,0,0,0,0,0,0,0,27,0,2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,5,0,42,4,19,22,1,0,42,0,0,,0,,17,61,25,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
Daryl Janmaat,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,1,8,1,0,0,8,10,80.0,93,36,6,7,85.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,1,1,1,10,10,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,0,3,2,8,0,13,0,0,,0,,8,35,15,1,1,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Gerard Deulofeu,0,1,0,0,7,4,0,0,82,2,2,1,0.3,0.3,0.6,16,1,56,69,81.2,4,65,16,9,7,56,69,81.2,779,172,33,36,91.7,18,19,94.7,3,8,37.5,1,0.6,0.4,8,0,4,0,4,69,62,7,0,0,0,4,1,4,3,1,0,56,0,0,2,1,1,0,1,0,4,0.0,4,1,0,1,2,4,0,0,82,1,4,21,59,14,82,9,7,77.8,2,22.2,65,609,397,16,12,9,2,1,61,15,0,0,0,2,0,0,4,2,1,0,0,0,8,0,0,
Ismaila Sarr,0,0,0,0,2,0,0,0,17,0,0,0,0.1,0.1,0.4,2,0,10,13,76.9,0,17,3,0,0,10,13,76.9,106,10,7,7,100.0,1,3,33.3,0,0,,0,0.4,0.5,1,0,1,1,0,13,13,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,0,5,13,4,17,0,0,,0,,17,136,81,3,3,1,1,3,16,5,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,
José Holebas,0,0,0,0,2,1,1,0,61,2,0,1,0.1,0.1,0.1,2,0,44,52,84.6,8,37,0,3,1,44,52,84.6,780,371,20,24,83.3,20,22,90.9,4,6,66.7,0,0.1,0.1,1,5,1,0,8,52,43,9,0,0,0,4,6,3,3,0,0,44,0,0,2,0,1,1,0,0,2,0.0,2,1,0,1,0,2,1,0,61,0,13,31,18,1,61,3,1,33.3,2,66.7,37,133,86,0,1,0,0,0,38,1,1,0,0,1,0,0,4,0,0,0,0,0,3,2,0,100.0
