player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,3,0,1,1,10,4,3,0,391,6,12,10,2.2,1.4,0.7,17,4,177,283,62.5,8,162,9,11,8,177,283,62.5,3441,1632,71,93,76.3,75,94,79.8,23,77,29.9,0,0.7,0.2,5,14,1,1,8,283,236,45,15,1,2,16,15,5,5,0,0,177,2,3,6,4,2,3,1,1,7,14.3,6,10,7,3,12,18,33,1,391,71,143,161,89,15,390,11,8,72.7,3,27.3,162,1011,399,9,6,1,11,8,176,8,3,0,0,13,14,2,16,12,4,1,0,0,44,23,30,43.4
Ashley Barnes,1,0,1,1,3,0,0,0,22,1,1,1,0.9,0.1,0.0,3,1,5,9,55.6,0,8,0,0,0,5,9,55.6,45,3,2,3,66.7,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,22,0,2,9,11,2,21,0,0,,0,,8,11,1,0,0,0,4,0,13,0,0,0,0,2,2,1,0,1,0,1,0,0,0,2,6,25.0
Ashley Westwood,0,0,0,0,0,0,1,0,43,0,3,1,0.0,0.0,0.0,0,0,25,35,71.4,1,18,0,2,2,25,35,71.4,437,137,10,12,83.3,14,16,87.5,1,6,16.7,0,0.0,0.1,0,2,1,1,1,35,28,7,3,0,0,6,0,3,3,0,0,25,0,0,0,0,0,0,0,0,0,,0,1,1,0,3,3,2,0,43,4,7,27,9,0,43,2,2,100.0,0,0.0,18,73,16,0,0,0,0,1,18,0,1,0,0,0,1,0,6,3,0,0,0,0,8,2,0,100.0
Ben Mee,0,0,0,0,0,0,1,0,39,1,2,1,0.0,0.0,0.0,1,0,19,26,73.1,1,16,0,0,0,19,26,73.1,344,169,5,6,83.3,11,13,84.6,2,6,33.3,0,0.0,0.0,0,2,0,0,1,26,26,0,0,0,1,0,0,0,0,0,0,19,0,0,1,1,0,1,0,0,1,0.0,1,1,1,0,2,3,8,0,39,8,23,15,1,1,39,0,0,,0,,16,72,34,0,0,0,0,0,16,0,1,0,0,1,0,0,0,2,1,0,0,0,2,5,4,55.6
Charlie Taylor,0,0,0,0,0,0,0,0,57,3,0,0,0.0,0.0,0.0,0,0,28,46,60.9,4,25,4,4,3,28,46,60.9,449,211,15,18,83.3,11,15,73.3,2,10,20.0,0,0.0,0.0,0,4,0,0,4,46,37,9,1,0,0,4,8,0,0,0,0,28,0,3,3,2,1,1,1,0,0,,0,0,0,0,0,3,5,0,57,6,18,24,15,0,57,4,3,75.0,1,25.0,25,245,103,4,3,0,0,1,24,1,0,0,0,0,1,0,4,0,2,0,0,0,8,0,0,
Chris Wood,1,0,0,0,1,1,0,0,14,0,0,1,0.3,0.3,0.0,1,0,4,6,66.7,0,4,0,0,0,4,6,66.7,32,0,3,5,60.0,0,0,,0,0,,0,0.0,0.0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,2,0,14,3,3,4,7,2,14,0,0,,0,,4,47,0,0,0,0,1,2,9,2,0,0,0,1,1,1,0,0,0,0,0,0,1,5,5,50.0
Dwight McNeil,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.3,2,0,17,24,70.8,1,22,4,1,0,17,24,70.8,308,121,10,11,90.9,5,7,71.4,2,5,40.0,0,0.3,0.0,2,0,0,0,1,24,21,3,0,0,0,5,1,2,2,0,0,17,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,29,1,3,11,15,0,29,1,0,0.0,1,100.0,22,184,56,4,3,0,2,2,21,3,0,0,0,2,1,0,5,0,0,0,0,0,5,0,0,
Jack Cork,0,0,0,0,0,0,0,0,32,0,1,0,0.0,0.0,0.0,1,0,19,26,73.1,0,14,0,1,1,19,26,73.1,307,69,9,11,81.8,6,9,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,0,26,25,0,0,1,1,1,0,0,0,0,0,19,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,32,3,5,18,10,2,32,1,1,100.0,0,0.0,14,76,15,0,0,0,2,1,19,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,3,25.0
James Tarkowski,1,0,0,0,3,2,1,0,46,0,2,3,0.4,0.4,0.0,2,2,15,28,53.6,0,12,0,0,0,15,28,53.6,310,119,3,6,50.0,10,13,76.9,2,7,28.6,0,0.0,0.0,0,0,0,0,0,28,25,2,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,,0,3,3,0,2,2,7,1,46,9,24,15,7,6,46,0,0,,0,,12,50,9,0,0,0,1,0,13,1,1,0,0,4,1,0,0,2,0,0,0,0,4,7,3,70.0
Jay Rodriguez,0,0,0,0,1,0,0,0,8,0,1,0,0.3,0.3,0.0,2,1,3,4,75.0,0,3,0,1,0,3,4,75.0,31,12,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,8,0,1,5,3,0,8,1,0,0.0,1,100.0,3,26,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0
