,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Gerard Deulofeu,Watford,0.05,,Off Target,27.0,Right Foot,,Ismaila Sarr,Pass (Live),,
1,4,Son Heung-min,Tottenham,0.03,0.21,Saved,20.0,Right Foot,,Toby Alderweireld,Pass (Live),Harry Winks,Pass (Live)
2,7,Érik Lamela,Tottenham,0.03,,Off Target,26.0,Left Foot,,Serge Aurier,Tackle,,
3,11,Japhet Tanganga,Tottenham,0.03,0.05,Saved,24.0,Right Foot,,Son Heung-min,Pass (Live),Serge Aurier,Pass (Live)
4,18,Ismaila Sarr,Watford,0.05,,Off Target,17.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Abdoulaye Doucouré,Tackle
5,20,Nathaniel Chalobah,Watford,0.06,,Off Target,26.0,Right Foot,Free kick,Ismaila Sarr,Fouled,Nathaniel Chalobah,Pass (Live)
6,26,Lucas Moura,Tottenham,0.04,,Blocked,17.0,Right Foot,,Dele Alli,Pass (Live),Son Heung-min,Pass (Live)
7,30,Son Heung-min,Tottenham,0.03,0.18,Saved,21.0,Right Foot,Deflected,Son Heung-min,Pass (Live),,
8,31,Troy Deeney,Watford,0.07,,Blocked,12.0,Right Foot,Volley,Adam Masina,Pass (Live),Gerard Deulofeu,Pass (Live)
9,32,Troy Deeney,Watford,0.1,,Off Target,10.0,Right Foot,,Ismaila Sarr,Pass (Live),Abdoulaye Doucouré,Pass (Live)
10,32,Gerard Deulofeu,Watford,0.07,,Blocked,13.0,Left Foot,,Gerard Deulofeu,Take-On,Troy Deeney,Shot
11,38,Lucas Moura,Tottenham,0.42,0.31,Saved,13.0,Right Foot,,Dele Alli,Pass (Live),Dele Alli,Take-On
12,40,Son Heung-min,Tottenham,0.05,,Off Target,16.0,Left Foot,Volley,Harry Winks,Pass (Live),Jan Vertonghen,Pass (Live)
13,42,Troy Deeney,Watford,0.23,0.65,Saved,12.0,Head,,Nathaniel Chalobah,Pass (Live),Ismaila Sarr,Pass (Live)
14,,,,,,,,,,,,,
15,47,Abdoulaye Doucouré,Watford,0.56,,Off Target,5.0,Right Foot,,Abdoulaye Doucouré,Take-On,Ismaila Sarr,Pass (Live)
16,50,Ismaila Sarr,Watford,0.35,,Off Target,8.0,Right Foot,Volley,Troy Deeney,Pass (Live),,
17,53,Dele Alli,Tottenham,0.4,,Off Target,6.0,Head,,Son Heung-min,Pass (Live),Harry Winks,Pass (Live)
18,54,Troy Deeney,Watford,0.04,,Blocked,18.0,Right Foot,,Craig Cathcart,Pass (Live),Craig Dawson,Pass (Live)
19,57,Étienne Capoue,Watford,0.02,,Off Target,29.0,Right Foot,,Troy Deeney,Fouled,Craig Cathcart,Pass (Live)
20,61,Son Heung-min,Tottenham,0.07,,Off Target,15.0,Right Foot,,Lucas Moura,Pass (Live),Serge Aurier,Pass (Live)
21,64,Érik Lamela,Tottenham,0.07,,Blocked,17.0,Right Foot,,Lucas Moura,Pass (Live),Lucas Moura,Take-On
22,69,Gerard Deulofeu,Watford,0.09,,Blocked,17.0,Right Foot,,Nathaniel Chalobah,Pass (Live),Ismaila Sarr,Pass (Live)
23,70,Troy Deeney (pen),Watford,0.79,0.99,Saved,13.0,Right Foot,,,Fouled,Gerard Deulofeu,Shot
24,73,Christian Eriksen,Tottenham,0.03,,Blocked,30.0,Right Foot,,Son Heung-min,Pass (Live),Giovani Lo Celso,Pass (Live)
25,78,Ismaila Sarr,Watford,0.03,,Off Target,22.0,Right Foot,,Gerard Deulofeu,Pass (Live),Adam Masina,Pass (Live)
26,86,Érik Lamela,Tottenham,0.05,,Off Target,13.0,Left Foot,,Lucas Moura,Pass (Live),Christian Eriksen,Pass (Live)
27,87,Étienne Capoue,Watford,0.04,,Blocked,28.0,Left Foot,,Ismaila Sarr,Pass (Live),Étienne Capoue,Pass (Live)
28,89,Érik Lamela,Tottenham,0.03,,Off Target,24.0,Left Foot,,Gedson Fernandes,Pass (Live),Érik Lamela,Pass (Live)
29,90+1,Serge Aurier,Tottenham,0.04,,Blocked,20.0,Left Foot,,Érik Lamela,Pass (Live),Son Heung-min,Pass (Live)
30,90+1,Érik Lamela,Tottenham,0.22,,Blocked,6.0,Left Foot,,Serge Aurier,Pass (Live),Christian Eriksen,Pass (Live)
31,90+1,Érik Lamela,Tottenham,0.51,,Blocked,4.0,Left Foot,Deflected,Érik Lamela,Shot,,
