player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,11,4,2,0,512,27,17,11,0.6,0.6,0.4,16,2,307,406,75.6,43,304,24,14,7,307,406,75.6,5473,1929,141,174,81.0,117,141,83.0,42,71,59.2,1,0.4,0.6,6,40,6,1,43,406,368,37,6,0,3,19,20,4,2,2,0,307,1,7,27,16,11,13,3,14,26,53.8,12,11,3,8,17,44,10,0,512,34,100,210,205,25,512,14,7,50.0,7,50.0,304,1497,761,24,18,6,9,5,305,43,2,0,0,12,6,1,19,17,16,0,0,0,53,12,18,40.0
Aaron Cresswell,0,0,0,0,0,0,1,0,53,4,4,1,0.0,0.0,0.0,1,0,25,39,64.1,5,23,1,1,0,25,39,64.1,323,175,17,22,77.3,7,11,63.6,1,5,20.0,0,0.0,0.0,0,7,0,0,5,39,31,8,0,0,0,5,8,0,0,0,0,25,0,2,4,2,0,4,0,2,3,66.7,1,1,0,1,4,8,1,0,53,0,11,22,20,0,53,1,0,0.0,1,100.0,23,76,45,1,0,0,0,0,25,1,1,0,0,1,0,0,5,4,2,0,0,0,4,2,0,100.0
Angelo Ogbonna,1,0,0,0,1,1,0,0,29,0,2,0,0.2,0.2,0.0,0,0,18,21,85.7,0,18,0,0,0,18,21,85.7,387,195,5,5,100.0,10,11,90.9,3,5,60.0,0,0.0,0.0,0,3,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,2,0,29,6,15,13,2,2,29,0,0,,0,,18,104,20,0,0,0,0,0,18,0,0,0,0,2,1,0,0,2,0,0,0,0,2,1,1,50.0
Arthur Masuaku,0,0,0,0,0,0,0,0,38,2,1,0,0.0,0.0,0.1,1,0,27,32,84.4,5,26,1,0,0,27,32,84.4,506,157,10,12,83.3,14,17,82.4,3,3,100.0,0,0.1,0.0,1,4,1,1,5,32,30,2,0,0,0,3,2,0,0,0,0,27,0,0,2,1,1,1,0,1,2,50.0,1,0,0,0,1,3,1,0,38,3,8,19,11,0,38,0,0,,0,,26,121,83,1,2,0,0,0,26,2,0,0,0,0,0,0,3,1,1,0,0,0,5,0,1,0.0
David Martin,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,13,38.5,0,6,0,0,0,5,13,38.5,247,243,0,0,,1,1,100.0,4,12,33.3,0,0.0,0.0,0,0,0,0,0,13,8,5,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,11,13,0,0,0,13,0,0,,0,,6,40,34,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Declan Rice,0,0,0,0,1,1,0,0,57,5,3,2,0.0,0.0,0.0,1,1,43,47,91.5,5,39,1,0,0,43,47,91.5,798,243,22,22,100.0,14,15,93.3,7,9,77.8,0,0.0,0.1,0,8,0,0,5,47,47,0,0,0,2,0,0,0,0,0,0,43,0,0,5,4,2,2,1,1,3,33.3,2,2,0,2,3,8,0,0,57,2,12,36,10,3,57,0,0,,0,,39,122,30,1,1,0,1,1,32,1,0,0,0,0,0,0,0,3,4,0,0,0,8,0,1,0.0
Fabián Balbuena,0,0,0,0,0,0,0,0,33,2,2,2,0.0,0.0,0.0,0,0,16,24,66.7,2,14,0,0,0,16,24,66.7,401,152,1,2,50.0,10,12,83.3,4,7,57.1,0,0.0,0.0,0,4,0,0,2,24,24,0,0,0,0,1,0,0,0,0,0,16,0,0,2,1,2,0,0,2,2,100.0,0,2,2,0,2,4,2,0,33,6,13,18,2,1,33,0,0,,0,,14,52,32,0,0,0,0,0,16,0,0,0,0,0,0,0,1,2,1,0,0,0,3,3,1,75.0
Felipe Anderson,0,0,0,0,1,0,0,0,44,0,0,0,0.0,0.0,0.1,2,0,28,33,84.8,4,31,5,4,2,28,33,84.8,454,122,15,19,78.9,8,9,88.9,4,4,100.0,0,0.1,0.0,1,1,1,0,4,33,33,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,44,1,4,9,31,4,44,4,2,50.0,2,50.0,31,238,161,5,3,0,3,0,33,6,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,
Mark Noble,0,0,0,0,2,0,0,0,55,1,3,0,0.1,0.1,0.0,5,0,38,50,76.0,9,33,0,0,0,38,50,76.0,779,223,10,14,71.4,20,24,83.3,8,10,80.0,0,0.0,0.0,1,5,2,0,9,50,48,2,2,0,0,0,0,0,0,0,0,38,0,1,1,1,0,1,0,0,0,,0,0,0,0,3,4,0,0,55,0,5,33,17,0,55,0,0,,0,,33,146,56,0,2,0,2,1,33,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,
Michail Antonio,0,0,0,0,2,1,0,0,30,2,0,1,0.1,0.1,0.0,0,0,14,19,73.7,0,14,5,3,2,14,19,73.7,179,0,9,13,69.2,5,6,83.3,0,0,,0,0.0,0.0,0,0,0,0,0,19,17,2,0,0,0,0,0,0,0,0,0,14,0,0,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,1,0,30,2,2,12,16,5,30,3,2,66.7,1,33.3,14,77,47,5,1,2,1,0,17,4,0,0,0,3,2,0,0,0,1,0,0,0,5,4,10,28.6
