player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,3,2,2,0,770,20,6,8,0.6,0.6,0.6,6,0,561,658,85.3,45,586,14,20,13,561,658,85.3,9354,2993,274,295,92.9,242,273,88.6,36,62,58.1,0,0.6,0.7,3,36,7,0,45,658,617,38,4,2,3,15,19,2,1,1,0,561,3,11,20,10,8,10,2,13,23,56.5,10,8,2,6,6,26,25,0,770,83,289,355,131,12,770,20,13,65.0,7,35.0,586,2710,1310,14,14,2,26,16,560,45,2,0,0,12,3,3,15,6,10,0,1,0,58,22,18,55.0
Aaron Ramsdale,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,31,35,88.6,0,27,0,0,0,31,35,88.6,686,429,8,8,100.0,19,19,100.0,4,8,50.0,0,0.0,0.0,0,0,0,0,0,35,27,8,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38,38,38,0,0,0,38,0,0,,0,,27,95,68,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Callum Wilson,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.1,2,0,18,22,81.8,4,18,1,1,0,18,22,81.8,225,40,12,14,85.7,5,5,100.0,0,0,,0,0.1,0.0,2,0,2,0,4,22,17,5,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,32,1,4,14,15,4,32,1,0,0.0,1,100.0,18,71,39,1,2,0,6,0,19,6,0,0,0,0,0,2,0,0,0,0,0,0,4,3,1,75.0
Chris Mepham,0,0,0,0,0,0,0,0,107,4,2,3,0.0,0.0,0.0,0,0,82,93,88.2,5,79,1,0,0,82,93,88.2,1439,516,35,36,97.2,42,47,89.4,5,8,62.5,0,0.0,0.0,0,0,0,0,5,93,92,1,1,0,1,0,0,0,0,0,0,82,0,0,4,1,0,4,0,2,2,100.0,0,3,2,1,2,6,3,0,107,12,51,56,0,0,107,0,0,,0,,79,417,249,1,0,0,2,1,72,0,0,0,0,2,0,0,0,2,1,0,0,0,8,6,4,60.0
Dan Gosling,0,0,0,0,0,0,0,0,55,1,1,1,0.0,0.0,0.0,0,0,38,43,88.4,2,47,0,0,0,38,43,88.4,546,82,26,27,96.3,11,12,91.7,1,1,100.0,0,0.0,0.0,0,5,0,0,2,43,43,0,0,0,0,0,0,0,0,0,0,38,0,1,1,0,0,1,0,1,3,33.3,2,1,0,1,1,2,2,0,55,2,12,32,11,2,55,0,0,,0,,47,152,60,0,1,0,6,1,44,5,0,0,0,0,2,0,0,1,0,0,0,0,3,3,3,50.0
Diego Rico,0,0,0,0,1,1,1,0,46,1,1,2,0.0,0.0,0.0,0,0,26,40,65.0,5,32,1,0,0,26,40,65.0,457,239,11,13,84.6,13,17,76.5,1,8,12.5,0,0.0,0.0,0,3,1,0,5,40,32,8,0,0,0,4,6,2,1,1,0,26,0,1,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,0,0,46,0,11,20,15,1,46,0,0,,0,,32,126,59,1,0,0,1,0,29,3,1,0,0,1,0,0,4,1,1,0,0,0,2,0,0,
Dominic Solanke,0,0,0,0,1,0,0,0,34,2,0,0,0.5,0.5,0.0,2,0,22,25,88.0,2,34,1,6,3,22,25,88.0,268,90,13,14,92.9,7,9,77.8,0,0,,0,0.0,0.0,0,3,1,0,2,25,25,0,0,0,0,1,0,0,0,0,0,22,0,0,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,1,0,34,1,4,18,13,1,34,6,3,50.0,3,50.0,34,196,62,1,3,0,2,9,34,9,0,0,0,0,0,1,1,0,1,0,0,0,2,1,3,25.0
Harry Wilson,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,11,14,78.6,3,12,1,2,2,11,14,78.6,246,34,4,5,80.0,4,5,80.0,3,3,100.0,0,0.0,0.0,0,1,0,0,3,14,14,0,0,0,1,1,0,0,0,0,0,11,0,2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,17,0,2,10,5,1,17,2,2,100.0,0,0.0,12,76,18,1,0,1,1,0,13,3,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,
Jack Simpson,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,0,7,0,0,0,12,15,80.0,133,34,10,11,90.9,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,0,15,13,2,0,0,0,0,2,0,0,0,0,12,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,0,8,6,1,0,15,0,0,,0,,7,28,2,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
Jefferson Lerma,0,0,0,0,0,0,0,0,87,3,0,0,0.0,0.0,0.0,0,0,66,76,86.8,5,60,0,1,1,66,76,86.8,1194,240,28,31,90.3,28,33,84.8,9,10,90.0,0,0.0,0.0,0,5,0,0,5,76,73,3,2,0,1,0,1,0,0,0,0,66,0,1,3,2,1,1,1,2,2,100.0,0,0,0,0,0,3,5,0,87,5,28,47,12,0,87,1,1,100.0,0,0.0,60,205,89,0,0,0,2,2,59,0,0,0,0,2,0,0,0,0,2,0,0,0,9,1,1,50.0
