player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,2,1,0,0,19,6,1,0,767,19,12,7,1.9,1.9,1.5,35,2,545,662,82.3,62,453,18,16,7,545,662,82.3,10002,3490,210,241,87.1,255,284,89.8,63,102,61.8,1,1.5,1.0,12,47,14,5,62,662,615,46,8,1,3,24,20,6,3,2,0,545,1,4,19,8,9,9,1,10,22,45.5,12,7,3,4,12,31,12,0,767,64,206,405,166,25,767,16,7,43.8,9,56.3,453,2594,1263,18,14,3,11,14,542,62,1,0,0,9,6,1,24,12,8,0,0,0,50,28,28,50.0
Aaron Mooy,0,0,0,0,3,0,0,0,43,1,1,2,0.4,0.4,0.0,2,0,23,26,88.5,2,33,1,2,0,23,26,88.5,351,93,9,12,75.0,8,8,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,2,26,26,0,0,0,0,0,0,0,0,0,0,23,0,0,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,1,0,43,1,5,23,15,3,43,2,0,0.0,2,100.0,33,178,52,1,2,1,1,2,33,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0.0
Adam Webster,0,0,0,0,0,0,0,0,85,0,1,0,0.0,0.0,0.0,1,0,67,79,84.8,1,53,0,1,0,67,79,84.8,1297,530,21,24,87.5,42,48,87.5,3,6,50.0,0,0.0,0.0,0,3,0,0,1,79,77,2,2,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0,85,5,47,37,1,0,85,1,0,0.0,1,100.0,53,263,136,0,1,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,4,60.0
Bernardo,0,0,0,0,3,1,0,0,72,6,0,1,0.3,0.3,0.0,1,0,50,59,84.7,11,41,6,3,1,50,59,84.7,830,299,20,22,90.9,22,23,95.7,6,9,66.7,0,0.0,0.0,0,6,1,0,11,59,52,7,0,0,0,1,7,0,0,0,0,50,0,1,6,4,4,2,0,3,4,75.0,1,1,1,0,0,6,0,0,72,1,19,43,11,2,72,3,1,33.3,2,66.7,41,283,158,6,3,0,0,4,44,6,0,0,0,0,1,0,1,0,4,0,0,0,4,2,1,66.7
Dale Stephens,0,0,0,0,1,0,1,0,81,2,4,2,0.0,0.0,0.2,2,0,63,69,91.3,7,46,1,1,1,63,69,91.3,1258,314,18,18,100.0,33,35,94.3,9,12,75.0,0,0.2,0.0,1,7,1,0,7,69,68,1,1,0,0,0,0,0,0,0,0,63,0,0,2,0,0,2,0,1,3,33.3,2,2,1,1,4,6,1,0,81,2,8,69,5,0,81,1,1,100.0,0,0.0,46,255,123,1,1,0,0,0,61,0,1,0,0,3,0,0,0,4,0,0,0,0,5,3,3,50.0
Davy Pröpper,0,1,0,0,1,0,0,0,90,2,1,0,0.1,0.1,0.4,5,1,75,86,87.2,15,55,3,0,0,75,86,87.2,1388,589,32,36,88.9,33,34,97.1,10,14,71.4,1,0.4,0.3,2,14,1,1,15,86,86,0,0,1,0,3,0,0,0,0,0,75,0,0,2,0,1,1,0,0,0,,0,0,0,0,1,3,0,0,90,2,14,67,13,2,90,0,0,,0,,55,473,253,3,2,0,0,0,65,1,0,0,0,0,0,0,3,1,0,0,0,0,12,1,3,25.0
Ezequiel Schelotto,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,13,22,59.1,1,16,0,1,0,13,22,59.1,220,82,6,10,60.0,6,7,85.7,1,4,25.0,0,0.0,0.0,0,1,0,0,1,22,16,6,0,0,0,2,6,0,0,0,0,13,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,29,2,5,10,14,0,29,1,0,0.0,1,100.0,16,54,31,0,0,0,1,0,16,9,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,100.0
Glenn Murray,1,0,0,0,2,1,0,0,34,1,1,0,0.4,0.4,0.0,0,0,16,25,64.0,1,17,0,0,0,16,25,64.0,173,8,10,13,76.9,3,5,60.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,25,25,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,2,0,34,2,2,16,16,4,34,0,0,,0,,17,45,8,0,1,0,3,1,25,6,0,0,0,2,2,1,0,1,1,0,0,0,0,7,11,38.9
Leandro Trossard,0,0,0,0,2,1,0,0,59,0,2,0,0.4,0.4,0.2,6,0,34,47,72.3,7,44,4,4,1,34,47,72.3,628,120,17,24,70.8,11,13,84.6,6,7,85.7,0,0.2,0.2,3,4,1,0,7,47,46,1,0,0,1,2,0,0,0,0,0,34,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,59,1,2,29,30,7,59,4,1,25.0,3,75.0,44,309,133,4,2,1,3,4,45,16,0,0,0,1,0,0,2,2,0,0,0,0,7,0,1,0.0
Lewis Dunk,0,0,0,0,1,0,0,0,84,0,0,0,0.1,0.1,0.0,0,0,77,81,95.1,3,51,0,1,1,77,81,95.1,1570,547,24,25,96.0,41,42,97.6,11,13,84.6,0,0.0,0.0,0,4,0,0,3,81,79,2,1,0,2,0,1,0,0,0,0,77,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,84,7,39,44,1,0,84,1,1,100.0,0,0.0,51,238,131,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,100.0
Martín Montoya,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.3,4,0,33,41,80.5,1,22,0,0,0,33,41,80.5,511,197,17,18,94.4,12,17,70.6,3,4,75.0,0,0.3,0.1,2,0,3,2,1,41,35,6,0,0,0,4,6,0,0,0,0,33,0,0,2,0,1,1,0,1,3,33.3,2,1,1,0,1,3,2,0,49,4,14,20,15,1,49,0,0,,0,,22,91,33,0,1,0,2,0,31,7,0,0,0,2,1,0,4,1,0,0,0,0,0,1,2,33.3
Mathew Ryan,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,30,43,69.8,0,25,0,0,0,30,43,69.8,732,463,5,5,100.0,18,18,100.0,6,18,33.3,0,0.0,0.0,0,0,0,0,0,43,32,10,2,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,44,37,44,0,0,0,44,0,0,,0,,25,120,69,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Pascal Groß,1,0,0,0,2,1,0,0,71,3,0,1,0.2,0.2,0.4,9,0,51,64,79.7,10,34,0,1,1,51,64,79.7,863,216,23,24,95.8,22,26,84.6,4,11,36.4,0,0.4,0.4,4,5,6,2,10,64,53,11,2,0,0,9,0,6,3,2,0,51,0,0,3,0,1,1,1,2,3,66.7,1,1,0,1,0,3,0,0,71,0,5,37,29,2,71,1,1,100.0,0,0.0,34,166,69,0,0,0,1,1,54,10,0,0,0,1,0,0,9,0,0,0,0,0,1,1,1,50.0
Solly March,0,0,0,0,4,2,0,0,26,1,1,0,0.2,0.2,0.0,4,1,13,20,65.0,3,16,3,2,2,13,20,65.0,181,32,8,10,80.0,4,8,50.0,1,1,100.0,0,0.0,0.0,0,1,1,0,3,20,20,0,0,0,0,3,0,0,0,0,0,13,0,1,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,26,0,2,10,16,4,26,2,2,100.0,0,0.0,16,119,67,3,1,1,0,2,20,3,0,0,0,0,2,0,3,1,1,0,0,0,1,1,0,100.0
