,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Aaron Mooy,Brighton,0.27,,Off Target,9.0,Head,,Martín Montoya,Pass (Live),Pascal Groß,Pass (Live)
1,7,Tomáš Souček,West Ham,0.08,0.04,Saved,12.0,Head,,Mark Noble,Pass (Dead),Tomáš Souček,Fouled
2,8,Dale Stephens,Brighton,0.03,,Off Target,28.0,Left Foot,Volley,Pascal Groß,Pass (Live),Martín Montoya,Pass (Live)
3,14,Michail Antonio,West Ham,0.06,,Off Target,9.0,Head,,Robert Snodgrass,Pass (Dead),Michail Antonio,Fouled
4,20,Tomáš Souček,West Ham,0.08,,Blocked,13.0,Left Foot,Volley,Aaron Cresswell,Pass (Live),Mark Noble,Pass (Live)
5,24,Leandro Trossard,Brighton,0.3,0.11,Saved,14.0,Left Foot,,Davy Pröpper,Pass (Live),Adam Webster,Pass (Live)
6,28,Glenn Murray,Brighton,0.26,,Off Target,9.0,Head,,Pascal Groß,Pass (Live),Aaron Mooy,Pass (Live)
7,30,Issa Diop,West Ham,0.18,0.08,Goal,9.0,Right Foot,,Robert Snodgrass,Pass (Dead),Michail Antonio,Fouled
8,36,Robert Snodgrass,West Ham,0.03,,Off Target,27.0,Left Foot,,Angelo Ogbonna,Pass (Live),Mark Noble,Pass (Live)
9,39,Michail Antonio,West Ham,0.07,,Blocked,12.0,Right Foot,Volley,Ryan Fredericks,Pass (Live),Sébastien Haller,Pass (Live)
10,40,Bernardo,Brighton,0.03,,Blocked,25.0,Left Foot,Volley,Martín Montoya,Pass (Live),Davy Pröpper,Pass (Live)
11,40,Michail Antonio,West Ham,0.03,0.03,Saved,26.0,Right Foot,,Sébastien Haller,Pass (Live),Declan Rice,Pass (Live)
12,41,Pascal Groß,Brighton,0.07,,Off Target,21.0,Left Foot,,Pascal Groß,Take-On,Leandro Trossard,Pass (Live)
13,45,Robert Snodgrass,West Ham,0.06,0.07,Goal,14.0,Left Foot,"Deflected, Volley",Robert Snodgrass,Pass (Live),Tomáš Souček,Pass (Live)
14,,,,,,,,,,,,,
15,51,Aaron Mooy,Brighton,0.06,,Blocked,19.0,Left Foot,,Martín Montoya,Pass (Live),Pascal Groß,Pass (Live)
16,55,Aaron Mooy,Brighton,0.03,,Blocked,30.0,Left Foot,,Pascal Groß,Pass (Live),Davy Pröpper,Pass (Live)
17,55,Bernardo,Brighton,0.03,,Off Target,15.0,Left Foot,Volley,Pascal Groß,Pass (Dead),Aaron Mooy,Shot
18,56,Michail Antonio,West Ham,0.08,,Blocked,14.0,Right Foot,,Michail Antonio,Take-On,Michail Antonio,Take-On
19,57,Robert Snodgrass,West Ham,0.02,0.05,Goal,27.0,Left Foot,"Deflected, Volley",Michail Antonio,Shot,,
20,59,Michail Antonio,West Ham,0.04,,Off Target,30.0,Right Foot,,Michail Antonio,Take-On,,
21,70,Michail Antonio,West Ham,0.1,0.09,Saved,13.0,Right Foot,,Declan Rice,Pass (Live),Sébastien Haller,Pass (Live)
22,73,Solly March,Brighton,0.03,0.12,Saved,17.0,Right Foot,,Dale Stephens,Pass (Live),Bernardo,Pass (Live)
23,73,Davy Pröpper,Brighton,0.06,,Off Target,12.0,Left Foot,,Solly March,Shot,,
24,75,Pascal Groß,Brighton,0.09,0.61,Goal,11.0,Right Foot,,,,,
25,79,Glenn Murray,Brighton,0.12,0.04,Goal,6.0,Right Foot,,Davy Pröpper,Pass (Live),Solly March,Pass (Live)
26,82,Bernardo,Brighton,0.24,0.13,Saved,12.0,Left Foot,,Dale Stephens,Pass (Live),Leandro Trossard,Pass (Live)
27,83,Lewis Dunk,Brighton,0.06,,Off Target,30.0,Right Foot,Free kick,Solly March,Fouled,Leandro Trossard,Pass (Live)
28,85,Leandro Trossard,Brighton,0.07,,Off Target,10.0,Left Foot,,Pascal Groß,Pass (Live),Ezequiel Schelotto,Pass (Live)
29,90+1,Solly March,Brighton,0.06,0.55,Saved,31.0,Left Foot,Free kick,Solly March,Fouled,Leandro Trossard,Pass (Live)
30,90+4,Solly March,Brighton,0.03,,Off Target,27.0,Left Foot,,Leandro Trossard,Pass (Live),Davy Pröpper,Pass (Live)
31,90+6,Solly March,Brighton,0.07,,Off Target,10.0,Head,,Leandro Trossard,Pass (Live),Pascal Groß,Pass (Live)
