,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,6,Robert Snodgrass,West Ham,0.04,0.02,Saved,20.0,Left Foot,Deflected,,,,
1,19,Sébastien Haller,West Ham,0.06,,Off Target,11.0,Head,,Mark Noble,Pass (Live),Manuel Lanzini,Pass (Live)
2,25,Sébastien Haller,West Ham,0.22,0.39,Saved,10.0,Right Foot,,Mark Noble,Pass (Live),Mark Noble,Take-On
3,29,Dominic Calvert-Lewin,Everton,0.27,,Off Target,12.0,Other,,Lucas Digne,Pass (Live),,
4,32,Theo Walcott,Everton,0.26,0.08,Saved,7.0,Right Foot,,Lucas Digne,Pass (Live),Fabian Delph,Pass (Live)
5,33,Sébastien Haller,West Ham,0.33,,Off Target,8.0,Head,,Aaron Cresswell,Pass (Live),Declan Rice,Pass (Live)
6,35,Mark Noble,West Ham,0.03,,Off Target,26.0,Right Foot,,Aaron Cresswell,Pass (Live),Mark Noble,Pass (Live)
7,40,Issa Diop,West Ham,0.08,0.3,Goal,11.0,Head,,Robert Snodgrass,Pass (Dead),Manuel Lanzini,Fouled
8,44,Dominic Calvert-Lewin,Everton,0.18,0.5,Goal,5.0,Head,,Mason Holgate,Pass (Live),Lucas Digne,Pass (Dead)
9,45+1,Pablo Fornals,West Ham,0.26,0.56,Saved,9.0,Head,,Pablo Zabaleta,Pass (Live),Robert Snodgrass,Pass (Live)
10,,,,,,,,,,,,,
11,49,Anthony Gordon,Everton,0.07,,Off Target,13.0,Left Foot,,Lucas Digne,Pass (Live),Fabian Delph,Pass (Live)
12,50,Dominic Calvert-Lewin,Everton,0.57,,Blocked,4.0,Right Foot,Volley,Theo Walcott,Pass (Live),Fabian Delph,Pass (Live)
13,51,Tom Davies,Everton,0.09,,Off Target,8.0,Head,,Lucas Digne,Pass (Dead),Dominic Calvert-Lewin,Shot
14,55,Robert Snodgrass,West Ham,0.05,,Off Target,10.0,Head,,Aaron Cresswell,Pass (Live),Pablo Fornals,Pass (Live)
15,56,Sébastien Haller,West Ham,0.05,,Blocked,14.0,Right Foot,Volley,Aaron Cresswell,Pass (Live),Manuel Lanzini,Pass (Live)
16,59,Yerry Mina,Everton,0.18,,Off Target,6.0,Head,,Dominic Calvert-Lewin,Pass (Live),Fabian Delph,Pass (Live)
17,60,Sébastien Haller,West Ham,0.05,0.06,Saved,15.0,Head,,Aaron Cresswell,Pass (Live),Declan Rice,Pass (Live)
18,65,Yerry Mina,Everton,0.07,0.55,Saved,9.0,Head,,Lucas Digne,Pass (Dead),,
19,69,Robert Snodgrass,West Ham,0.04,,Blocked,19.0,Left Foot,,Pablo Zabaleta,Pass (Live),Mark Noble,Pass (Live)
20,83,Dominic Calvert-Lewin,Everton,0.02,,Off Target,29.0,Right Foot,Volley,,,,
21,87,Albian Ajeti,West Ham,0.07,,Blocked,16.0,Right Foot,,Sébastien Haller,Pass (Live),Issa Diop,Pass (Dead)
22,90+1,Anthony Gordon,Everton,0.03,,Blocked,25.0,Right Foot,,Séamus Coleman,Pass (Live),Tom Davies,Pass (Live)
23,90+4,Tom Davies,Everton,0.04,,Blocked,22.0,Right Foot,,Anthony Gordon,Fouled,Lucas Digne,Pass (Live)
