player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,12,4,0,0,975,17,8,9,2.8,2.0,1.4,24,4,762,873,87.3,56,735,14,17,10,762,873,87.3,13109,3582,318,347,91.6,366,392,93.4,54,92,58.7,1,1.4,1.3,9,52,9,2,56,873,836,37,5,1,4,20,18,7,1,4,0,762,0,9,17,9,5,6,6,9,21,42.9,12,9,0,9,8,25,14,2,975,48,176,602,202,28,974,17,10,58.8,7,41.2,735,2734,1436,14,16,4,14,10,760,56,0,0,0,6,6,0,20,8,9,1,0,0,51,13,16,44.8
Alex Oxlade-Chamberlain,1,0,0,0,2,1,0,0,69,0,2,2,0.7,0.7,0.1,3,1,46,59,78.0,8,47,3,3,3,46,59,78.0,764,160,22,25,88.0,17,19,89.5,5,10,50.0,0,0.1,0.0,1,11,2,0,8,59,58,1,0,0,0,1,0,0,0,0,0,46,0,2,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,0,0,69,1,4,51,15,1,69,3,3,100.0,0,0.0,47,217,130,3,3,1,2,2,51,8,0,0,0,0,0,0,1,2,0,0,0,0,6,1,0,100.0
Alisson,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,18,0,0,0,24,29,82.8,492,325,10,10,100.0,10,10,100.0,4,9,44.4,0,0.0,0.0,0,0,0,0,0,29,21,8,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,26,33,0,0,0,33,0,0,,0,,18,89,61,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Andrew Robertson,0,0,0,0,1,0,0,0,77,2,0,0,0.4,0.4,0.0,1,0,60,72,83.3,4,56,3,1,1,60,72,83.3,882,181,34,37,91.9,22,26,84.6,2,6,33.3,0,0.0,0.0,0,3,0,0,4,72,66,6,1,0,0,5,5,0,0,0,0,60,0,0,2,2,1,1,0,1,3,33.3,2,0,0,0,0,2,1,0,77,1,11,37,30,3,77,1,1,100.0,0,0.0,56,215,115,3,2,1,0,1,56,9,0,0,0,0,0,0,5,0,2,0,0,0,6,1,1,50.0
Curtis Jones,0,0,0,0,0,0,0,0,10,2,1,1,0.0,0.0,0.0,0,0,6,7,85.7,1,6,0,0,0,6,7,85.7,69,16,3,3,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,2,2,2,100.0,0,1,0,1,1,3,0,0,10,0,0,5,5,0,10,0,0,,0,,6,10,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0.0
Divock Origi,0,0,0,0,1,1,0,0,26,1,0,0,0.1,0.1,0.0,2,1,11,16,68.8,2,19,2,2,0,11,16,68.8,156,12,7,9,77.8,1,3,33.3,1,1,100.0,0,0.0,0.0,0,0,0,0,2,16,16,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,26,1,1,9,17,2,26,2,0,0.0,2,100.0,19,126,41,2,3,1,1,0,20,5,0,0,0,0,2,0,0,0,0,1,0,0,1,1,6,14.3
Fabinho,0,0,0,0,0,0,0,0,38,2,0,1,0.0,0.0,0.0,0,0,30,33,90.9,1,29,0,0,0,30,33,90.9,540,126,8,10,80.0,21,21,100.0,1,1,100.0,0,0.0,0.0,0,3,0,0,1,33,33,0,0,0,0,0,0,0,0,0,0,30,0,1,2,0,1,1,0,2,3,66.7,1,1,0,1,0,2,1,1,38,0,8,28,2,0,38,0,0,,0,,29,89,45,0,1,0,1,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
Georginio Wijnaldum,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.1,2,0,64,67,95.5,4,62,1,3,2,64,67,95.5,927,197,35,37,94.6,25,25,100.0,1,1,100.0,0,0.1,0.1,1,6,1,0,4,67,67,0,0,0,0,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,75,2,10,51,15,5,75,3,2,66.7,1,33.3,62,245,119,1,1,0,1,1,64,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
Joe Gomez,0,0,0,0,0,0,0,0,120,0,1,1,0.0,0.0,0.0,0,0,104,117,88.9,6,99,0,1,1,104,117,88.9,2011,542,27,31,87.1,72,76,94.7,4,8,50.0,0,0.0,0.0,0,2,0,0,6,117,117,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,120,6,33,86,1,0,120,1,1,100.0,0,0.0,99,343,216,0,0,0,0,0,99,0,0,0,0,0,1,0,0,1,0,0,0,0,5,4,0,100.0
Jordan Henderson,0,0,0,0,1,0,0,0,153,3,2,1,0.0,0.0,0.1,3,0,132,141,93.6,11,131,1,2,2,132,141,93.6,2442,598,47,48,97.9,68,70,97.1,14,19,73.7,0,0.1,0.1,2,8,2,0,11,141,140,1,0,0,1,1,1,0,0,0,0,132,0,0,3,0,1,2,0,2,4,50.0,2,1,0,1,2,5,2,0,153,2,16,121,17,2,153,2,2,100.0,0,0.0,131,449,247,1,1,0,2,0,132,2,0,0,0,1,0,0,1,2,0,0,0,0,8,0,0,
