player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,7,4,2,0,484,17,9,12,0.7,0.7,0.6,11,0,271,379,71.5,19,232,11,21,12,271,379,71.5,4823,2165,132,158,83.5,98,116,84.5,34,79,43.0,0,0.6,0.5,5,10,2,1,19,379,340,38,6,2,4,19,22,3,2,1,0,271,1,11,17,9,10,7,0,7,17,41.2,10,12,3,9,9,26,19,0,484,65,211,208,74,10,484,21,12,57.1,9,42.9,232,1389,692,11,10,3,15,8,268,19,2,0,0,6,6,1,19,9,9,0,1,0,52,16,13,55.2
Aaron Cresswell,0,0,0,0,0,0,0,0,52,1,2,1,0.0,0.0,0.0,1,0,31,46,67.4,1,18,2,0,0,31,46,67.4,507,374,14,16,87.5,14,19,73.7,2,9,22.2,0,0.0,0.0,0,1,1,1,1,46,38,8,1,0,0,1,7,0,0,0,0,31,0,0,1,1,1,0,0,0,0,,0,1,0,1,2,3,2,0,52,3,30,19,3,0,52,0,0,,0,,18,82,44,2,1,0,0,1,23,2,0,0,0,0,0,0,1,2,1,0,0,0,3,4,0,100.0
Angelo Ogbonna,0,0,0,0,1,0,0,0,43,1,1,2,0.4,0.4,0.0,0,0,21,28,75.0,0,15,0,0,0,21,28,75.0,389,194,10,10,100.0,8,10,80.0,3,7,42.9,0,0.0,0.0,0,1,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,21,0,1,1,0,0,1,0,0,1,0.0,1,2,1,1,1,2,5,0,43,13,34,8,1,1,43,0,0,,0,,15,118,41,0,0,0,3,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
Arthur Masuaku,0,0,0,0,0,0,0,0,69,5,0,2,0.0,0.0,0.0,0,0,34,51,66.7,4,41,4,9,5,34,51,66.7,508,206,19,27,70.4,13,13,100.0,1,6,16.7,0,0.0,0.0,0,2,0,0,4,51,45,5,1,1,0,4,4,0,0,0,0,34,1,2,5,2,4,1,0,3,4,75.0,1,2,0,2,0,5,2,0,69,4,31,27,13,2,69,9,5,55.6,4,44.4,41,256,147,4,2,1,3,2,39,1,0,0,0,0,1,0,4,0,2,0,0,0,6,1,0,100.0
Declan Rice,0,0,0,0,2,2,0,0,51,3,3,3,0.1,0.1,0.1,3,0,29,37,78.4,2,23,1,3,2,29,37,78.4,582,89,13,15,86.7,13,15,86.7,3,5,60.0,0,0.1,0.0,1,0,0,0,2,37,36,1,1,0,1,2,0,0,0,0,0,29,0,1,3,1,2,1,0,1,2,50.0,1,3,0,3,3,6,1,0,51,2,18,26,9,3,51,3,2,66.7,1,33.3,23,126,84,1,2,1,0,1,30,2,0,0,0,1,0,0,2,3,1,0,0,0,6,0,0,
Issa Diop,0,0,0,0,0,0,1,0,30,1,1,1,0.0,0.0,0.0,0,0,17,22,77.3,1,12,0,0,0,17,22,77.3,349,208,5,5,100.0,9,11,81.8,3,6,50.0,0,0.0,0.0,0,0,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,4,0,30,8,18,12,0,0,30,0,0,,0,,12,67,47,0,0,0,0,0,13,0,1,0,0,1,0,0,0,1,0,0,1,0,3,5,0,100.0
Jeremy Ngakia,0,0,0,0,0,0,0,0,42,3,0,0,0.0,0.0,0.0,0,0,20,35,57.1,0,21,1,4,2,20,35,57.1,264,137,12,16,75.0,5,9,55.6,1,7,14.3,0,0.0,0.0,0,0,0,0,0,35,24,11,0,1,1,3,11,0,0,0,0,20,0,1,3,3,1,2,0,1,1,100.0,0,0,0,0,0,3,0,0,42,1,15,18,10,0,42,4,2,50.0,2,50.0,21,177,82,1,3,0,1,0,20,3,0,0,0,0,0,0,3,0,3,0,0,0,3,2,3,40.0
Manuel Lanzini,0,0,0,0,1,1,0,0,36,1,1,0,0.1,0.1,0.1,1,0,25,29,86.2,1,20,1,0,0,25,29,86.2,336,33,17,19,89.5,4,4,100.0,2,3,66.7,0,0.1,0.0,1,0,0,0,1,29,28,1,0,0,0,2,0,1,1,0,0,25,0,0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,0,0,36,0,8,18,10,1,36,0,0,,0,,20,86,42,1,1,0,3,0,26,1,0,0,0,0,1,1,2,1,1,0,0,0,6,0,0,
Mark Noble,0,0,0,0,1,0,1,0,56,2,1,1,0.0,0.0,0.0,2,0,38,48,79.2,3,28,0,2,1,38,48,79.2,568,160,21,25,84.0,16,16,100.0,1,5,20.0,0,0.0,0.0,0,3,0,0,3,48,45,3,0,0,0,0,0,0,0,0,0,38,0,0,2,1,0,2,0,0,1,0.0,1,1,0,1,1,3,0,0,56,0,17,35,7,0,56,2,1,50.0,1,50.0,28,107,36,0,1,0,3,1,38,1,1,0,0,1,3,0,0,1,1,0,0,0,14,0,0,
Pablo Fornals,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,5,40.0,0,4,0,1,0,2,5,40.0,12,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,1,1,6,1,8,1,0,0.0,1,100.0,4,6,4,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
