player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,5,4,1,1,13,8,2,0,682,18,13,8,3.2,2.4,2.4,24,6,494,578,85.5,54,485,37,18,13,494,578,85.5,7733,2625,251,273,91.9,175,199,87.9,42,58,72.4,4,2.4,1.0,12,31,13,2,54,578,546,28,7,10,1,6,14,1,0,0,0,494,4,6,18,13,8,9,1,4,12,33.3,8,8,0,8,13,31,13,0,682,60,210,315,168,26,681,18,13,72.2,5,27.8,485,2861,1618,37,26,7,9,13,490,54,2,0,0,13,6,4,6,13,13,1,0,0,61,17,18,48.6
Aymeric Laporte,0,0,0,0,0,0,0,0,81,1,4,0,0.0,0.0,0.0,1,0,66,74,89.2,3,56,1,2,1,66,74,89.2,1190,494,29,31,93.5,28,29,96.6,8,10,80.0,0,0.0,0.0,0,5,0,0,3,74,72,2,2,0,1,0,0,0,0,0,0,66,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,4,5,3,0,81,12,43,38,0,0,81,2,1,50.0,1,50.0,56,375,239,1,0,0,0,0,54,0,0,0,0,0,1,0,0,4,0,0,0,0,4,5,3,62.5
David Silva,0,0,0,0,1,0,0,0,71,1,0,0,0.0,0.0,0.1,4,0,48,62,77.4,10,56,7,3,2,48,62,77.4,645,125,30,35,85.7,14,18,77.8,2,2,100.0,0,0.1,0.1,2,2,2,0,10,62,58,2,1,2,0,1,0,0,0,0,0,48,2,1,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0,71,0,5,27,39,6,71,3,2,66.7,1,33.3,56,309,186,7,6,0,2,2,59,9,0,0,0,1,0,1,1,0,1,0,0,0,3,0,3,0.0
Ederson,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,34,37,91.9,0,26,0,0,0,34,37,91.9,619,362,13,13,100.0,18,18,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,37,30,6,1,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,40,32,40,0,0,0,40,0,0,,0,,26,82,48,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Gabriel Jesus,1,0,0,0,2,2,0,0,15,0,0,1,0.2,0.2,0.0,1,0,10,11,90.9,1,8,1,1,1,10,11,90.9,114,14,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,15,0,1,4,10,2,15,1,1,100.0,0,0.0,8,54,14,1,1,0,0,0,11,4,0,0,0,3,2,0,0,0,0,0,0,0,1,1,3,25.0
John Stones,0,0,0,0,0,0,0,0,61,3,1,0,0.0,0.0,0.0,1,0,49,52,94.2,3,44,0,0,0,49,52,94.2,821,299,27,27,100.0,15,17,88.2,5,6,83.3,0,0.0,0.0,0,4,0,0,3,52,52,0,0,0,0,0,0,0,0,0,0,49,0,0,3,3,2,1,0,0,0,,0,0,0,0,1,4,4,0,61,4,27,35,0,0,61,0,0,,0,,44,259,139,0,0,0,0,0,45,0,0,0,0,0,0,0,0,1,3,0,0,0,5,1,1,50.0
Kevin De Bruyne,0,1,0,0,1,1,0,0,60,4,2,2,0.0,0.0,0.9,6,2,38,51,74.5,10,45,4,2,2,38,51,74.5,632,224,17,21,81.0,17,19,89.5,2,5,40.0,1,0.9,0.1,3,4,2,0,10,51,48,2,1,1,0,2,0,1,0,0,0,38,1,1,4,4,1,3,0,1,1,100.0,0,2,0,2,2,6,0,0,60,1,7,31,25,5,60,2,2,100.0,0,0.0,45,257,155,4,3,1,1,1,43,5,0,0,0,1,0,0,2,2,4,0,0,0,9,0,0,
Kyle Walker,0,1,0,0,1,0,1,0,71,1,1,1,0.1,0.1,0.2,2,0,54,63,85.7,2,37,3,1,1,54,63,85.7,744,190,35,36,97.2,15,20,75.0,2,3,66.7,1,0.2,0.0,2,3,1,0,2,63,54,9,1,0,0,0,8,0,0,0,0,54,0,1,1,0,1,0,0,0,0,,0,1,0,1,1,2,1,0,71,1,28,30,14,2,71,1,1,100.0,0,0.0,37,278,163,3,3,0,1,1,39,5,1,0,0,1,0,0,0,1,0,0,0,0,10,2,1,66.7
Oleksandr Zinchenko,0,0,0,0,1,0,0,0,75,2,0,0,0.1,0.1,0.0,1,0,59,67,88.1,6,56,4,0,0,59,67,88.1,795,282,32,34,94.1,17,21,81.0,4,6,66.7,0,0.0,0.1,1,2,3,2,6,67,61,6,1,1,0,3,5,0,0,0,0,59,0,0,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,4,0,75,4,19,38,18,0,75,0,0,,0,,56,281,150,4,1,0,0,1,56,8,0,0,0,0,0,0,3,0,1,0,0,0,5,2,3,40.0
Phil Foden,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,5,7,71.4,0,8,0,0,0,5,7,71.4,77,3,2,3,66.7,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,9,0,1,5,3,0,9,0,0,,0,,8,23,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Raheem Sterling,3,0,0,0,4,4,1,0,45,0,1,1,1.5,1.5,0.0,1,1,26,34,76.5,5,39,7,3,1,26,34,76.5,279,98,17,19,89.5,6,8,75.0,0,1,0.0,0,0.0,0.0,0,3,1,0,5,34,33,1,0,3,0,0,1,0,0,0,0,26,0,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,45,0,2,19,24,6,45,3,1,33.3,2,66.7,39,238,136,7,4,3,1,1,41,16,1,0,0,3,2,2,0,1,0,0,0,0,5,2,2,50.0
Riyad Mahrez,0,2,0,0,3,1,0,0,58,4,2,3,0.5,0.5,1.1,7,3,30,36,83.3,7,44,5,3,2,30,36,83.3,462,167,16,19,84.2,9,9,100.0,4,6,66.7,2,1.1,0.6,4,1,4,0,7,36,36,0,0,2,0,0,0,0,0,0,0,30,0,1,4,3,2,2,0,1,1,100.0,0,3,0,3,2,6,0,0,58,1,13,23,24,4,58,3,2,66.7,1,33.3,44,292,142,5,2,3,1,4,38,6,0,0,0,1,1,1,0,2,3,1,0,0,7,0,1,0.0
Rodri,0,0,0,0,0,0,0,0,79,2,0,0,0.0,0.0,0.0,0,0,65,72,90.3,5,56,2,3,3,65,72,90.3,1220,347,22,24,91.7,28,31,90.3,11,12,91.7,0,0.0,0.0,0,7,0,0,5,72,72,0,0,0,0,0,0,0,0,0,0,65,0,0,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,1,0,79,5,22,51,6,0,79,3,3,100.0,0,0.0,56,311,173,2,2,0,2,2,58,0,0,0,0,3,0,0,0,0,1,0,0,0,6,4,1,80.0
Sergio Agüero,1,0,1,1,0,0,0,0,5,0,0,0,0.8,0.0,0.0,0,0,3,3,100.0,1,4,2,0,0,3,3,100.0,34,19,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,1,3,3,1,4,0,0,,0,,4,53,45,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
İlkay Gündoğan,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,7,9,77.8,1,6,1,0,0,7,9,77.8,101,1,4,4,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,9,9,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,12,0,1,11,2,0,12,0,0,,0,,6,49,24,1,2,0,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
