player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,7,2,1,0,495,15,7,10,0.5,0.5,0.5,10,0,299,409,73.1,25,311,14,14,9,299,409,73.1,4991,1954,148,170,87.1,102,130,78.5,33,75,44.0,0,0.5,0.3,6,22,5,1,25,409,368,41,8,1,7,22,22,5,4,0,1,299,0,13,15,9,6,7,2,10,23,43.5,13,10,3,7,7,22,15,0,495,42,150,234,115,10,495,14,9,64.3,5,35.7,311,1649,741,14,12,3,13,13,297,25,1,0,0,8,7,0,22,7,9,0,0,0,42,19,23,45.2
Aaron Cresswell,0,0,0,0,0,0,0,0,65,0,0,1,0.0,0.0,0.0,0,0,46,60,76.7,2,37,2,0,0,46,60,76.7,596,222,25,26,96.2,18,24,75.0,1,6,16.7,0,0.0,0.0,0,3,1,1,2,60,44,16,2,0,1,3,14,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,5,0,65,5,24,33,8,1,65,0,0,,0,,37,178,61,2,0,0,1,0,33,2,0,0,0,0,1,0,3,0,0,0,0,0,8,1,4,20.0
Andriy Yarmolenko,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,5,0,0,0,5,7,71.4,37,8,4,5,80.0,0,0,,0,1,0.0,0,0.0,0.0,1,1,0,0,0,7,7,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,8,0,0,3,5,0,8,0,0,,0,,5,9,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
Declan Rice,0,0,0,0,1,1,0,0,47,1,1,1,0.1,0.1,0.0,0,0,31,40,77.5,0,31,0,0,0,31,40,77.5,608,172,11,11,100.0,15,17,88.2,4,8,50.0,0,0.0,0.0,0,0,0,0,0,40,40,0,0,0,2,0,0,0,0,0,0,31,0,2,1,1,1,0,0,0,0,,0,1,1,0,1,2,2,0,47,4,31,15,2,1,47,0,0,,0,,31,182,80,0,0,0,0,0,28,0,0,0,0,1,0,0,0,1,1,0,0,0,3,4,2,66.7
Felipe Anderson,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,22,25,88.0,2,22,0,1,0,22,25,88.0,312,66,15,17,88.2,3,3,100.0,2,2,100.0,0,0.0,0.0,0,3,0,0,2,25,24,1,0,0,1,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,0,3,20,8,0,30,1,0,0.0,1,100.0,22,84,21,0,0,0,1,2,23,2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,3,0.0
Issa Diop,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,1,0,32,40,80.0,2,28,0,0,0,32,40,80.0,522,287,18,19,94.7,13,15,86.7,1,6,16.7,0,0.0,0.0,0,0,0,0,2,40,39,1,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,44,3,25,19,0,0,44,0,0,,0,,28,206,124,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Jarrod Bowen,0,0,0,0,0,0,0,0,28,3,2,0,0.0,0.0,0.1,1,0,8,16,50.0,0,17,1,3,1,8,16,50.0,139,30,3,4,75.0,4,6,66.7,1,5,20.0,0,0.1,0.1,1,0,0,0,0,16,13,3,0,0,0,6,0,2,2,0,0,8,0,1,3,3,2,1,0,2,3,66.7,1,0,0,0,2,5,0,0,28,0,4,11,13,1,28,3,1,33.3,2,66.7,17,106,23,1,2,0,1,2,15,6,0,0,0,0,2,0,6,2,3,0,0,0,1,0,2,0.0
Jeremy Ngakia,0,0,0,0,1,1,0,0,55,3,1,3,0.0,0.0,0.0,0,0,22,43,51.2,4,31,7,4,4,22,43,51.2,278,123,14,17,82.4,6,13,46.2,1,8,12.5,0,0.0,0.0,0,2,1,0,4,43,39,4,0,0,0,5,4,0,0,0,0,22,0,4,3,1,2,1,0,2,5,40.0,3,3,1,2,1,4,2,0,55,2,9,30,16,1,55,4,4,100.0,0,0.0,31,256,190,7,6,0,2,2,29,3,0,0,0,2,0,0,5,1,1,0,0,0,3,1,1,50.0
Manuel Lanzini,0,0,0,0,1,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,9,13,69.2,1,9,1,0,0,9,13,69.2,104,23,5,5,100.0,3,5,60.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1,13,12,1,0,0,0,3,0,1,1,0,0,9,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,16,1,2,8,6,2,16,0,0,,0,,9,42,22,1,0,1,1,0,10,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
Mark Noble,0,0,0,0,0,0,0,0,71,3,0,1,0.0,0.0,0.3,3,0,54,63,85.7,9,53,1,0,0,54,63,85.7,1133,370,17,21,81.0,25,26,96.2,10,14,71.4,0,0.3,0.1,3,6,1,0,9,63,57,6,4,1,2,1,1,1,0,0,1,54,0,0,3,1,0,2,1,2,2,100.0,0,1,1,0,0,3,1,0,71,3,12,45,14,0,71,0,0,,0,,53,184,74,1,0,0,2,2,49,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,
Michail Antonio,0,0,0,0,1,0,1,0,30,0,0,2,0.0,0.0,0.0,4,0,12,20,60.0,1,15,1,5,4,12,20,60.0,114,6,7,10,70.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,1,20,18,2,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,30,1,2,8,21,0,30,5,4,80.0,1,20.0,15,176,58,1,3,0,1,3,20,4,1,0,0,4,0,0,1,0,0,0,0,0,4,5,3,62.5
Pablo Fornals,0,0,0,0,2,0,0,0,27,1,2,0,0.3,0.3,0.0,0,0,14,19,73.7,1,21,1,1,0,14,19,73.7,165,31,9,11,81.8,3,3,100.0,0,1,0.0,0,0.0,0.0,0,1,1,0,1,19,19,0,0,0,0,0,0,0,0,0,0,14,0,2,1,1,0,0,1,1,4,25.0,3,0,0,0,2,3,0,0,27,1,7,11,9,2,27,1,0,0.0,1,100.0,21,53,10,1,1,2,2,1,17,3,0,0,0,0,1,0,0,2,1,0,0,0,5,0,3,0.0
Ryan Fredericks,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0,5,7,71.4,52,21,5,5,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7,5,2,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,1,7,0,8,0,0,,0,,4,37,6,0,0,0,1,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
