player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,10,1,2,0,657,13,8,7,1.2,1.2,1.2,20,0,471,563,83.7,31,337,21,18,6,471,563,83.7,8656,3043,212,226,93.8,191,220,86.8,59,96,61.5,0,1.2,1.1,10,28,10,3,31,563,514,48,11,3,5,16,27,3,0,2,0,471,1,7,13,7,8,3,2,2,10,20.0,8,7,3,4,8,21,10,2,657,46,211,310,140,16,657,18,6,33.3,12,66.7,337,1726,856,21,18,1,17,17,467,31,2,0,0,6,11,1,16,8,7,0,0,0,53,17,13,56.7
Adama Traoré,0,0,0,0,3,1,0,0,50,1,0,0,0.8,0.8,0.2,4,0,23,32,71.9,2,40,5,8,4,23,32,71.9,426,137,11,16,68.8,10,13,76.9,2,2,100.0,0,0.2,0.4,2,2,3,3,2,32,26,6,0,0,0,6,6,0,0,0,0,23,0,1,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,50,1,9,17,24,4,50,8,4,50.0,4,50.0,40,286,130,5,2,0,6,7,41,11,0,0,0,0,4,1,6,0,0,0,0,0,2,0,0,
Conor Coady,0,0,0,0,0,0,1,0,71,0,0,1,0.0,0.0,0.0,0,0,59,67,88.1,3,36,0,0,0,59,67,88.1,1453,565,11,11,100.0,37,39,94.9,11,17,64.7,0,0.0,0.0,0,4,1,0,3,67,66,1,1,0,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,3,0,71,9,44,27,0,0,71,0,0,,0,,36,139,68,0,0,0,0,0,49,0,1,0,0,1,0,0,0,0,0,0,0,0,8,2,0,100.0
Diogo Jota,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.3,3,0,14,16,87.5,1,16,2,3,1,14,16,87.5,146,28,11,11,100.0,3,4,75.0,0,0,,0,0.3,0.2,1,0,1,0,1,16,15,1,0,1,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,1,20,0,1,10,9,1,20,3,1,33.3,2,66.7,16,126,51,2,2,1,0,3,19,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0.0
Jonny Castro,0,0,0,0,1,0,0,0,55,3,0,1,0.1,0.1,0.0,1,0,37,43,86.0,3,28,3,1,0,37,43,86.0,529,93,20,20,100.0,13,15,86.7,2,3,66.7,0,0.0,0.0,0,0,0,0,3,43,34,9,0,0,0,0,9,0,0,0,0,37,0,2,3,2,2,0,1,0,0,,0,1,1,0,0,3,0,0,55,2,10,24,22,1,55,1,0,0.0,1,100.0,28,146,81,3,3,0,3,2,36,5,0,0,0,0,3,0,0,0,2,0,0,0,6,0,1,0.0
João Moutinho,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.1,3,0,47,52,90.4,5,29,2,0,0,47,52,90.4,902,185,19,20,95.0,19,20,95.0,8,11,72.7,0,0.1,0.1,3,3,1,0,5,52,46,6,3,1,1,4,0,3,0,2,0,47,0,0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,0,0,55,0,9,30,16,0,55,0,0,,0,,29,172,98,2,3,0,1,1,41,2,0,0,0,0,1,0,4,1,1,0,0,0,5,0,0,
Leander Dendoncker,0,0,0,0,1,0,0,0,20,0,1,1,0.1,0.1,0.0,0,0,14,16,87.5,0,8,0,0,0,14,16,87.5,164,26,11,11,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,20,0,2,16,2,2,20,0,0,,0,,8,32,5,0,0,0,0,0,16,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,2,33.3
Matt Doherty,0,0,0,0,0,0,0,0,70,2,1,0,0.0,0.0,0.0,2,0,47,62,75.8,6,27,5,2,0,47,62,75.8,654,201,30,32,93.8,15,23,65.2,1,4,25.0,0,0.0,0.1,0,5,1,0,6,62,51,11,0,0,0,2,11,0,0,0,0,47,0,1,2,1,0,2,0,0,0,,0,0,0,0,1,3,1,0,70,2,12,34,24,2,70,2,0,0.0,2,100.0,27,141,91,5,5,0,1,0,43,4,0,0,0,0,0,0,2,1,1,0,0,0,8,2,3,40.0
Morgan Gibbs-White,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,1,0,0,2,3,66.7,36,6,0,1,0.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,,0,,2,27,17,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Pedro Neto,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,4,8,50.0,0,7,1,2,0,4,8,50.0,80,4,3,3,100.0,0,2,0.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,8,6,2,2,0,1,2,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,13,0,3,6,4,0,13,2,0,0.0,2,100.0,7,42,15,1,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
