,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Ashley Barnes,Burnley,0.03,0.03,Saved,23.0,Left Foot,Volley,James Tarkowski,Pass (Live),Ashley Westwood,Pass (Live)
1,4,Rúben Neves,Wolves,0.03,,Off Target,26.0,Right Foot,Volley,Morgan Gibbs-White,Pass (Live),Matt Doherty,Pass (Live)
2,10,Ashley Barnes,Burnley,0.04,,Off Target,21.0,Left Foot,,Matthew Lowton,Pass (Live),Chris Wood,Pass (Live)
3,13,Ashley Barnes,Burnley,0.03,0.37,Goal,26.0,Right Foot,,Dwight McNeil,Pass (Live),Ashley Barnes,Pass (Live)
4,17,Ben Mee,Burnley,0.04,,Woodwork,9.0,Head,,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live)
5,17,Chris Wood,Burnley,0.43,,Blocked,1.0,Right Foot,,Ben Mee,Shot,,
6,24,Diogo Jota,Wolves,0.03,,Blocked,27.0,Left Foot,Volley,Morgan Gibbs-White,Pass (Live),Ryan Bennett,Pass (Live)
7,29,Rúben Neves,Wolves,0.01,,Blocked,35.0,Right Foot,,Morgan Gibbs-White,Pass (Live),João Moutinho,Pass (Dead)
8,30,Chris Wood,Burnley,0.04,,Off Target,18.0,Right Foot,,Matthew Lowton,Pass (Live),Ben Mee,Pass (Live)
9,32,Chris Wood,Burnley,0.45,0.32,Saved,12.0,Right Foot,,Chris Wood,Take-On,,
10,34,Matt Doherty,Wolves,0.03,,Off Target,15.0,Head,,João Moutinho,Pass (Dead),Diogo Jota,Fouled
11,39,Jóhann Berg Guðmundsson,Burnley,0.06,,Blocked,18.0,Left Foot,,Chris Wood,Pass (Live),James Tarkowski,Pass (Live)
12,41,James Tarkowski,Burnley,0.03,0.15,Saved,10.0,Head,,Ashley Westwood,Pass (Dead),Ashley Barnes,Pass (Live)
13,45+2,Raúl Jiménez,Wolves,0.04,,Blocked,22.0,Left Foot,,Willy Boly,Pass (Live),Raúl Jiménez,Pass (Live)
14,45+3,Raúl Jiménez,Wolves,0.06,,Off Target,17.0,Right Foot,,Ryan Bennett,Pass (Live),João Moutinho,Pass (Live)
15,,,,,,,,,,,,,
16,49,Morgan Gibbs-White,Wolves,0.04,,Off Target,17.0,Right Foot,,Raúl Jiménez,Pass (Live),Jonny Castro,Pass (Live)
17,49,Ashley Barnes,Burnley,0.31,,Off Target,10.0,Left Foot,Volley,Ashley Westwood,Pass (Live),Chris Wood,Pass (Live)
18,53,Dwight McNeil,Burnley,0.04,,Blocked,15.0,Left Foot,,Erik Pieters,Pass (Live),Jack Cork,Pass (Live)
19,54,Erik Pieters,Burnley,0.03,,Off Target,25.0,Left Foot,,Dwight McNeil,Shot,,
20,55,Jonny Castro,Wolves,0.06,,Off Target,12.0,Head,,João Moutinho,Pass (Live),Matt Doherty,Pass (Live)
21,58,Ashley Westwood,Burnley,0.05,,Off Target,23.0,Right Foot,,Jóhann Berg Guðmundsson,Pass (Live),Ashley Westwood,Pass (Live)
22,74,Rúben Neves,Wolves,0.02,,Blocked,32.0,Right Foot,,Diogo Jota,Pass (Live),Raúl Jiménez,Pass (Live)
23,80,Adama Traoré,Wolves,0.04,,Off Target,17.0,Left Foot,,Rúben Neves,Pass (Live),Willy Boly,Pass (Live)
24,84,Diogo Jota,Wolves,0.08,,Blocked,16.0,Left Foot,,Rúben Neves,Pass (Live),Leander Dendoncker,Pass (Live)
25,84,Jonny Castro,Wolves,0.02,,Off Target,35.0,Right Foot,,Raúl Jiménez,Pass (Dead),Diogo Jota,Shot
26,87,Rúben Neves,Wolves,0.02,0.21,Saved,30.0,Right Foot,Deflected,Willy Boly,Pass (Live),Jonny Castro,Pass (Live)
27,90+3,Raúl Jiménez,Wolves,0.1,,Woodwork,15.0,Right Foot,,,,,
28,90+3,Diogo Jota,Wolves,0.19,,Blocked,6.0,Left Foot,,Raúl Jiménez,Shot,,
29,90+5,Rúben Neves,Wolves,0.03,,Blocked,26.0,Right Foot,Volley,Ryan Bennett,Pass (Live),Pedro Neto,Pass (Dead)
30,90+7,Raúl Jiménez (pen),Wolves,0.79,0.97,Goal,13.0,Right Foot,,Raúl Jiménez,Fouled,Rúben Neves,Shot
