,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4.0,Martin Ødegaard,Arsenal,0.03,,Blocked,25.0,Left Foot,,Emile Smith Rowe,Pass (Live),Martin Ødegaard,Pass (Live)
1,6.0,Thomas Partey,Arsenal,0.03,,Off Target,31.0,Right Foot,,Granit Xhaka,Pass (Live),Rob Holding,Pass (Live)
2,6.0,Granit Xhaka,Arsenal,0.02,0.1,Saved,33.0,Left Foot,,Calum Chambers,Pass (Live),,
3,7.0,Nicolas Pépé,Arsenal,0.03,,Blocked,26.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Martin Ødegaard,Pass (Live)
4,10.0,Martin Ødegaard,Arsenal,0.04,,Blocked,25.0,Left Foot,,Emile Smith Rowe,Pass (Live),Thomas Partey,Pass (Live)
5,24.0,Pierre-Emerick Aubameyang,Arsenal,0.13,,Off Target,5.0,Other,,Martin Ødegaard,Pass (Live),Pierre-Emerick Aubameyang,Pass (Live)
6,27.0,Thomas Partey,Arsenal,0.03,0.23,Saved,23.0,Right Foot,,Pierre-Emerick Aubameyang,Pass (Live),Thomas Partey,Pass (Live)
7,27.0,Granit Xhaka,Arsenal,0.01,,Blocked,36.0,Left Foot,,Emile Smith Rowe,Pass (Live),Martin Ødegaard,Pass (Live)
8,29.0,Granit Xhaka,Arsenal,0.05,0.05,Saved,31.0,Left Foot,"Free kick, Deflected",Emile Smith Rowe,Fouled,Nicolas Pépé,Pass (Live)
9,35.0,Jakub Moder,Brighton,0.07,,Blocked,13.0,Left Foot,,Alireza Jahanbakhsh,Pass (Live),Alexis Mac Allister,Pass (Live)
10,35.0,Lewis Dunk,Brighton,0.02,,Off Target,30.0,Right Foot,,,,,
11,44.0,Gabriel Magalhães,Arsenal,0.05,,Woodwork,9.0,Head,,Granit Xhaka,Pass (Live),Emile Smith Rowe,Pass (Live)
12,45.0,Thomas Partey,Arsenal,0.06,,Off Target,8.0,Head,,Martin Ødegaard,Pass (Dead),,
13,,,,,,,,,,,,,
14,49.0,Nicolas Pépé,Arsenal,0.06,0.09,Goal,11.0,Right Foot,,Calum Chambers,Pass (Live),Granit Xhaka,Pass (Live)
15,51.0,Aaron Connolly,Brighton,0.05,,Off Target,12.0,Right Foot,,Lewis Dunk,Pass (Live),Robert Sánchez,Pass (Live)
16,57.0,Yves Bissouma,Brighton,0.03,,Off Target,30.0,Right Foot,,Adam Lallana,Take-On,,
17,60.0,Nicolas Pépé,Arsenal,0.05,0.4,Goal,16.0,Left Foot,,Martin Ødegaard,Pass (Live),Granit Xhaka,Tackle
18,65.0,Jakub Moder,Brighton,0.02,0.05,Saved,27.0,Right Foot,,Aaron Connolly,Pass (Live),Aaron Connolly,Take-On
19,68.0,Pierre-Emerick Aubameyang,Arsenal,0.08,,Off Target,14.0,Left Foot,,Emile Smith Rowe,Pass (Live),,
20,69.0,Nicolas Pépé,Arsenal,0.05,,Off Target,24.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Thomas Partey,Pass (Live)
21,73.0,Thomas Partey,Arsenal,0.06,,Woodwork,16.0,Right Foot,Volley,Granit Xhaka,Pass (Live),Emile Smith Rowe,Pass (Live)
