,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,James Maddison,Leicester City,0.02,,Off Target,40.0,Left Foot,,Wesley Fofana,Pass (Live),Jonny Evans,Pass (Live)
1,4,Alexandre Lacazette,Arsenal,0.05,,Off Target,6.0,Head,,Dani Ceballos,Pass (Dead),,
2,9,Granit Xhaka,Arsenal,0.07,,Blocked,29.0,Left Foot,Free kick,Alexandre Lacazette,Fouled,Pierre-Emerick Aubameyang,Pass (Live)
3,12,Bukayo Saka,Arsenal,0.03,,Blocked,24.0,Left Foot,,Alexandre Lacazette,Pass (Live),Alexandre Lacazette,Interception
4,13,Gabriel Magalhães,Arsenal,0.11,,Off Target,11.0,Left Foot,Volley,Dani Ceballos,Pass (Live),Bukayo Saka,Pass (Dead)
5,13,Gabriel Magalhães,Arsenal,0.06,,Blocked,14.0,Left Foot,Volley,Bukayo Saka,Pass (Live),Gabriel Magalhães,Shot
6,13,Bukayo Saka,Arsenal,0.06,0.03,Saved,14.0,Left Foot,Deflected,Gabriel Magalhães,Shot,,
7,21,Bukayo Saka,Arsenal,0.05,0.1,Saved,15.0,Left Foot,Deflected,Alexandre Lacazette,Pass (Live),Granit Xhaka,Pass (Live)
8,22,Pierre-Emerick Aubameyang,Arsenal,0.06,,Off Target,10.0,Head,,Kieran Tierney,Pass (Live),Bukayo Saka,Pass (Live)
9,28,Alexandre Lacazette,Arsenal,0.11,0.06,Saved,6.0,Head,,Kieran Tierney,Pass (Live),David Luiz,Pass (Live)
10,40,Pierre-Emerick Aubameyang,Arsenal,0.03,,Blocked,27.0,Left Foot,,Thomas Partey,Pass (Live),Dani Ceballos,Pass (Live)
11,42,Bukayo Saka,Arsenal,0.04,,Off Target,11.0,Right Foot,,Dani Ceballos,Pass (Live),Pierre-Emerick Aubameyang,Pass (Live)
12,,,,,,,,,,,,,
13,54,James Maddison,Leicester City,0.01,,Off Target,56.0,Right Foot,,James Maddison,Tackle,,
14,55,James Maddison,Leicester City,0.03,,Blocked,30.0,Right Foot,,Timothy Castagne,Pass (Live),Dennis Praet,Tackle
15,57,James Maddison,Leicester City,0.05,,Off Target,33.0,Right Foot,Free kick,Nampalys Mendy,Fouled,,
16,68,Héctor Bellerín,Arsenal,0.06,0.07,Saved,14.0,Right Foot,Volley,Pierre-Emerick Aubameyang,Pass (Live),Kieran Tierney,Pass (Live)
17,80,Jamie Vardy,Leicester City,0.31,0.16,Goal,9.0,Head,,Cengiz Ünder,Pass (Live),Youri Tielemans,Pass (Live)
18,90+2,Jamie Vardy,Leicester City,0.29,0.12,Saved,9.0,Right Foot,,Marc Albrighton,Pass (Live),Kasper Schmeichel,Pass (Live)
