,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Angelo Ogbonna,West Ham,0.06,0.02,Saved,10.0,Head,,Declan Rice,Pass (Live),Aaron Cresswell,Pass (Dead)
1,7,Declan Rice,West Ham,0.05,,Blocked,30.0,Right Foot,Free kick,Aaron Cresswell,Pass (Dead),Pablo Fornals,Fouled
2,25,Alexandre Lacazette,Arsenal,0.33,0.67,Goal,9.0,Head,,Pierre-Emerick Aubameyang,Pass (Live),Bukayo Saka,Pass (Live)
3,30,Bukayo Saka,Arsenal,0.06,,Off Target,14.0,Left Foot,,Willian,Pass (Live),Héctor Bellerín,Pass (Live)
4,40,Dani Ceballos,Arsenal,0.11,,Blocked,10.0,Right Foot,Volley,Bukayo Saka,Pass (Live),Dani Ceballos,Pass (Live)
5,45,Michail Antonio,West Ham,0.6,0.71,Goal,5.0,Right Foot,,Jarrod Bowen,Pass (Live),Tomáš Souček,Pass (Live)
6,,,,,,,,,,,,,
7,47,Bukayo Saka,Arsenal,0.06,,Blocked,12.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Dani Ceballos,Pass (Live)
8,51,Arthur Masuaku,West Ham,0.02,,Off Target,33.0,Left Foot,,Arthur Masuaku,Take-On,Arthur Masuaku,Take-On
9,53,Michail Antonio,West Ham,0.54,,Off Target,5.0,Right Foot,Volley,Arthur Masuaku,Pass (Live),Jarrod Bowen,Pass (Live)
10,61,Jarrod Bowen,West Ham,0.1,,Off Target,12.0,Right Foot,,Tomáš Souček,Pass (Live),Aaron Cresswell,Pass (Live)
11,65,Michail Antonio,West Ham,0.05,,Blocked,29.0,Right Foot,,Pablo Fornals,Pass (Live),Jarrod Bowen,Tackle
12,67,Michail Antonio,West Ham,0.07,,Woodwork,10.0,Head,,Jarrod Bowen,Pass (Live),Pablo Fornals,Pass (Dead)
13,67,Michail Antonio,West Ham,0.4,,Blocked,11.0,Right Foot,,Michail Antonio,Shot,,
14,67,Jarrod Bowen,West Ham,0.03,,Blocked,23.0,Left Foot,,Michail Antonio,Shot,,
15,68,Jarrod Bowen,West Ham,0.03,,Blocked,25.0,Left Foot,,Pablo Fornals,Pass (Live),Declan Rice,Pass (Live)
16,72,Jarrod Bowen,West Ham,0.06,,Blocked,24.0,Left Foot,,Ryan Fredericks,Pass (Live),,
17,72,Tomáš Souček,West Ham,0.02,,Off Target,31.0,Right Foot,,Jarrod Bowen,Shot,,
18,85,Eddie Nketiah,Arsenal,0.47,0.6,Goal,8.0,Right Foot,,Dani Ceballos,Pass (Live),Bukayo Saka,Pass (Live)
19,88,Tomáš Souček,West Ham,0.04,,Off Target,4.0,Head,,Declan Rice,Pass (Live),Ryan Fredericks,Pass (Live)
20,90+1,Pierre-Emerick Aubameyang,Arsenal,0.03,0.01,Saved,25.0,Right Foot,,David Luiz,Fouled,Bernd Leno,Pass (Live)
21,90+4,Nicolas Pépé,Arsenal,0.05,,Blocked,25.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Dani Ceballos,Pass (Live)
