player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,0,0,15,7,2,0,541,23,4,10,1.0,1.0,0.4,22,1,309,419,73.7,30,274,10,20,12,309,419,73.7,6025,2477,115,143,80.4,164,195,84.1,30,64,46.9,0,0.4,0.4,10,20,5,3,30,419,369,48,18,0,3,11,15,4,2,1,1,309,2,12,23,13,15,5,3,12,24,50.0,12,10,5,5,4,27,25,1,541,82,246,207,97,15,541,20,12,60.0,8,40.0,274,1279,643,10,10,5,22,7,308,30,2,0,0,20,13,2,11,4,13,0,0,0,51,19,19,50.0
Ademola Lookman,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,1,0,11,19,57.9,1,14,0,2,1,11,19,57.9,186,50,6,7,85.7,4,7,57.1,1,4,25.0,0,0.0,0.0,1,0,0,0,1,19,12,6,2,0,0,6,0,4,2,1,1,11,1,0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,25,0,5,5,16,0,25,2,1,50.0,1,50.0,14,80,44,0,0,0,3,1,14,6,0,0,0,1,2,0,6,0,0,0,0,0,3,1,0,100.0
Aleksandar Mitrović,1,0,0,0,5,4,0,0,31,1,0,0,0.4,0.4,0.0,3,1,14,21,66.7,2,17,3,1,1,14,21,66.7,209,36,9,12,75.0,4,6,66.7,1,1,100.0,0,0.0,0.0,1,1,1,0,2,21,21,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,31,0,2,13,17,4,31,1,1,100.0,0,0.0,17,78,42,3,0,2,3,2,25,2,0,0,0,0,2,1,0,0,1,0,0,0,5,2,2,50.0
Alphonse Areola,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,24,31,77.4,0,15,0,0,0,24,31,77.4,628,446,11,11,100.0,5,5,100.0,8,15,53.3,0,0.0,0.0,0,1,0,0,0,31,19,12,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,27,31,0,0,0,31,0,0,,0,,15,58,42,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Bobby Reid,0,0,0,0,3,1,1,0,42,2,1,1,0.1,0.1,0.0,2,0,17,25,68.0,2,23,1,6,3,17,25,68.0,334,88,3,6,50.0,13,14,92.9,1,3,33.3,0,0.0,0.0,0,2,0,0,2,25,21,4,0,0,0,1,0,0,0,0,0,17,0,2,2,1,0,1,1,2,2,100.0,0,1,0,1,1,3,1,0,42,2,13,17,14,4,42,6,3,50.0,3,50.0,23,142,57,1,3,1,2,2,26,6,1,0,0,3,3,0,1,1,1,0,0,0,3,0,4,0.0
Harrison Reed,0,0,0,0,2,0,0,0,54,6,1,0,0.0,0.0,0.0,3,0,34,42,81.0,4,20,0,1,0,34,42,81.0,699,181,8,10,80.0,24,27,88.9,2,4,50.0,0,0.0,0.0,0,3,0,0,4,42,36,6,6,0,0,0,0,0,0,0,0,34,0,1,6,4,5,1,0,3,4,75.0,1,0,0,0,1,7,2,0,54,5,23,25,6,0,54,1,0,0.0,1,100.0,20,63,12,0,0,0,2,1,25,0,0,0,0,2,0,0,0,1,4,0,0,0,6,0,3,0.0
Ivan Cavaleiro,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,0,0,11,20,55.0,1,13,0,3,3,11,20,55.0,133,45,8,11,72.7,3,7,42.9,0,0,,0,0.0,0.0,0,2,0,0,1,20,20,0,0,0,0,1,0,0,0,0,0,11,0,2,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,0,0,28,0,3,16,9,0,28,3,3,100.0,0,0.0,13,68,31,0,0,0,3,1,16,4,0,0,0,2,0,0,1,1,1,0,0,0,3,2,2,50.0
Joachim Andersen,0,0,0,0,1,0,1,0,66,1,1,0,0.2,0.2,0.0,2,0,43,58,74.1,2,35,0,0,0,43,58,74.1,880,420,16,16,100.0,22,26,84.6,5,15,33.3,0,0.0,0.0,0,4,0,0,2,58,54,4,3,0,1,0,1,0,0,0,0,43,0,0,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,6,0,66,15,42,25,2,1,66,0,0,,0,,35,169,93,0,0,0,0,0,36,0,1,0,0,1,0,0,0,1,0,0,0,0,8,4,0,100.0
Josh Maja,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.1,1,0,6,6,100.0,0,3,0,0,0,6,6,100.0,52,2,6,6,100.0,0,0,,0,0,,0,0.1,0.1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,7,0,2,4,1,1,7,0,0,,0,,3,13,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Josh Onomah,0,0,0,0,2,1,0,0,7,0,0,1,0.1,0.1,0.0,0,0,2,2,100.0,0,2,1,0,0,2,2,100.0,16,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,7,0,0,3,4,1,7,0,0,,0,,2,26,9,1,0,0,1,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0
