player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,2,1,1,17,6,1,0,704,10,11,6,1.7,0.9,0.9,34,6,506,603,83.9,58,516,25,17,9,506,603,83.9,8374,3069,265,288,92.0,180,214,84.1,42,67,62.7,2,0.9,0.8,15,44,15,2,58,603,560,43,12,0,6,19,16,6,5,0,0,506,0,10,10,7,4,5,1,4,12,33.3,8,6,3,3,11,21,19,0,704,74,235,256,217,38,703,17,9,52.9,8,47.1,516,2367,1287,25,19,10,16,6,504,58,1,0,0,18,12,0,19,11,7,1,0,0,54,15,8,65.2
Aaron Wan-Bissaka,0,1,0,0,0,0,0,0,65,0,1,4,0.0,0.0,0.0,2,2,44,53,83.0,4,43,1,1,1,44,53,83.0,589,188,25,27,92.6,16,21,76.2,0,1,0.0,1,0.0,0.1,1,2,2,0,4,53,49,4,1,0,0,4,3,0,0,0,0,44,0,2,0,0,0,0,0,0,0,,0,4,2,2,1,1,0,0,65,5,31,11,23,0,65,1,1,100.0,0,0.0,43,138,72,1,2,0,3,1,41,9,0,0,0,1,3,0,4,1,0,0,0,0,7,1,0,100.0
Bruno Fernandes,1,0,1,1,3,0,0,0,77,2,1,0,1.0,0.2,0.1,5,1,48,62,77.4,6,52,2,1,0,48,62,77.4,855,217,27,30,90.0,13,17,76.5,7,11,63.6,0,0.1,0.2,3,6,2,1,6,62,54,8,3,0,2,5,1,2,2,0,0,48,0,1,2,1,0,1,1,0,2,0.0,2,0,0,0,1,3,3,0,77,4,9,30,38,7,76,1,0,0.0,1,100.0,52,173,91,2,5,0,2,0,54,4,0,0,0,3,2,0,5,1,1,0,0,0,4,1,1,50.0
Dean Henderson,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,25,32,78.1,0,25,0,0,0,25,32,78.1,692,459,2,2,100.0,17,17,100.0,6,13,46.2,0,0.0,0.0,0,0,0,0,0,32,24,8,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,35,32,35,0,0,0,35,0,0,,0,,25,138,79,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Edinson Cavani,1,0,0,0,2,1,0,0,12,0,0,0,0.3,0.3,0.0,1,0,7,7,100.0,0,8,0,0,0,7,7,100.0,84,0,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,12,1,1,4,7,3,12,0,0,,0,,8,23,5,0,0,0,2,0,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100.0
Eric Bailly,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,0,10,0,0,0,10,13,76.9,172,20,4,4,100.0,6,8,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,15,2,10,5,0,0,15,0,0,,0,,10,11,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Fred,0,0,0,0,1,1,0,0,73,3,1,0,0.0,0.0,0.0,5,1,65,69,94.2,12,55,0,2,2,65,69,94.2,1075,378,32,32,100.0,30,33,90.9,3,3,100.0,0,0.0,0.1,1,10,2,0,12,69,67,2,1,0,0,0,1,0,0,0,0,65,0,1,3,3,0,3,0,1,4,25.0,3,0,0,0,1,4,0,0,73,5,19,45,10,0,73,2,2,100.0,0,0.0,55,166,57,0,1,0,0,1,50,0,0,0,0,2,0,0,0,1,3,0,0,0,12,0,1,0.0
Harry Maguire,0,0,0,0,1,0,1,0,50,0,1,1,0.0,0.0,0.0,3,0,37,42,88.1,5,33,2,0,0,37,42,88.1,822,338,10,11,90.9,19,23,82.6,7,7,100.0,0,0.0,0.0,1,5,0,0,5,42,40,2,2,0,2,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,4,0,50,14,29,20,1,1,50,0,0,,0,,33,191,147,2,0,0,0,0,34,0,1,0,0,1,2,0,0,1,0,0,0,0,3,4,0,100.0
Luke Shaw,0,0,0,0,2,1,0,0,70,1,1,0,0.1,0.1,0.1,7,0,50,63,79.4,4,52,4,4,2,50,63,79.4,659,276,33,36,91.7,9,11,81.8,4,10,40.0,0,0.1,0.1,3,5,1,0,4,63,51,12,0,0,1,6,8,4,3,0,0,50,0,1,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,70,0,19,21,31,5,70,4,2,50.0,2,50.0,52,287,158,4,3,2,0,2,51,14,0,0,0,2,1,0,6,1,1,0,0,0,5,0,2,0.0
Marcus Rashford,0,1,0,0,3,1,0,0,51,1,0,1,0.1,0.1,0.5,5,1,34,42,81.0,9,39,7,2,0,34,42,81.0,452,138,24,27,88.9,6,10,60.0,2,2,100.0,1,0.5,0.3,4,2,5,1,9,42,40,2,0,0,0,3,2,0,0,0,0,34,0,0,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,51,0,1,13,37,6,51,2,0,0.0,2,100.0,39,227,145,7,3,4,2,1,42,12,0,0,0,1,1,0,3,0,0,0,0,0,2,2,0,100.0
Mason Greenwood,1,0,0,0,3,2,0,0,40,0,0,0,0.1,0.1,0.0,0,0,26,33,78.8,2,32,6,4,2,26,33,78.8,406,111,16,20,80.0,8,9,88.9,2,3,66.7,0,0.0,0.0,0,1,2,0,2,33,32,1,0,0,0,0,1,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,40,1,7,15,18,7,40,4,2,50.0,2,50.0,32,265,141,6,1,4,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
Nemanja Matić,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,12,0,0,0,12,12,100.0,221,51,6,6,100.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,12,1,6,6,0,0,12,0,0,,0,,12,83,34,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
